Trialn,Blockn,Partner,IsFairBlock,Offer,ITI
1,1,3,0,4,1
2,1,3,0,4,1
3,1,3,0,2,1
4,1,3,0,4,1
5,1,3,0,8,1
6,1,3,0,4,1
7,1,3,0,3,1
8,1,3,0,5,10
9,2,1,0,6,1
10,2,1,0,2,1
11,2,1,0,9,1
12,2,1,0,1,1
13,2,1,0,3,1
14,2,1,0,3,1
15,2,1,0,4,1
16,2,1,0,4,10
17,3,2,0,1,1
18,3,2,0,1,1
19,3,2,0,8,1
20,3,2,0,4,1
21,3,2,0,1,1
22,3,2,0,5,1
23,3,2,0,3,1
24,3,2,0,3,10
25,4,2,1,9,1
26,4,2,1,8,1
27,4,2,1,9,1
28,4,2,1,9,1
29,4,2,1,10,1
30,4,2,1,9,1
31,4,2,1,2,1
32,4,2,1,5,12
33,5,1,1,9,1
34,5,1,1,9,1
35,5,1,1,9,1
36,5,1,1,10,1
37,5,1,1,3,1
38,5,1,1,9,1
39,5,1,1,6,1
40,5,1,1,7,8
41,6,1,0,4,1
42,6,1,0,1,1
43,6,1,0,2,1
44,6,1,0,9,1
45,6,1,0,1,1
46,6,1,0,2,1
47,6,1,0,3,1
48,6,1,0,6,12
49,7,2,0,2,1
50,7,2,0,2,1
51,7,2,0,10,1
52,7,2,0,1,1
53,7,2,0,1,1
54,7,2,0,6,1
55,7,2,0,4,1
56,7,2,0,1,12
57,8,3,1,2,1
58,8,3,1,10,1
59,8,3,1,9,1
60,8,3,1,5,1
61,8,3,1,8,1
62,8,3,1,9,1
63,8,3,1,9,1
64,8,3,1,9,8
65,9,1,1,5,1
66,9,1,1,9,1
67,9,1,1,2,1
68,9,1,1,8,1
69,9,1,1,9,1
70,9,1,1,9,1
71,9,1,1,8,1
72,9,1,1,7,8
