Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,8,4,1,1,2.500000e+00,2
2,8,2,1,1,2.500000e+00,4
3,4,0,3,0,5.000000e-01,6
4,2,4,2,0,2.500000e+00,2
5,8,4,3,1,5.000000e-01,6
6,4,8,2,1,5.000000e-01,2
7,2,4,1,1,5.000000e-01,2
8,2,4,3,1,4.500000e+00,2
9,4,2,1,0,5.000000e-01,2
10,0,8,3,0,4.500000e+00,4
11,0,2,3,0,2.500000e+00,4
12,2,8,1,0,5.000000e-01,2
13,0,4,3,1,4.500000e+00,6
14,2,0,1,0,2.500000e+00,2
15,2,0,1,1,5.000000e-01,2
16,4,8,2,0,2.500000e+00,2
17,0,4,1,1,6.500000e+00,4
18,4,0,1,0,4.500000e+00,2
19,4,2,3,0,4.500000e+00,2
20,4,2,2,1,2.500000e+00,2
21,2,8,3,1,5.000000e-01,4
22,4,8,3,0,5.000000e-01,2
23,4,0,2,0,2.500000e+00,8
24,0,8,1,0,5.000000e-01,2
25,2,8,2,0,4.500000e+00,4
26,2,0,3,1,5.000000e-01,8
27,0,4,2,1,5.000000e-01,2
28,8,4,1,0,5.000000e-01,2
29,2,0,2,0,2.500000e+00,4
30,8,0,2,1,5.000000e-01,10
31,2,0,2,1,5.000000e-01,4
32,8,2,2,1,5.000000e-01,4
33,8,0,1,1,6.500000e+00,6
34,8,2,3,0,2.500000e+00,6
35,0,8,3,1,5.000000e-01,2
36,8,0,2,0,5.000000e-01,4
