Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,4,1,0,4.500000e+00,4
2,4,8,3,1,2.500000e+00,2
3,0,4,3,0,5.000000e-01,2
4,4,2,3,1,4.500000e+00,4
5,2,4,2,1,5.000000e-01,6
6,8,0,2,1,2.500000e+00,2
7,0,2,2,0,5.000000e-01,4
8,2,4,1,0,2.500000e+00,2
9,2,8,2,0,5.000000e-01,2
10,8,2,1,1,2.500000e+00,4
11,0,2,3,0,5.000000e-01,6
12,4,0,2,0,2.500000e+00,4
13,2,8,2,1,2.500000e+00,4
14,8,0,2,0,5.000000e-01,2
15,0,2,1,0,4.500000e+00,2
16,0,8,1,0,2.500000e+00,6
17,2,8,3,0,5.000000e-01,2
18,4,0,2,1,5.000000e-01,8
19,4,2,1,1,6.500000e+00,8
20,2,4,3,0,5.000000e-01,4
21,0,4,1,1,4.500000e+00,2
22,0,8,3,0,5.000000e-01,2
23,4,8,3,0,5.000000e-01,4
24,4,8,2,0,5.000000e-01,6
25,0,2,3,1,2.500000e+00,2
26,8,2,3,1,2.500000e+00,10
27,8,0,1,1,5.000000e-01,2
28,0,2,2,1,6.500000e+00,2
29,4,2,2,0,5.000000e-01,2
30,4,8,1,1,2.500000e+00,2
31,0,2,1,1,5.000000e-01,4
32,4,8,2,1,4.500000e+00,2
33,8,4,1,0,4.500000e+00,2
34,4,0,3,1,5.000000e-01,2
35,8,0,3,1,5.000000e-01,4
36,2,8,1,0,5.000000e-01,6
