subnum,age,comp_win,stranger_win,friend_win,comp_loss,stranger_loss,friend_loss
104,0,5,5,5,-2,0,0
107,0,0,5,5,0,0,-2
108,0,1,4,5,0,-3,-5
111,1,5,5,5,0,5,5
112,0,5,5,5,-4,-5,-5
113,0,5,5,5,-2,-5,-5
115,0,5,5,5,0,-2,-5
116,0,0,1,5,0,-1,-2
117,0,2,3,4,-2,-4,-4
118,0,3,2,3,-3,-1,-2
120,0,1,3,4,-1,-3,-5
121,0,0,0,1,-2,-1,-2
122,0,0,2,4,-1,-2,-3
124,0,0,3,5,0,-4,-5
125,0,3,3,5,1,1,4
126,0,0,0,0,0,0,0
127,1,0,3,3,5,4,3
128,1,4,4,5,2,4,3
129,1,0,5,5,0,0,0
136,1,3,4,5,-1,-1,-1
137,1,1,4,5,0,-2,-4
138,1,0,5,5,0,-5,-5
140,1,5,5,5,5,5,5
141,1,5,5,5,0,0,0
142,1,4,4,5,3,3,0
144,1,0,5,5,0,-2,0
145,1,0,4,4,0,-3,-3
147,1,2,4,4,-1,-1,0
149,1,0,1,0,0,0,0
150,0,0,0,2,0,0,-2
151,1,2,0,1,0,-3,0
