subnum,Age,Outcome,Partner,Rating
104,Young,Win,Computer,5
107,Young,Win,Computer,0
108,Young,Win,Computer,1
111,Old,Win,Computer,5
112,Young,Win,Computer,5
113,Young,Win,Computer,5
115,Young,Win,Computer,5
116,Young,Win,Computer,0
117,Young,Win,Computer,2
118,Young,Win,Computer,3
120,Young,Win,Computer,1
121,Young,Win,Computer,0
122,Young,Win,Computer,0
124,Young,Win,Computer,0
125,Young,Win,Computer,3
126,Young,Win,Computer,0
127,Old,Win,Computer,0
128,Old,Win,Computer,4
129,Old,Win,Computer,0
136,Old,Win,Computer,3
137,Old,Win,Computer,1
138,Old,Win,Computer,0
140,Old,Win,Computer,5
141,Old,Win,Computer,5
142,Old,Win,Computer,4
144,Old,Win,Computer,0
145,Old,Win,Computer,0
147,Old,Win,Computer,2
149,Old,Win,Computer,0
150,Old,Win,Computer,0
151,Old,Win,Computer,2
104,Young,Loss,Computer,-2
107,Young,Loss,Computer,0
108,Young,Loss,Computer,0
111,Old,Loss,Computer,0
112,Young,Loss,Computer,-4
113,Young,Loss,Computer,-2
115,Young,Loss,Computer,0
116,Young,Loss,Computer,0
117,Young,Loss,Computer,-2
118,Young,Loss,Computer,-3
120,Young,Loss,Computer,-1
121,Young,Loss,Computer,-2
122,Young,Loss,Computer,-1
124,Young,Loss,Computer,0
125,Young,Loss,Computer,1
126,Young,Loss,Computer,0
127,Old,Loss,Computer,5
128,Old,Loss,Computer,2
129,Old,Loss,Computer,0
136,Old,Loss,Computer,-1
137,Old,Loss,Computer,0
138,Old,Loss,Computer,0
140,Old,Loss,Computer,5
141,Old,Loss,Computer,0
142,Old,Loss,Computer,3
144,Old,Loss,Computer,0
145,Old,Loss,Computer,0
147,Old,Loss,Computer,-1
149,Old,Loss,Computer,0
150,Old,Loss,Computer,0
151,Old,Loss,Computer,0
104,Young,Win,Stranger,5
107,Young,Win,Stranger,5
108,Young,Win,Stranger,4
111,Old,Win,Stranger,5
112,Young,Win,Stranger,5
113,Young,Win,Stranger,5
115,Young,Win,Stranger,5
116,Young,Win,Stranger,1
117,Young,Win,Stranger,3
118,Young,Win,Stranger,2
120,Young,Win,Stranger,3
121,Young,Win,Stranger,0
122,Young,Win,Stranger,2
124,Young,Win,Stranger,3
125,Young,Win,Stranger,3
126,Young,Win,Stranger,0
127,Old,Win,Stranger,3
128,Old,Win,Stranger,4
129,Old,Win,Stranger,5
136,Old,Win,Stranger,4
137,Old,Win,Stranger,4
138,Old,Win,Stranger,5
140,Old,Win,Stranger,5
141,Old,Win,Stranger,5
142,Old,Win,Stranger,4
144,Old,Win,Stranger,5
145,Old,Win,Stranger,4
147,Old,Win,Stranger,4
149,Old,Win,Stranger,1
150,Old,Win,Stranger,0
151,Old,Win,Stranger,0
104,Young,Loss,Stranger,0
107,Young,Loss,Stranger,0
108,Young,Loss,Stranger,-3
111,Old,Loss,Stranger,5
112,Young,Loss,Stranger,-5
113,Young,Loss,Stranger,-5
115,Young,Loss,Stranger,-2
116,Young,Loss,Stranger,-1
117,Young,Loss,Stranger,-4
118,Young,Loss,Stranger,-1
120,Young,Loss,Stranger,-3
121,Young,Loss,Stranger,-1
122,Young,Loss,Stranger,-2
124,Young,Loss,Stranger,-4
125,Young,Loss,Stranger,1
126,Young,Loss,Stranger,0
127,Old,Loss,Stranger,4
128,Old,Loss,Stranger,4
129,Old,Loss,Stranger,0
136,Old,Loss,Stranger,-1
137,Old,Loss,Stranger,-2
138,Old,Loss,Stranger,-5
140,Old,Loss,Stranger,5
141,Old,Loss,Stranger,0
142,Old,Loss,Stranger,3
144,Old,Loss,Stranger,-2
145,Old,Loss,Stranger,-3
147,Old,Loss,Stranger,-1
149,Old,Loss,Stranger,0
150,Old,Loss,Stranger,0
151,Old,Loss,Stranger,-3
104,Young,Win,Friend,5
107,Young,Win,Friend,5
108,Young,Win,Friend,5
111,Old,Win,Friend,5
112,Young,Win,Friend,5
113,Young,Win,Friend,5
115,Young,Win,Friend,5
116,Young,Win,Friend,5
117,Young,Win,Friend,4
118,Young,Win,Friend,3
120,Young,Win,Friend,4
121,Young,Win,Friend,1
122,Young,Win,Friend,4
124,Young,Win,Friend,5
125,Young,Win,Friend,5
126,Young,Win,Friend,0
127,Old,Win,Friend,3
128,Old,Win,Friend,5
129,Old,Win,Friend,5
136,Old,Win,Friend,5
137,Old,Win,Friend,5
138,Old,Win,Friend,5
140,Old,Win,Friend,5
141,Old,Win,Friend,5
142,Old,Win,Friend,5
144,Old,Win,Friend,5
145,Old,Win,Friend,4
147,Old,Win,Friend,4
149,Old,Win,Friend,0
150,Old,Win,Friend,2
151,Old,Win,Friend,1
104,Young,Loss,Friend,0
107,Young,Loss,Friend,-2
108,Young,Loss,Friend,-5
111,Old,Loss,Friend,5
112,Young,Loss,Friend,-5
113,Young,Loss,Friend,-5
115,Young,Loss,Friend,-5
116,Young,Loss,Friend,-2
117,Young,Loss,Friend,-4
118,Young,Loss,Friend,-2
120,Young,Loss,Friend,-5
121,Young,Loss,Friend,-2
122,Young,Loss,Friend,-3
124,Young,Loss,Friend,-5
125,Young,Loss,Friend,4
126,Young,Loss,Friend,0
127,Old,Loss,Friend,3
128,Old,Loss,Friend,3
129,Old,Loss,Friend,0
136,Old,Loss,Friend,-1
137,Old,Loss,Friend,-4
138,Old,Loss,Friend,-5
