Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,2,2,1,4.500000e+00,6
2,8,2,1,0,5.000000e-01,2
3,2,0,2,1,2.500000e+00,2
4,4,0,2,0,5.000000e-01,2
5,8,0,2,1,6.500000e+00,6
6,8,4,1,0,2.500000e+00,2
7,2,8,2,1,5.000000e-01,6
8,4,8,2,1,4.500000e+00,2
9,2,0,1,1,2.500000e+00,4
10,4,8,3,0,5.000000e-01,4
11,0,8,1,0,5.000000e-01,10
12,2,8,3,1,5.000000e-01,2
13,2,0,2,0,5.000000e-01,8
14,0,4,1,1,2.500000e+00,4
15,8,0,1,1,5.000000e-01,2
16,4,0,3,0,5.000000e-01,4
17,4,8,1,1,5.000000e-01,4
18,4,2,3,1,2.500000e+00,2
19,4,0,2,1,6.500000e+00,2
20,8,2,3,0,4.500000e+00,2
21,4,2,1,1,2.500000e+00,4
22,4,0,1,0,4.500000e+00,4
23,8,4,2,0,4.500000e+00,2
24,8,0,2,0,5.000000e-01,8
25,2,8,2,0,2.500000e+00,2
26,8,0,3,0,5.000000e-01,2
27,0,2,3,0,5.000000e-01,2
28,0,8,3,1,5.000000e-01,4
29,2,4,3,0,4.500000e+00,2
30,8,4,3,1,5.000000e-01,2
31,4,0,3,1,2.500000e+00,6
32,0,2,3,1,5.000000e-01,4
33,2,0,1,0,2.500000e+00,2
34,8,2,1,1,5.000000e-01,4
35,4,2,2,0,5.000000e-01,2
36,4,2,1,0,2.500000e+00,6
