Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,8,2,1,2.500000e+00,2
2,2,4,3,1,5.000000e-01,2
3,2,8,2,0,4.500000e+00,8
4,4,2,2,0,6.500000e+00,4
5,2,8,3,0,2.500000e+00,6
6,4,0,3,1,5.000000e-01,2
7,0,4,3,0,6.500000e+00,4
8,0,2,3,0,5.000000e-01,4
9,0,8,3,1,5.000000e-01,2
10,8,4,1,0,2.500000e+00,6
11,2,0,3,1,5.000000e-01,2
12,8,4,2,1,5.000000e-01,2
13,0,4,1,0,5.000000e-01,2
14,0,4,2,0,5.000000e-01,4
15,8,0,2,0,2.500000e+00,2
16,4,8,3,0,4.500000e+00,2
17,2,8,2,1,5.000000e-01,6
18,0,2,2,1,5.000000e-01,4
19,8,2,1,0,5.000000e-01,4
20,8,2,1,1,5.000000e-01,6
21,2,8,3,1,4.500000e+00,4
22,0,2,2,0,4.500000e+00,10
23,0,8,1,1,2.500000e+00,2
24,2,0,1,1,5.000000e-01,2
25,4,8,1,1,4.500000e+00,2
26,4,2,2,1,5.000000e-01,2
27,4,2,1,1,5.000000e-01,2
28,4,2,3,0,2.500000e+00,2
29,4,2,1,0,2.500000e+00,4
30,4,8,3,1,2.500000e+00,2
31,4,0,2,1,2.500000e+00,2
32,0,4,1,1,5.000000e-01,6
33,0,8,3,0,5.000000e-01,4
34,4,8,2,0,2.500000e+00,8
35,0,2,1,0,4.500000e+00,2
36,0,8,1,0,5.000000e-01,4
