TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,0,3,2,0,2,2,1.0,0.0,4.25034,3.0,2,6.06539,high,1.81505,1.18495,6.59595,11.0003,11.0152,13.0199,8.7696,13.0203,14.9998
2,2,1,3,2,0,5.000000e-01,2,1.0,1.0,15.1875,3.0,2,16.9909,high,1.80337,1.19663,17.5214,20.436,20.4513,22.4563,7.26883,22.4566,24.4362
3,3,1,2,4,2,2,4,1.0,2.0,24.7124,3.0,4,26.3484,high,1.63597,1.36403,26.8778,31.4616,31.4763,33.4815,8.76911,33.4818,37.462
4,4,0,3,6,4,3.500000e+00,0,1.0,3.0,37.7316,2.0,4,39.3592,high,1.6276,1.3724,39.8893,45.9802,45.9925,47.9971,10.2655,47.9974,53.9814
5,5,1,3,4,2,2,8,1.0,4.0,54.2226,3.0,8,55.7058,high,1.48318,1.51682,56.2356,60.9716,60.985,62.9898,8.76716,62.99,66.9728
6,6,0,1,6,0,5.000000e-01,4,1.0,5.0,67.0044,3.0,4,68.6165,high,1.61213,1.38787,69.1472,72.2536,72.2676,74.2732,7.26879,74.2734,80.2537
7,7,0,1,4,8,3.500000e+00,4,1.0,6.0,80.2642,3.0,4,81.9107,low,1.64641,1.35359,82.4409,88.5132,88.5135,90.5176,10.2533,90.5178,94.5132
8,8,0,3,2,2,5.000000e-01,4,1.0,7.0,94.7472,3.0,4,96.4226,high,1.67538,1.32462,96.9523,99.9962,100.009,102.014,7.26643,102.014,103.995
9,9,0,2,8,0,5.000000e-01,8,1.0,8.0,104.232,3.0,8,105.68,high,1.4479,1.5521,106.209,109.482,109.494,111.499,7.26645,111.499,119.483
10,10,1,1,2,0,5.000000e-01,8,1.0,9.0,119.491,3.0,8,121.043,high,1.55148,1.44852,121.572,124.741,124.757,126.762,7.2706,126.762,128.742
11,11,1,1,2,8,5.000000e-01,2,1.0,10.0,128.757,2.0,8,130.583,high,1.82611,1.17389,131.113,134.007,134.007,136.011,7.25443,136.012,138.007
12,12,0,1,8,2,5.000000e-01,4,1.0,11.0,138.077,3.0,4,139.741,high,1.66428,1.33572,140.272,143.326,143.339,145.344,7.26684,145.344,153.327
13,13,1,1,2,0,2,4,1.0,12.0,153.337,3.0,4,154.837,high,1.50022,1.49978,155.367,160.086,160.101,162.107,8.76961,162.107,164.085
14,14,0,2,2,0,3.500000e+00,2,1.0,13.0,164.335,3.0,2,166.097,high,1.76141,1.23859,166.627,172.585,172.599,174.604,10.2687,174.604,176.584
15,15,0,3,4,2,2,8,1.0,14.0,176.832,3.0,8,178.307,high,1.47439,1.52561,178.837,183.581,183.594,185.598,8.76591,185.598,189.581
16,16,1,1,4,4,5.000000e-01,8,1.0,15.0,189.595,3.0,8,191.35,high,1.75497,1.24503,191.88,194.845,194.86,196.865,7.26953,196.865,200.845
17,17,1,2,2,8,3.500000e+00,4,1.0,16.0,201.102,2.0,8,202.877,high,1.77492,1.22508,203.407,209.352,209.366,211.371,10.2695,211.371,213.352
18,18,0,2,6,4,5.000000e-01,0,1.0,17.0,213.619,2.0,4,215.404,high,1.78488,1.21512,215.934,218.867,218.881,220.887,7.26841,220.887,226.869
19,19,0,3,2,0,5.000000e-01,8,1.0,18.0,227.106,3.0,8,228.598,high,1.49211,1.50789,229.129,232.355,232.367,234.371,7.26584,234.372,236.356
20,20,0,2,2,2,5.000000e-01,8,1.0,19.0,236.613,3.0,8,238.022,high,1.40922,1.59078,238.551,241.863,241.876,243.88,7.26731,243.881,245.863
21,21,0,1,2,2,5.000000e-01,8,1.0,20.0,245.871,3.0,8,247.279,high,1.40809,1.59191,247.81,251.119,251.133,253.138,7.26688,253.138,255.119
22,22,1,3,6,8,5.000000e-01,0,1.0,21.0,255.361,2.0,8,257.021,high,1.66033,1.33967,257.55,260.61,260.623,262.628,7.26677,262.628,268.61
23,23,0,1,2,0,5.000000e-01,2,1.0,22.0,268.631,3.0,2,270.432,high,1.80073,1.19927,270.963,273.881,273.895,275.899,7.26742,275.899,277.881
24,24,1,1,6,2,2,0,1.0,23.0,277.896,2.0,2,279.606,high,1.71032,1.28968,280.136,284.645,284.66,286.665,8.76917,286.665,292.646
25,25,1,1,2,2,5.000000e-01,4,1.0,24.0,292.656,3.0,4,294.202,high,1.54502,1.45498,294.732,297.906,297.906,299.911,7.25494,299.912,301.906
26,26,0,3,2,4,5.000000e-01,8,1.0,25.0,302.173,3.0,8,303.576,high,1.40268,1.59732,304.107,307.423,307.436,309.441,7.26797,309.442,311.423
27,27,0,1,4,0,5.000000e-01,8,1.0,26.0,311.439,3.0,8,312.917,high,1.47835,1.52165,313.448,316.689,316.702,318.707,7.26848,318.707,322.688
28,28,1,2,4,0,2,4,1.0,27.0,322.919,3.0,4,324.56,high,1.6412,1.3588,325.091,329.668,329.682,331.686,8.76694,331.686,335.668
29,29,1,3,2,8,2,4,1.0,28.0,335.896,2.0,8,337.703,high,1.80734,1.19266,338.235,342.646,342.659,344.664,8.76819,344.664,346.645
30,30,1,3,4,4,3.500000e+00,0,1.0,29.0,346.904,2.0,4,348.413,high,1.50901,1.49099,348.942,355.154,355.154,357.159,10.2552,357.159,361.154
31,31,0,2,2,4,5.000000e-01,8,1.0,30.0,361.417,3.0,8,362.958,high,1.54118,1.45882,363.488,366.666,366.679,368.683,7.26643,368.684,370.667
32,32,1,3,4,2,2,4,1.0,31.0,370.901,3.0,4,372.633,high,1.7317,1.2683,373.162,377.651,377.664,379.669,8.76811,379.669,383.651
33,33,1,2,4,0,5.000000e-01,8,1.0,32.0,383.89,3.0,8,385.427,high,1.53686,1.46314,385.957,389.14,389.154,391.159,7.26939,391.16,395.139
34,34,1,2,2,8,5.000000e-01,2,1.0,33.0,395.373,2.0,8,397.053,high,1.67951,1.32049,397.583,400.622,400.623,402.626,7.25302,402.627,404.622
