Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,0,2,1,6.500000e+00,2
2,2,8,2,1,2.500000e+00,2
3,8,2,1,0,5.000000e-01,2
4,2,4,3,1,5.000000e-01,4
5,8,4,2,1,2.500000e+00,2
6,4,8,2,0,5.000000e-01,8
7,0,2,3,1,5.000000e-01,2
8,0,4,2,1,5.000000e-01,2
9,2,4,3,0,5.000000e-01,4
10,2,4,2,1,2.500000e+00,4
11,4,0,2,0,5.000000e-01,10
12,0,8,2,1,5.000000e-01,6
13,4,8,1,1,4.500000e+00,8
14,8,2,1,1,4.500000e+00,4
15,2,0,1,1,4.500000e+00,2
16,0,8,1,0,2.500000e+00,4
17,8,0,3,1,5.000000e-01,6
18,2,8,2,0,2.500000e+00,2
19,4,0,3,1,5.000000e-01,4
20,0,2,3,0,4.500000e+00,2
21,2,8,3,1,5.000000e-01,6
22,2,0,2,0,5.000000e-01,2
23,8,0,2,0,5.000000e-01,2
24,8,4,1,0,4.500000e+00,4
25,2,4,1,1,5.000000e-01,4
26,4,2,1,0,2.500000e+00,2
27,4,8,3,0,2.500000e+00,6
28,2,8,3,0,2.500000e+00,2
29,0,4,1,0,5.000000e-01,2
30,2,4,2,0,5.000000e-01,4
31,4,8,3,1,6.500000e+00,4
32,8,0,3,0,2.500000e+00,2
33,0,8,1,1,5.000000e-01,6
34,0,4,1,1,2.500000e+00,2
35,2,0,1,0,5.000000e-01,2
36,0,4,3,0,4.500000e+00,2
