Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,8,3,0,4.500000e+00,6
2,4,0,2,1,5.000000e-01,4
3,0,8,2,0,5.000000e-01,6
4,0,4,3,1,4.500000e+00,4
5,2,4,3,0,4.500000e+00,2
6,2,8,1,1,2.500000e+00,2
7,8,4,3,1,6.500000e+00,2
8,2,0,2,0,5.000000e-01,2
9,4,8,2,0,2.500000e+00,4
10,4,0,3,0,5.000000e-01,4
11,2,0,3,1,5.000000e-01,2
12,0,8,3,0,5.000000e-01,2
13,2,4,2,0,4.500000e+00,8
14,8,4,2,1,5.000000e-01,4
15,2,8,2,1,5.000000e-01,6
16,0,8,1,0,5.000000e-01,2
17,8,4,1,1,5.000000e-01,2
18,4,0,1,1,2.500000e+00,2
19,8,4,1,0,5.000000e-01,2
20,2,4,3,1,5.000000e-01,4
21,4,0,2,0,5.000000e-01,2
22,8,2,1,0,4.500000e+00,4
23,8,2,3,1,5.000000e-01,2
24,2,0,2,1,4.500000e+00,2
25,2,0,3,0,5.000000e-01,6
26,0,8,1,1,2.500000e+00,8
27,2,4,1,0,2.500000e+00,2
28,0,4,1,0,5.000000e-01,2
29,0,8,2,1,6.500000e+00,10
30,8,0,3,1,2.500000e+00,4
31,2,8,2,0,2.500000e+00,4
32,2,0,1,0,2.500000e+00,6
33,2,8,3,0,2.500000e+00,2
34,2,4,1,1,5.000000e-01,2
35,2,0,1,1,5.000000e-01,2
36,2,4,2,1,2.500000e+00,4
