subnum,run,avg_compFair,avg_compUnfair,avg_OutGrpFair,avg_OutGrpUnfair,avg_InGrpFair,avg_InGrpUnfair,avg_compFairRT,avg_compUnfairRT,avg_OutGrpFairRT,avg_OutGrpUnfairRT,avg_InGrpFairRT,avg_InGrpUnfairRT,misses
103,1,0.125000,0.125000,0.500000,0.000000,0.375000,0.125000,1.462839,1.368144,1.364595,1.554175,1.418677,1.353264,0.000000
103,2,0.625000,0.125000,0.500000,0.125000,0.750000,0.125000,1.383079,1.359767,1.394203,1.317953,1.352385,1.434718,0.000000
104,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.390850,1.399909,1.420970,1.411701,1.520952,1.353650,0.000000
104,2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.504205,1.368370,1.616675,1.368740,1.343367,1.337233,0.000000
105,1,0.875000,0.285714,0.812500,0.500000,1.000000,0.375000,1.601669,1.642096,1.627699,1.624980,1.631791,1.865520,0.000000
105,2,0.875000,0.500000,0.875000,0.500000,1.000000,0.750000,1.562936,1.749972,1.608485,1.568085,1.560225,1.823436,0.000000
106,1,0.750000,0.125000,0.750000,0.125000,0.750000,0.187500,1.399302,1.289381,1.281812,1.382721,1.262117,1.367885,0.000000
106,2,0.750000,0.062500,0.750000,0.125000,0.625000,0.125000,1.357685,1.351189,1.463200,1.208349,1.263574,1.327472,0.000000
107,1,0.437500,0.312500,0.750000,0.437500,0.750000,0.125000,1.629014,1.701214,1.757434,1.493211,1.753076,1.593181,0.000000
107,2,0.625000,0.250000,0.812500,0.428571,0.800000,0.250000,1.554118,1.500112,1.420459,1.349729,1.458102,1.369642,0.000000
108,1,0.812500,0.250000,0.875000,0.562500,0.875000,0.250000,1.258847,1.579080,1.530729,1.190634,1.428911,1.028285,0.000000
108,2,0.875000,0.250000,0.875000,0.375000,0.875000,0.250000,1.129054,1.021713,1.024918,1.025934,1.024697,1.023262,0.000000
109,1,1.000000,1.000000,1.000000,0.857143,1.000000,0.928571,1.937294,1.921075,1.838801,1.932803,1.872351,2.012734,0.000000
