Trialn,Blockn,BlockType,Partner,Feedback,ITI
1,1,2,1,1,1
2,1,2,1,3,1
3,1,2,1,3,1
4,1,2,1,3,1
5,1,2,1,3,1
6,1,2,1,3,1
7,1,2,1,3,1
8,1,2,1,1,8
9,2,1,1,1,1
10,2,1,1,3,1
11,2,1,1,1,1
12,2,1,1,1,1
13,2,1,1,1,1
14,2,1,1,1,1
15,2,1,1,2,1
16,2,1,1,1,8
17,3,3,2,2,1
18,3,3,2,1,1
19,3,3,2,1,1
20,3,3,2,1,1
21,3,3,2,1,1
22,3,3,2,2,1
23,3,3,2,1,1
24,3,3,2,1,8
25,4,6,3,3,1
26,4,6,3,3,1
27,4,6,3,2,1
28,4,6,3,3,1
29,4,6,3,3,1
30,4,6,3,3,1
31,4,6,3,3,1
32,4,6,3,2,10
33,5,4,2,3,1
34,5,4,2,2,1
35,5,4,2,3,1
36,5,4,2,3,1
37,5,4,2,3,1
38,5,4,2,2,1
39,5,4,2,3,1
40,5,4,2,3,10
41,6,3,2,3,1
42,6,3,2,1,1
43,6,3,2,2,1
44,6,3,2,1,1
45,6,3,2,1,1
46,6,3,2,1,1
47,6,3,2,1,1
48,6,3,2,1,8
49,7,1,1,1,1
50,7,1,1,1,1
51,7,1,1,3,1
52,7,1,1,1,1
53,7,1,1,1,1
54,7,1,1,3,1
55,7,1,1,1,1
56,7,1,1,1,12
57,8,2,1,3,1
58,8,2,1,3,1
59,8,2,1,2,1
60,8,2,1,3,1
61,8,2,1,3,1
62,8,2,1,3,1
63,8,2,1,2,1
64,8,2,1,3,8
65,9,5,3,1,1
66,9,5,3,1,1
67,9,5,3,1,1
68,9,5,3,2,1
69,9,5,3,1,1
70,9,5,3,1,1
71,9,5,3,3,1
72,9,5,3,1,12
73,10,4,2,3,1
74,10,4,2,2,1
75,10,4,2,3,1
76,10,4,2,3,1
77,10,4,2,3,1
78,10,4,2,1,1
79,10,4,2,3,1
80,10,4,2,3,10
81,11,5,3,3,1
82,11,5,3,1,1
83,11,5,3,1,1
84,11,5,3,1,1
85,11,5,3,1,1
86,11,5,3,1,1
87,11,5,3,1,1
88,11,5,3,3,8
89,12,6,3,3,1
90,12,6,3,3,1
91,12,6,3,1,1
92,12,6,3,3,1
93,12,6,3,2,1
94,12,6,3,3,1
95,12,6,3,3,1
96,12,6,3,3,12
