Trialn,Blockn,BlockType,Partner,Feedback,ITI
1,1,3,2,1,1
2,1,3,2,2,1
3,1,3,2,1,1
4,1,3,2,1,1
5,1,3,2,1,1
6,1,3,2,1,1
7,1,3,2,1,1
8,1,3,2,2,12
9,2,6,3,3,1
10,2,6,3,3,1
11,2,6,3,3,1
12,2,6,3,3,1
13,2,6,3,1,1
14,2,6,3,3,1
15,2,6,3,3,1
16,2,6,3,1,8
17,3,4,2,3,1
18,3,4,2,3,1
19,3,4,2,1,1
20,3,4,2,3,1
21,3,4,2,2,1
22,3,4,2,3,1
23,3,4,2,3,1
24,3,4,2,3,10
25,4,5,3,1,1
26,4,5,3,1,1
27,4,5,3,3,1
28,4,5,3,1,1
29,4,5,3,1,1
30,4,5,3,1,1
31,4,5,3,1,1
32,4,5,3,2,12
33,5,2,1,1,1
34,5,2,1,3,1
35,5,2,1,3,1
36,5,2,1,3,1
37,5,2,1,3,1
38,5,2,1,3,1
39,5,2,1,3,1
40,5,2,1,2,8
41,6,5,3,1,1
42,6,5,3,1,1
43,6,5,3,2,1
44,6,5,3,1,1
45,6,5,3,2,1
46,6,5,3,1,1
47,6,5,3,1,1
48,6,5,3,1,10
49,7,3,2,1,1
50,7,3,2,1,1
51,7,3,2,1,1
52,7,3,2,1,1
53,7,3,2,2,1
54,7,3,2,3,1
55,7,3,2,1,1
56,7,3,2,1,8
57,8,4,2,3,1
58,8,4,2,2,1
59,8,4,2,2,1
60,8,4,2,3,1
61,8,4,2,3,1
62,8,4,2,3,1
63,8,4,2,3,1
64,8,4,2,3,8
65,9,1,1,1,1
66,9,1,1,1,1
67,9,1,1,1,1
68,9,1,1,1,1
69,9,1,1,2,1
70,9,1,1,1,1
71,9,1,1,1,1
72,9,1,1,2,10
73,10,6,3,2,1
74,10,6,3,3,1
75,10,6,3,1,1
76,10,6,3,3,1
77,10,6,3,3,1
78,10,6,3,3,1
79,10,6,3,3,1
80,10,6,3,3,8
81,11,1,1,1,1
82,11,1,1,1,1
83,11,1,1,1,1
84,11,1,1,1,1
85,11,1,1,1,1
86,11,1,1,1,1
87,11,1,1,2,1
88,11,1,1,3,12
89,12,2,1,3,1
90,12,2,1,3,1
91,12,2,1,3,1
92,12,2,1,3,1
93,12,2,1,1,1
94,12,2,1,1,1
95,12,2,1,3,1
96,12,2,1,3,8
