Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,4,2,0,5.000000e-01,2
2,0,8,2,1,6.500000e+00,8
3,4,8,2,1,2.500000e+00,2
4,2,0,3,1,5.000000e-01,2
5,4,2,2,1,2.500000e+00,2
6,2,4,2,0,4.500000e+00,2
7,0,8,1,0,4.500000e+00,4
8,0,4,3,1,4.500000e+00,2
9,2,8,3,0,5.000000e-01,10
10,2,8,1,1,4.500000e+00,8
11,4,8,2,0,2.500000e+00,6
12,4,2,1,1,5.000000e-01,2
13,0,2,1,1,5.000000e-01,2
14,0,8,2,0,5.000000e-01,2
15,0,8,3,1,5.000000e-01,4
16,8,2,2,0,6.500000e+00,4
17,4,8,3,1,2.500000e+00,2
18,2,8,1,0,5.000000e-01,2
19,8,0,3,0,2.500000e+00,2
20,2,4,3,1,2.500000e+00,4
21,2,0,2,1,5.000000e-01,4
22,0,4,1,1,5.000000e-01,2
23,2,8,3,1,5.000000e-01,4
24,4,8,3,0,5.000000e-01,4
25,2,0,2,0,5.000000e-01,6
26,0,2,1,0,2.500000e+00,2
27,2,8,2,1,5.000000e-01,6
28,0,4,3,0,2.500000e+00,2
29,2,4,1,0,5.000000e-01,2
30,4,8,1,0,4.500000e+00,2
31,0,8,1,1,5.000000e-01,6
32,2,0,3,0,5.000000e-01,2
33,0,4,2,1,4.500000e+00,4
34,2,4,3,0,5.000000e-01,6
35,4,0,1,0,2.500000e+00,4
36,8,4,1,1,2.500000e+00,4
