Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,8,1,0,5.000000e-01,10
2,8,4,1,0,5.000000e-01,4
3,4,2,1,0,2.500000e+00,6
4,0,2,1,0,5.000000e-01,2
5,2,0,1,1,2.500000e+00,2
6,4,0,3,0,5.000000e-01,2
7,2,8,2,1,4.500000e+00,2
8,0,4,1,1,2.500000e+00,2
9,0,8,2,1,2.500000e+00,2
10,2,8,3,0,5.000000e-01,4
11,0,4,3,1,5.000000e-01,4
12,0,4,1,0,4.500000e+00,4
13,0,8,1,1,5.000000e-01,8
14,4,2,1,1,5.000000e-01,4
15,4,2,3,1,4.500000e+00,4
16,8,2,1,1,5.000000e-01,4
17,8,4,2,0,4.500000e+00,2
18,4,0,2,0,4.500000e+00,6
19,2,0,3,0,4.500000e+00,4
20,8,4,3,1,2.500000e+00,2
21,0,2,2,0,5.000000e-01,6
22,8,4,1,1,5.000000e-01,6
23,2,4,2,1,5.000000e-01,2
24,0,2,2,1,6.500000e+00,2
25,8,4,2,1,6.500000e+00,4
26,4,0,2,1,2.500000e+00,2
27,8,4,3,0,5.000000e-01,2
28,2,4,3,0,5.000000e-01,6
29,8,2,2,0,5.000000e-01,8
30,8,2,1,0,2.500000e+00,2
31,2,8,3,1,5.000000e-01,2
32,8,0,3,1,2.500000e+00,4
33,4,2,2,0,2.500000e+00,2
34,8,0,2,0,2.500000e+00,2
35,8,0,3,0,5.000000e-01,2
36,0,2,3,1,5.000000e-01,2
