Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,0,2,1,5.000000e-01,6
2,4,2,1,0,5.000000e-01,4
3,8,2,1,1,4.500000e+00,2
4,4,2,2,0,6.500000e+00,2
5,4,0,2,1,5.000000e-01,4
6,4,8,1,1,2.500000e+00,2
7,8,0,2,0,4.500000e+00,4
8,8,4,3,1,5.000000e-01,2
9,0,8,2,1,5.000000e-01,2
10,4,0,2,0,2.500000e+00,2
11,2,0,1,0,5.000000e-01,10
12,2,8,1,0,5.000000e-01,2
13,2,4,2,1,5.000000e-01,4
14,2,8,2,1,2.500000e+00,4
15,8,4,3,0,5.000000e-01,2
16,4,2,3,1,2.500000e+00,4
17,0,4,1,0,5.000000e-01,6
18,2,8,3,1,4.500000e+00,2
19,0,2,3,0,2.500000e+00,2
20,2,0,2,0,5.000000e-01,2
21,4,0,3,1,4.500000e+00,2
22,8,0,1,0,2.500000e+00,2
23,0,8,3,1,5.000000e-01,6
24,2,4,3,0,2.500000e+00,2
25,0,4,1,1,6.500000e+00,4
26,4,8,1,0,2.500000e+00,8
27,2,0,1,1,5.000000e-01,4
28,8,2,3,0,5.000000e-01,2
29,2,8,2,0,5.000000e-01,4
30,2,4,1,1,5.000000e-01,8
31,0,4,3,0,4.500000e+00,6
32,8,4,2,1,4.500000e+00,2
33,8,0,3,0,5.000000e-01,2
34,0,8,1,1,2.500000e+00,2
35,8,4,2,0,2.500000e+00,4
36,2,0,3,1,5.000000e-01,6
