Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,8,2,1,5.000000e-01,2
2,8,4,3,0,5.000000e-01,4
3,0,2,2,0,5.000000e-01,2
4,4,8,1,0,5.000000e-01,2
5,4,2,3,1,4.500000e+00,4
6,0,4,1,1,6.500000e+00,2
7,0,8,2,1,2.500000e+00,2
8,8,0,1,1,4.500000e+00,2
9,4,8,2,1,5.000000e-01,2
10,2,4,1,0,4.500000e+00,2
11,8,2,3,1,5.000000e-01,4
12,0,2,3,0,5.000000e-01,2
13,2,4,2,1,5.000000e-01,4
14,0,8,3,0,5.000000e-01,4
15,0,8,2,0,5.000000e-01,2
16,0,4,1,0,5.000000e-01,2
17,8,0,3,1,2.500000e+00,2
18,0,2,2,1,4.500000e+00,6
19,0,4,2,1,5.000000e-01,4
20,0,2,1,1,4.500000e+00,10
21,0,8,1,0,2.500000e+00,8
22,4,0,3,0,2.500000e+00,6
23,4,0,3,1,5.000000e-01,2
24,2,4,1,1,2.500000e+00,2
25,8,2,1,0,2.500000e+00,8
26,2,8,1,1,2.500000e+00,4
27,4,8,1,1,4.500000e+00,2
28,2,4,2,0,5.000000e-01,4
29,2,0,1,0,2.500000e+00,6
30,2,8,3,0,5.000000e-01,2
31,4,8,2,0,2.500000e+00,6
32,4,0,2,0,2.500000e+00,6
33,8,4,3,1,5.000000e-01,2
34,2,0,3,1,5.000000e-01,4
35,4,2,3,0,6.500000e+00,4
36,2,8,2,0,5.000000e-01,2
