Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,8,3,1,6.500000e+00,2
2,4,8,1,1,4.500000e+00,4
3,8,2,2,1,4.500000e+00,2
4,8,4,2,1,5.000000e-01,2
5,0,4,2,1,5.000000e-01,4
6,2,8,2,0,4.500000e+00,8
7,4,8,3,0,2.500000e+00,2
8,4,8,2,0,2.500000e+00,4
9,2,0,2,0,2.500000e+00,2
10,8,0,1,0,2.500000e+00,4
11,0,4,2,0,5.000000e-01,2
12,0,4,3,0,5.000000e-01,4
13,0,8,1,1,5.000000e-01,2
14,2,0,3,1,2.500000e+00,6
15,0,2,2,1,4.500000e+00,2
16,2,4,1,0,5.000000e-01,2
17,2,4,1,1,5.000000e-01,2
18,2,4,3,1,2.500000e+00,2
19,8,0,3,0,2.500000e+00,4
20,8,2,1,0,5.000000e-01,6
21,8,0,2,0,2.500000e+00,4
22,4,0,1,1,5.000000e-01,2
23,0,2,1,1,6.500000e+00,2
24,2,4,2,1,5.000000e-01,2
25,0,2,3,0,5.000000e-01,2
26,0,8,2,1,4.500000e+00,6
27,0,2,1,0,5.000000e-01,6
28,4,0,3,1,5.000000e-01,2
29,4,0,1,0,5.000000e-01,4
30,8,2,1,1,2.500000e+00,2
31,2,8,3,1,4.500000e+00,2
32,4,8,1,0,2.500000e+00,4
33,2,4,3,0,5.000000e-01,6
34,4,8,3,1,5.000000e-01,10
35,2,8,3,0,5.000000e-01,8
36,2,4,2,0,5.000000e-01,4
