Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,8,1,1,2.500000e+00,8
2,2,0,1,0,5.000000e-01,4
3,2,4,1,0,6.500000e+00,2
4,2,4,2,0,4.500000e+00,2
5,8,4,3,1,6.500000e+00,6
6,2,8,1,1,2.500000e+00,2
7,2,8,2,0,5.000000e-01,10
8,0,4,2,1,5.000000e-01,2
9,4,0,1,1,5.000000e-01,2
10,4,2,2,1,5.000000e-01,2
11,2,8,3,1,5.000000e-01,2
12,0,8,2,1,5.000000e-01,6
13,2,4,3,0,4.500000e+00,4
14,4,8,1,0,5.000000e-01,4
15,2,8,2,1,4.500000e+00,4
16,4,8,3,0,2.500000e+00,6
17,2,8,1,0,4.500000e+00,4
18,8,0,3,0,4.500000e+00,8
19,0,2,3,1,2.500000e+00,2
20,2,0,2,1,5.000000e-01,6
21,4,8,2,1,2.500000e+00,2
22,0,4,2,0,5.000000e-01,2
23,0,2,1,1,5.000000e-01,4
24,0,8,2,0,2.500000e+00,4
25,0,8,3,1,5.000000e-01,4
26,4,0,3,1,2.500000e+00,2
27,4,0,1,0,2.500000e+00,2
28,8,0,1,0,5.000000e-01,6
29,0,4,3,0,5.000000e-01,2
30,2,8,3,0,5.000000e-01,2
31,4,2,3,1,5.000000e-01,2
32,8,4,2,0,2.500000e+00,2
33,2,4,1,1,5.000000e-01,4
34,2,0,3,0,2.500000e+00,2
35,0,2,2,0,4.500000e+00,2
36,8,0,1,1,5.000000e-01,4
