TrialNumber,IsFairBlock,Trialn,Offer,Partner,ITI,Blockn,ran,order,ITIonset,ITIoffset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration
1,1,1,8,2,1,1,1.0,0.0,0.0539932,1.07077,1.07127,3.0,1.40518,2.47646,4.33605,3.26529
2,1,2,7,2,1,1,1.0,1.0,4.33981,5.35607,5.35641,999.0,999.0,999.0,8.35888,3.26813
3,1,3,7,2,1,1,1.0,2.0,8.62783,9.63918,9.63957,999.0,999.0,999.0,12.6428,3.27007
4,1,4,6,2,1,1,1.0,3.0,12.9128,13.9215,13.9219,999.0,999.0,999.0,16.9253,3.27159
5,1,5,8,2,1,1,1.0,4.0,17.1967,18.2036,18.204,3.0,2.75843,20.9624,21.4678,3.26418
6,1,6,1,2,1,1,1.0,5.0,21.4716,22.4883,22.4887,999.0,999.0,999.0,25.4939,3.27189
7,1,7,7,2,1,1,1.0,6.0,25.764,26.7701,26.7704,999.0,999.0,999.0,29.7778,3.27393
8,1,8,7,2,10,1,1.0,7.0,30.0476,40.0617,40.0621,999.0,999.0,999.0,43.0627,3.26714
9,0,9,3,1,1,2,1.0,8.0,43.3367,44.3466,44.3469,999.0,999.0,999.0,47.3626,3.28285
10,0,10,1,1,1,2,1.0,9.0,47.6327,48.6473,48.6477,999.0,999.0,999.0,51.6638,3.28133
11,0,11,4,1,1,2,1.0,10.0,51.9321,52.9465,52.9468,999.0,999.0,999.0,55.9475,3.26809
12,0,12,2,1,1,2,1.0,11.0,56.2178,57.2299,57.2303,999.0,999.0,999.0,60.2309,3.2677
13,0,13,4,1,1,2,1.0,12.0,60.5009,61.5153,61.5157,3.0,2.85143,64.3671,64.7803,3.26504
14,0,14,10,1,1,2,1.0,13.0,64.7833,65.7979,65.7982,2.0,1.41839,67.2166,69.0641,3.26627
15,0,15,1,1,1,2,1.0,14.0,69.0672,70.0815,70.0818,3.0,1.03368,71.1155,73.3479,3.26654
16,0,16,6,1,10,2,1.0,15.0,73.351,83.3656,83.366,3.0,1.21997,84.586,86.6307,3.26509
17,1,17,9,3,1,3,1.0,16.0,86.6369,87.6508,87.6511,3.0,2.98246,90.6336,90.9191,3.26839
18,1,18,3,3,1,3,1.0,17.0,90.9227,91.9348,91.9351,999.0,999.0,999.0,94.9353,3.26569
19,1,19,10,3,1,3,1.0,18.0,95.204,96.2184,96.2188,--,--,--,--,--
20,1,20,5,3,1,3,0.0,--,--,--,--,--,--,--,--,--
21,1,21,8,3,1,3,0.0,--,--,--,--,--,--,--,--,--
22,1,22,7,3,1,3,0.0,--,--,--,--,--,--,--,--,--
23,1,23,9,3,1,3,0.0,--,--,--,--,--,--,--,--,--
24,1,24,9,3,8,3,0.0,--,--,--,--,--,--,--,--,--
25,0,25,4,3,1,4,0.0,--,--,--,--,--,--,--,--,--
26,0,26,4,3,1,4,0.0,--,--,--,--,--,--,--,--,--
27,0,27,1,3,1,4,0.0,--,--,--,--,--,--,--,--,--
28,0,28,7,3,1,4,0.0,--,--,--,--,--,--,--,--,--
29,0,29,4,3,1,4,0.0,--,--,--,--,--,--,--,--,--
30,0,30,4,3,1,4,0.0,--,--,--,--,--,--,--,--,--
31,0,31,6,3,1,4,0.0,--,--,--,--,--,--,--,--,--
32,0,32,3,3,12,4,0.0,--,--,--,--,--,--,--,--,--
33,1,33,6,1,1,5,0.0,--,--,--,--,--,--,--,--,--
34,1,34,7,1,1,5,0.0,--,--,--,--,--,--,--,--,--
35,1,35,8,1,1,5,0.0,--,--,--,--,--,--,--,--,--
36,1,36,8,1,1,5,0.0,--,--,--,--,--,--,--,--,--
37,1,37,10,1,1,5,0.0,--,--,--,--,--,--,--,--,--
38,1,38,8,1,1,5,0.0,--,--,--,--,--,--,--,--,--
39,1,39,4,1,1,5,0.0,--,--,--,--,--,--,--,--,--
40,1,40,8,1,10,5,0.0,--,--,--,--,--,--,--,--,--
41,1,41,3,2,1,6,0.0,--,--,--,--,--,--,--,--,--
42,1,42,9,2,1,6,0.0,--,--,--,--,--,--,--,--,--
43,1,43,8,2,1,6,0.0,--,--,--,--,--,--,--,--,--
44,1,44,5,2,1,6,0.0,--,--,--,--,--,--,--,--,--
45,1,45,7,2,1,6,0.0,--,--,--,--,--,--,--,--,--
46,1,46,7,2,1,6,0.0,--,--,--,--,--,--,--,--,--
47,1,47,9,2,1,6,0.0,--,--,--,--,--,--,--,--,--
48,1,48,8,2,12,6,0.0,--,--,--,--,--,--,--,--,--
49,1,49,5,3,1,7,0.0,--,--,--,--,--,--,--,--,--
50,1,50,9,3,1,7,0.0,--,--,--,--,--,--,--,--,--
51,1,51,2,3,1,7,0.0,--,--,--,--,--,--,--,--,--
52,1,52,7,3,1,7,0.0,--,--,--,--,--,--,--,--,--
53,1,53,8,3,1,7,0.0,--,--,--,--,--,--,--,--,--
54,1,54,8,3,1,7,0.0,--,--,--,--,--,--,--,--,--
55,1,55,10,3,1,7,0.0,--,--,--,--,--,--,--,--,--
56,1,56,7,3,8,7,0.0,--,--,--,--,--,--,--,--,--
57,0,57,1,3,1,8,0.0,--,--,--,--,--,--,--,--,--
58,0,58,1,3,1,8,0.0,--,--,--,--,--,--,--,--,--
59,0,59,1,3,1,8,0.0,--,--,--,--,--,--,--,--,--
60,0,60,8,3,1,8,0.0,--,--,--,--,--,--,--,--,--
61,0,61,4,3,1,8,0.0,--,--,--,--,--,--,--,--,--
62,0,62,2,3,1,8,0.0,--,--,--,--,--,--,--,--,--
63,0,63,4,3,1,8,0.0,--,--,--,--,--,--,--,--,--
64,0,64,5,3,12,8,0.0,--,--,--,--,--,--,--,--,--
65,0,65,8,2,1,9,0.0,--,--,--,--,--,--,--,--,--
66,0,66,1,2,1,9,0.0,--,--,--,--,--,--,--,--,--
67,0,67,2,2,1,9,0.0,--,--,--,--,--,--,--,--,--
68,0,68,2,2,1,9,0.0,--,--,--,--,--,--,--,--,--
69,0,69,1,2,1,9,0.0,--,--,--,--,--,--,--,--,--
70,0,70,4,2,1,9,0.0,--,--,--,--,--,--,--,--,--
71,0,71,5,2,1,9,0.0,--,--,--,--,--,--,--,--,--
72,0,72,3,2,8,9,0.0,--,--,--,--,--,--,--,--,--
