Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,2,3,1,2.500000e+00,2
2,0,4,3,1,5.000000e-01,6
3,8,0,1,1,5.000000e-01,6
4,0,2,2,0,4.500000e+00,2
5,2,8,2,1,2.500000e+00,4
6,0,8,2,0,5.000000e-01,4
7,8,2,3,1,2.500000e+00,2
8,8,2,3,0,4.500000e+00,2
9,8,2,1,0,5.000000e-01,2
10,0,2,3,0,5.000000e-01,2
11,8,4,3,1,5.000000e-01,4
12,0,8,3,0,5.000000e-01,6
13,4,8,2,1,5.000000e-01,8
14,0,8,3,1,4.500000e+00,4
15,2,0,1,1,5.000000e-01,2
16,4,0,1,1,2.500000e+00,4
17,4,0,1,0,5.000000e-01,2
18,0,8,1,0,5.000000e-01,8
19,4,2,3,1,5.000000e-01,2
20,0,4,2,1,2.500000e+00,4
21,8,4,2,0,6.500000e+00,4
22,8,2,1,1,2.500000e+00,6
23,8,0,2,1,5.000000e-01,2
24,2,4,2,1,4.500000e+00,2
25,8,4,3,0,2.500000e+00,2
26,0,2,1,0,5.000000e-01,4
27,2,8,2,0,2.500000e+00,10
28,2,0,2,1,5.000000e-01,4
29,8,4,1,1,5.000000e-01,2
30,4,2,1,1,4.500000e+00,6
31,2,4,2,0,4.500000e+00,2
32,0,4,3,0,5.000000e-01,2
33,8,4,1,0,2.500000e+00,4
34,2,4,1,0,5.000000e-01,2
35,4,0,2,0,2.500000e+00,2
36,4,2,3,0,6.500000e+00,2
