Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,0,1,0,4.500000e+00,2
2,8,0,1,1,2.500000e+00,6
3,8,2,1,0,5.000000e-01,2
4,0,8,2,0,2.500000e+00,4
5,8,4,3,0,5.000000e-01,2
6,8,2,3,1,2.500000e+00,2
7,8,4,3,1,5.000000e-01,6
8,4,2,1,1,2.500000e+00,2
9,2,4,2,1,4.500000e+00,2
10,4,0,3,0,5.000000e-01,2
11,2,4,3,1,5.000000e-01,6
12,4,2,1,0,5.000000e-01,10
13,4,0,3,1,5.000000e-01,2
14,8,2,1,1,5.000000e-01,4
15,8,2,2,1,4.500000e+00,2
16,8,4,2,1,4.500000e+00,8
17,2,0,1,1,2.500000e+00,6
18,0,2,3,1,6.500000e+00,2
19,8,2,2,0,5.000000e-01,2
20,0,2,3,0,2.500000e+00,2
21,4,8,2,0,5.000000e-01,4
22,8,0,3,0,5.000000e-01,4
23,4,0,1,1,5.000000e-01,4
24,4,2,3,0,2.500000e+00,4
25,4,8,1,0,2.500000e+00,2
26,8,0,1,0,5.000000e-01,2
27,8,2,3,0,5.000000e-01,2
28,0,8,2,1,6.500000e+00,2
29,4,2,2,0,2.500000e+00,8
30,8,0,3,1,4.500000e+00,6
31,0,2,2,0,2.500000e+00,4
32,0,4,2,0,4.500000e+00,4
33,0,2,1,0,5.000000e-01,4
34,0,2,2,1,5.000000e-01,2
35,8,4,1,1,5.000000e-01,2
36,0,4,2,1,5.000000e-01,4
