Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,8,1,0,5.000000e-01,2
2,8,0,3,1,6.500000e+00,8
3,0,2,1,0,5.000000e-01,6
4,8,0,2,1,2.500000e+00,2
5,4,2,2,1,2.500000e+00,4
6,2,0,3,0,5.000000e-01,4
7,0,2,3,1,5.000000e-01,2
8,8,2,1,1,6.500000e+00,4
9,4,8,1,1,5.000000e-01,4
10,8,4,3,0,5.000000e-01,8
11,4,8,2,0,5.000000e-01,2
12,8,0,1,1,4.500000e+00,2
13,2,0,1,1,2.500000e+00,6
14,2,8,3,0,2.500000e+00,2
15,2,4,3,1,4.500000e+00,2
16,2,4,2,0,5.000000e-01,4
17,4,0,3,1,2.500000e+00,2
18,2,8,2,0,2.500000e+00,4
19,2,4,1,0,4.500000e+00,2
20,8,2,2,1,5.000000e-01,2
21,2,4,1,1,4.500000e+00,2
22,4,0,3,0,5.000000e-01,6
23,4,8,2,1,2.500000e+00,2
24,0,4,2,0,5.000000e-01,6
25,2,8,3,1,2.500000e+00,2
26,8,0,2,0,5.000000e-01,4
27,4,2,3,0,5.000000e-01,2
28,8,0,1,0,5.000000e-01,10
29,4,0,2,1,5.000000e-01,2
30,8,2,1,0,2.500000e+00,4
31,4,0,1,0,4.500000e+00,2
32,0,2,2,1,2.500000e+00,2
33,4,8,3,1,4.500000e+00,6
34,8,0,3,0,5.000000e-01,2
35,4,0,1,1,5.000000e-01,4
36,0,2,2,0,5.000000e-01,4
