Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,2,1,0,2.500000e+00,2
2,0,2,3,1,5.000000e-01,6
3,8,0,2,1,2.500000e+00,2
4,0,2,2,1,2.500000e+00,4
5,4,8,2,1,5.000000e-01,2
6,0,4,1,1,5.000000e-01,2
7,4,8,1,1,5.000000e-01,2
8,4,0,2,0,4.500000e+00,2
9,8,2,1,1,5.000000e-01,8
10,8,2,2,0,6.500000e+00,6
11,2,4,2,0,5.000000e-01,6
12,0,8,3,1,5.000000e-01,8
13,8,2,3,0,4.500000e+00,4
14,2,8,3,1,6.500000e+00,2
15,4,0,2,1,5.000000e-01,4
16,8,0,3,0,4.500000e+00,2
17,2,0,1,0,5.000000e-01,2
18,4,0,3,1,5.000000e-01,2
19,8,4,3,0,5.000000e-01,4
20,2,4,3,0,4.500000e+00,4
21,8,4,2,0,2.500000e+00,2
22,4,0,3,0,4.500000e+00,2
23,8,0,2,0,5.000000e-01,6
24,2,0,3,0,2.500000e+00,4
25,8,4,1,0,2.500000e+00,2
26,4,2,3,1,5.000000e-01,10
27,4,2,2,1,2.500000e+00,4
28,2,0,1,1,2.500000e+00,2
29,0,8,1,1,4.500000e+00,2
30,0,4,1,0,2.500000e+00,2
31,8,0,1,0,2.500000e+00,6
32,0,2,2,0,5.000000e-01,4
33,2,4,1,1,5.000000e-01,4
34,8,2,1,0,5.000000e-01,2
35,8,4,3,1,5.000000e-01,2
36,2,8,2,1,5.000000e-01,4
