subnum,run,avg_comp,avg_stranger,avg_friend,avg_comp_logRT,avg_stranger_logRT,avg_friend_logRT,avg_comp_RT,avg_stranger_RT,avg_friend_RT,misses
104,1,4.545455,5.666667,5.666667,0.760753,0.584771,0.472605,2.199730,1.801813,1.606228,1.000000
104,2,5.666667,5.666667,5.666667,0.468082,0.398205,0.450520,1.625318,1.496838,1.573520,0.000000
104,3,5.666667,5.666667,5.666667,0.335940,0.330521,0.359366,1.406346,1.401258,1.441163,0.000000
104,4,5.666667,5.666667,5.666667,0.274780,0.282055,0.369625,1.321837,1.332168,1.465633,0.000000
104,5,5.666667,5.666667,5.666667,0.338825,0.282171,0.316132,1.411827,1.333448,1.376087,0.000000
105,1,2.545455,1.833333,5.666667,0.753012,0.620057,0.547409,2.134013,1.880027,1.740865,1.000000
105,2,3.090909,3.833333,4.666667,0.690923,0.710239,0.685510,2.022888,2.066555,2.007060,1.000000
105,3,4.363636,4.000000,4.500000,0.781221,0.808941,0.773228,2.204820,2.257214,2.212777,1.000000
105,4,4.166667,3.833333,5.166667,0.685102,0.703198,0.687564,2.005506,2.057772,2.037013,0.000000
105,5,3.833333,4.500000,4.666667,0.768032,0.781374,0.629928,2.194615,2.215871,1.918746,0.000000
106,1,3.333333,2.909091,4.545455,0.616844,0.592107,0.554885,1.868253,1.818775,1.755031,2.000000
106,2,4.500000,3.666667,3.333333,0.540582,0.512117,0.485686,1.736018,1.698803,1.643186,0.000000
106,3,1.833333,1.833333,1.500000,0.573207,0.466363,0.492772,1.786362,1.605120,1.647183,0.000000
107,1,2.333333,3.666667,5.166667,0.540279,0.631365,0.465580,1.732727,1.916282,1.599097,0.000000
107,2,4.000000,4.333333,4.666667,0.579071,0.620469,0.511699,1.805357,1.886951,1.682362,0.000000
107,3,3.833333,4.333333,5.166667,0.586951,0.560219,0.571755,1.814362,1.762412,1.792859,0.000000
107,4,2.000000,4.000000,4.833333,0.613445,0.602918,0.619192,1.862248,1.842783,1.877463,0.000000
107,5,3.833333,5.000000,4.833333,0.603716,0.603401,0.626391,1.838486,1.846927,1.888543,0.000000
108,1,2.833333,4.166667,5.666667,0.572126,0.592834,0.528201,1.782820,1.822193,1.708331,0.000000
108,2,5.500000,5.333333,5.666667,0.552367,0.539249,0.463873,1.744163,1.725900,1.594690,0.000000
108,3,5.000000,5.500000,5.666667,0.410350,0.373875,0.346546,1.521530,1.462459,1.419159,0.000000
108,4,4.500000,5.666667,5.666667,0.448697,0.316974,0.275118,1.593044,1.382458,1.323153,0.000000
108,5,4.666667,5.090909,5.666667,0.393645,0.302145,0.350924,1.493858,1.366582,1.433186,1.000000
109,1,5.090909,5.272727,5.666667,0.742765,0.678531,0.708354,2.126430,2.012564,2.064339,2.000000
109,2,4.666667,4.500000,5.666667,0.784873,0.688312,0.750089,2.222092,2.028190,2.157456,0.000000
110,1,4.000000,4.833333,5.000000,0.388246,0.356791,0.291251,1.480508,1.451666,1.350068,0.000000
110,2,4.333333,4.500000,3.666667,0.400029,0.459717,0.403940,1.499890,1.592282,1.517231,0.000000
111,1,5.000000,4.800000,6.333333,0.827574,0.831197,0.837668,2.317795,2.308012,2.343963,21.000000
111,2,2.600000,2.363636,3.166667,0.586648,0.680220,0.577194,1.828865,2.020645,1.813105,3.000000
111,3,5.666667,5.666667,5.666667,0.681044,0.644524,0.675565,1.988535,1.915789,1.980326,0.000000
111,4,5.333333,5.666667,5.666667,0.488067,0.505030,0.553907,1.640510,1.659855,1.747422,0.000000
111,5,5.666667,5.500000,5.666667,0.540931,0.515416,0.488376,1.747581,1.687404,1.642918,0.000000
112,1,2.833333,5.500000,5.166667,0.498749,0.559462,0.469090,1.652003,1.754731,1.600496,0.000000
112,2,4.166667,3.833333,5.000000,0.481781,0.478570,0.471754,1.624511,1.619934,1.616395,0.000000
112,3,5.000000,4.666667,4.500000,0.492490,0.508612,0.559141,1.642452,1.671723,1.762303,0.000000
112,4,5.000000,5.166667,4.833333,0.500852,0.516117,0.524341,1.696512,1.688083,1.715240,0.000000
112,5,5.666667,5.333333,4.545455,0.510924,0.487884,0.490210,1.682022,1.639510,1.655219,1.000000
113,1,2.666667,5.166667,4.000000,0.639269,0.644713,0.611484,1.926903,1.918840,1.867181,0.000000
113,2,2.333333,5.454545,4.000000,0.566514,0.527686,0.588524,1.772780,1.702294,1.823653,1.000000
113,3,2.000000,5.666667,4.833333,0.510178,0.553827,0.474273,1.672452,1.760229,1.627677,0.000000
