Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,4,1,1,5.000000e-01,8
2,4,0,2,1,5.000000e-01,6
3,4,8,1,1,2.500000e+00,4
4,2,0,1,0,5.000000e-01,2
5,2,8,1,1,5.000000e-01,2
6,8,4,3,0,5.000000e-01,2
7,0,8,3,0,5.000000e-01,4
8,4,0,1,0,4.500000e+00,2
9,4,2,3,0,4.500000e+00,2
10,2,4,3,1,5.000000e-01,8
11,0,2,1,1,5.000000e-01,2
12,4,2,2,1,5.000000e-01,4
13,0,4,3,0,5.000000e-01,2
14,8,2,1,0,5.000000e-01,6
15,8,0,1,1,2.500000e+00,2
16,0,8,1,0,4.500000e+00,2
17,4,0,1,1,4.500000e+00,4
18,8,4,1,0,5.000000e-01,4
19,0,8,3,1,6.500000e+00,2
20,4,0,2,0,2.500000e+00,2
21,0,2,2,1,2.500000e+00,2
22,2,8,2,0,2.500000e+00,2
23,2,4,2,0,5.000000e-01,10
24,4,8,3,1,5.000000e-01,2
25,8,2,2,1,5.000000e-01,4
26,0,2,3,0,4.500000e+00,6
27,8,0,2,1,2.500000e+00,2
28,0,2,3,1,6.500000e+00,4
29,8,2,3,0,5.000000e-01,4
30,4,0,3,1,2.500000e+00,6
31,0,8,2,0,5.000000e-01,2
32,8,4,2,0,4.500000e+00,4
33,8,4,2,1,5.000000e-01,2
34,2,8,3,1,2.500000e+00,6
35,0,2,2,0,2.500000e+00,4
36,2,4,1,0,2.500000e+00,2
