Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,8,0,1,0,5.000000e-01,4
2,2,4,1,1,2.500000e+00,2
3,2,0,3,1,5.000000e-01,2
4,8,0,2,0,2.500000e+00,2
5,4,8,3,0,6.500000e+00,2
6,2,8,2,0,5.000000e-01,2
7,8,0,1,1,5.000000e-01,6
8,2,0,1,1,4.500000e+00,2
9,4,8,2,1,5.000000e-01,2
10,0,4,3,1,4.500000e+00,10
11,0,8,3,1,4.500000e+00,2
12,4,8,1,0,5.000000e-01,6
13,0,2,2,0,5.000000e-01,8
14,2,4,2,1,5.000000e-01,2
15,8,0,2,1,2.500000e+00,2
16,8,2,2,1,2.500000e+00,6
17,2,0,2,1,5.000000e-01,4
18,0,2,1,0,5.000000e-01,4
19,4,2,1,0,4.500000e+00,4
20,2,0,3,0,5.000000e-01,6
21,2,4,3,1,2.500000e+00,4
22,2,8,3,0,5.000000e-01,4
23,4,0,1,1,5.000000e-01,2
24,8,2,1,0,5.000000e-01,2
25,4,0,2,0,5.000000e-01,4
26,2,4,3,0,5.000000e-01,2
27,4,2,2,0,2.500000e+00,4
28,8,4,1,1,5.000000e-01,4
29,4,0,1,0,2.500000e+00,8
30,4,8,2,0,5.000000e-01,2
31,4,8,3,1,2.500000e+00,2
32,0,8,3,0,6.500000e+00,2
33,4,0,2,1,4.500000e+00,4
34,8,2,3,1,4.500000e+00,6
35,0,4,3,0,2.500000e+00,2
36,8,2,1,1,2.500000e+00,2
