subnum,run,avg_comp,avg_stranger,avg_friend,avg_comp_RT,avg_stranger_RT,avg_friend_RT,misses
103,1,1.333333,2.666667,5.666667,0.529002,0.773990,0.537142,0.000000
103,2,1.333333,2.181818,5.000000,0.597426,0.609528,0.570304,1.000000
103,3,2.666667,3.833333,5.333333,0.583532,0.763208,0.451931,0.000000
103,4,4.333333,4.500000,5.333333,0.491821,0.603375,0.476253,0.000000
103,5,4.333333,3.500000,5.666667,0.555346,0.521339,0.357456,0.000000
104,1,4.545455,5.666667,5.666667,0.760753,0.584771,0.472605,1.000000
104,2,5.666667,5.666667,5.666667,0.468082,0.398205,0.450520,0.000000
104,3,5.666667,5.666667,5.666667,0.335940,0.330521,0.359366,0.000000
104,4,5.666667,5.666667,5.666667,0.274780,0.282055,0.369625,0.000000
104,5,5.666667,5.666667,5.666667,0.338825,0.282171,0.316132,0.000000
105,1,2.545455,1.833333,5.666667,0.753012,0.620057,0.547409,1.000000
105,2,3.090909,3.833333,4.666667,0.690923,0.710239,0.685510,1.000000
105,3,4.363636,4.000000,4.500000,0.781221,0.808941,0.773228,1.000000
105,4,4.166667,3.833333,5.166667,0.685102,0.703198,0.687564,0.000000
105,5,3.833333,4.500000,4.666667,0.768032,0.781374,0.629928,0.000000
106,1,3.333333,2.909091,4.545455,0.616844,0.592107,0.554885,2.000000
106,2,4.500000,3.666667,3.333333,0.540582,0.512117,0.485686,0.000000
106,3,1.833333,1.833333,1.500000,0.573207,0.466363,0.492772,0.000000
107,1,2.333333,3.666667,5.166667,0.540279,0.631365,0.465580,0.000000
107,2,4.000000,4.333333,4.666667,0.579071,0.620469,0.511699,0.000000
107,3,3.833333,4.333333,5.166667,0.586951,0.560219,0.571755,0.000000
107,4,2.000000,4.000000,4.833333,0.613445,0.602918,0.619192,0.000000
107,5,3.833333,5.000000,4.833333,0.603716,0.603401,0.626391,0.000000
108,1,2.833333,4.166667,5.666667,0.572126,0.592834,0.528201,0.000000
108,2,5.500000,5.333333,5.666667,0.552367,0.539249,0.463873,0.000000
108,3,5.000000,5.500000,5.666667,0.410350,0.373875,0.346546,0.000000
108,4,4.500000,5.666667,5.666667,0.448697,0.316974,0.275118,0.000000
108,5,4.666667,5.090909,5.666667,0.393645,0.302145,0.350924,1.000000
109,1,5.090909,5.272727,5.666667,0.742765,0.678531,0.708354,2.000000
109,2,4.666667,4.500000,5.666667,0.784873,0.688312,0.750089,0.000000
110,1,4.000000,4.833333,5.000000,0.388246,0.356791,0.291251,0.000000
110,2,4.333333,4.500000,3.666667,0.400029,0.459717,0.403940,0.000000
111,1,5.000000,4.800000,6.333333,0.827574,0.831197,0.837668,21.000000
111,2,2.600000,2.363636,3.166667,0.586648,0.680220,0.577194,3.000000
111,3,5.666667,5.666667,5.666667,0.681044,0.644524,0.675565,0.000000
111,4,5.333333,5.666667,5.666667,0.488067,0.505030,0.553907,0.000000
111,5,5.666667,5.500000,5.666667,0.540931,0.515416,0.488376,0.000000
112,1,2.833333,5.500000,5.166667,0.498749,0.559462,0.469090,0.000000
112,2,4.166667,3.833333,5.000000,0.481781,0.478570,0.471754,0.000000
112,3,5.000000,4.666667,4.500000,0.492490,0.508612,0.559141,0.000000
112,4,5.000000,5.166667,4.833333,0.500852,0.516117,0.524341,0.000000
112,5,5.666667,5.333333,4.545455,0.510924,0.487884,0.490210,1.000000
113,1,2.666667,5.166667,4.000000,0.639269,0.644713,0.611484,0.000000
113,2,2.333333,5.454545,4.000000,0.566514,0.527686,0.588524,1.000000
113,3,2.000000,5.666667,4.833333,0.510178,0.553827,0.474273,0.000000
113,4,2.500000,5.333333,5.666667,0.523319,0.573128,0.464597,0.000000
113,5,2.666667,5.666667,5.666667,0.495571,0.471021,0.420005,0.000000
114,1,2.545455,3.166667,3.833333,0.628572,0.675018,0.718752,1.000000
114,2,3.333333,2.500000,2.666667,0.506759,0.560577,0.584073,0.000000
114,3,3.000000,3.500000,2.333333,0.250511,0.346983,0.309625,0.000000
114,4,4.000000,3.500000,4.333333,0.230611,0.206160,0.271757,0.000000
114,5,2.833333,3.666667,2.833333,0.216679,0.268234,0.151996,0.000000
115,1,2.888889,2.600000,3.090909,0.783660,0.741870,0.689132,6.000000
115,2,3.333333,1.600000,1.666667,0.832628,0.628214,0.552454,2.000000
115,3,1.454545,1.833333,1.500000,0.659465,0.597941,0.510045,1.000000
115,4,2.666667,3.000000,1.818182,0.698813,0.745023,0.601554,1.000000
115,5,1.666667,1.500000,1.600000,0.532204,0.675559,0.696887,2.000000
116,1,1.333333,5.500000,5.166667,0.442548,0.422184,0.415957,0.000000
116,2,3.166667,3.833333,4.166667,0.432730,0.436224,0.343558,0.000000
116,3,5.166667,5.166667,5.166667,0.400420,0.506208,0.436071,0.000000
116,4,1.833333,2.833333,4.000000,0.496459,0.411800,0.489160,0.000000
116,5,3.166667,3.166667,4.500000,0.399009,0.473260,0.366110,0.000000
117,1,2.833333,2.666667,3.833333,0.593832,0.553973,0.545722,0.000000
117,2,1.833333,3.000000,3.833333,0.467952,0.527152,0.504009,0.000000
117,3,3.636364,2.833333,2.833333,0.461422,0.422010,0.401598,1.000000
117,4,3.333333,2.166667,3.333333,0.315157,0.218125,0.289543,0.000000
117,5,3.166667,3.000000,4.000000,0.306110,0.234594,0.186243,0.000000
