Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,4,3,0,2.500000e+00,6
2,0,2,1,1,6.500000e+00,4
3,0,4,3,1,5.000000e-01,6
4,2,4,1,1,5.000000e-01,2
5,0,2,1,0,2.500000e+00,2
6,4,2,3,0,5.000000e-01,4
7,4,8,3,1,5.000000e-01,2
8,8,0,1,0,5.000000e-01,2
9,2,0,3,0,5.000000e-01,6
10,4,8,2,0,4.500000e+00,10
11,2,8,1,1,2.500000e+00,4
12,2,8,2,1,2.500000e+00,4
13,0,2,2,0,5.000000e-01,2
14,8,2,3,0,5.000000e-01,4
15,8,0,3,0,4.500000e+00,6
16,8,0,2,1,5.000000e-01,2
17,4,2,2,0,2.500000e+00,2
18,8,2,1,0,2.500000e+00,2
19,8,0,3,1,2.500000e+00,2
20,2,0,3,1,5.000000e-01,6
21,8,4,1,0,5.000000e-01,4
22,2,4,1,0,6.500000e+00,2
23,4,8,2,1,5.000000e-01,4
24,8,2,2,0,5.000000e-01,2
25,8,0,1,1,2.500000e+00,8
26,0,2,2,1,4.500000e+00,2
27,2,4,3,1,4.500000e+00,2
28,8,4,3,0,5.000000e-01,2
29,0,4,1,0,5.000000e-01,2
30,4,2,2,1,4.500000e+00,2
31,8,0,2,0,4.500000e+00,4
32,8,4,1,1,5.000000e-01,2
33,4,0,2,1,2.500000e+00,2
34,0,4,1,1,5.000000e-01,4
35,2,8,3,1,2.500000e+00,4
36,0,4,2,0,5.000000e-01,8
