Trialn,Blockn,Partner,IsFairBlock,Offer,ITI
1,1,1,0,4,1
2,1,1,0,3,1
3,1,1,0,1,1
4,1,1,0,5,1
5,1,1,0,1,1
6,1,1,0,4,1
7,1,1,0,8,1
8,1,1,0,2,8
9,2,1,1,10,1
10,2,1,1,8,1
11,2,1,1,7,1
12,2,1,1,10,1
13,2,1,1,6,1
14,2,1,1,10,1
15,2,1,1,4,1
16,2,1,1,10,12
17,3,2,1,10,1
18,3,2,1,10,1
19,3,2,1,9,1
20,3,2,1,9,1
21,3,2,1,10,1
22,3,2,1,9,1
23,3,2,1,1,1
24,3,2,1,5,8
25,4,2,0,1,1
26,4,2,0,4,1
27,4,2,0,7,1
28,4,2,0,3,1
29,4,2,0,2,1
30,4,2,0,4,1
31,4,2,0,1,1
32,4,2,0,5,12
33,5,2,1,8,1
34,5,2,1,8,1
35,5,2,1,10,1
36,5,2,1,5,1
37,5,2,1,9,1
38,5,2,1,4,1
39,5,2,1,9,1
40,5,2,1,10,8
41,6,3,0,7,1
42,6,3,0,4,1
43,6,3,0,1,1
44,6,3,0,3,1
45,6,3,0,3,1
46,6,3,0,2,1
47,6,3,0,6,1
48,6,3,0,1,10
49,7,2,0,3,1
50,7,2,0,1,1
51,7,2,0,3,1
52,7,2,0,3,1
53,7,2,0,3,1
54,7,2,0,8,1
55,7,2,0,2,1
56,7,2,0,6,10
57,8,1,0,1,1
58,8,1,0,5,1
59,8,1,0,9,1
60,8,1,0,3,1
61,8,1,0,2,1
62,8,1,0,4,1
63,8,1,0,1,1
64,8,1,0,4,8
65,9,3,1,7,1
66,9,3,1,5,1
67,9,3,1,8,1
68,9,3,1,9,1
69,9,3,1,9,1
70,9,3,1,1,1
71,9,3,1,10,1
72,9,3,1,9,12
73,10,3,0,6,1
74,10,3,0,4,1
75,10,3,0,4,1
76,10,3,0,4,1
77,10,3,0,2,1
78,10,3,0,2,1
79,10,3,0,7,1
80,10,3,0,2,8
81,11,1,1,8,1
82,11,1,1,9,1
83,11,1,1,10,1
84,11,1,1,7,1
85,11,1,1,3,1
86,11,1,1,5,1
87,11,1,1,9,1
88,11,1,1,9,10
89,12,3,1,5,1
90,12,3,1,9,1
91,12,3,1,9,1
92,12,3,1,10,1
93,12,3,1,9,1
94,12,3,1,3,1
95,12,3,1,7,1
96,12,3,1,10,8
