Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,4,3,0,5.000000e-01,4
2,2,8,1,0,2.500000e+00,4
3,8,4,1,1,6.500000e+00,2
4,4,2,2,1,2.500000e+00,2
5,2,0,1,0,5.000000e-01,4
6,4,0,3,0,5.000000e-01,6
7,8,0,2,0,2.500000e+00,4
8,4,0,2,1,4.500000e+00,2
9,2,8,2,0,5.000000e-01,2
10,0,8,3,0,5.000000e-01,2
11,4,8,1,0,5.000000e-01,4
12,0,4,1,1,5.000000e-01,6
13,2,8,3,0,5.000000e-01,2
14,8,4,2,1,5.000000e-01,2
15,4,0,1,0,5.000000e-01,6
16,0,8,1,1,5.000000e-01,2
17,4,2,1,1,5.000000e-01,2
18,0,4,3,1,5.000000e-01,2
19,2,8,1,1,2.500000e+00,2
20,4,2,3,1,5.000000e-01,2
21,2,0,2,0,2.500000e+00,2
22,0,2,3,1,4.500000e+00,4
23,8,0,3,1,5.000000e-01,2
24,2,0,1,1,4.500000e+00,6
25,8,2,3,1,4.500000e+00,4
26,8,0,1,0,4.500000e+00,2
27,2,8,2,1,2.500000e+00,6
28,2,4,2,0,2.500000e+00,2
29,8,4,3,1,5.000000e-01,4
30,2,0,3,0,6.500000e+00,4
31,4,0,2,0,2.500000e+00,4
32,4,2,1,0,4.500000e+00,8
33,0,8,2,1,2.500000e+00,2
34,8,4,3,0,5.000000e-01,8
35,0,2,2,1,5.000000e-01,10
36,8,4,2,0,2.500000e+00,2
