Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,4,1,0,6.500000e+00,4
2,8,0,1,1,5.000000e-01,2
3,8,0,3,0,5.000000e-01,6
4,4,8,2,1,6.500000e+00,8
5,8,2,3,0,5.000000e-01,4
6,0,8,3,1,2.500000e+00,2
7,2,4,1,0,5.000000e-01,4
8,8,0,2,1,4.500000e+00,2
9,4,0,1,1,2.500000e+00,2
10,8,2,1,0,2.500000e+00,2
11,0,2,2,0,5.000000e-01,2
12,0,4,3,1,4.500000e+00,4
13,4,8,1,1,5.000000e-01,4
14,8,0,2,0,2.500000e+00,4
15,4,2,2,1,2.500000e+00,2
16,8,4,3,0,4.500000e+00,2
17,8,0,1,0,4.500000e+00,4
18,4,0,2,0,5.000000e-01,8
19,8,2,1,1,5.000000e-01,2
20,2,8,3,1,2.500000e+00,2
21,2,0,3,0,5.000000e-01,2
22,2,8,2,1,5.000000e-01,2
23,2,0,2,1,5.000000e-01,2
24,2,0,1,0,2.500000e+00,2
25,2,4,3,1,4.500000e+00,2
26,2,0,3,1,5.000000e-01,2
27,4,8,1,0,2.500000e+00,4
28,4,0,2,1,5.000000e-01,10
29,8,4,3,1,5.000000e-01,4
30,0,4,3,0,5.000000e-01,6
31,4,2,2,0,5.000000e-01,6
32,2,4,3,0,5.000000e-01,6
33,2,0,1,1,4.500000e+00,2
34,4,2,1,1,5.000000e-01,2
35,8,2,2,0,2.500000e+00,6
36,8,4,2,0,2.500000e+00,4
