Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,8,1,0,5.000000e-01,6
2,8,4,2,1,5.000000e-01,4
3,8,0,1,1,2.500000e+00,8
4,4,8,3,1,5.000000e-01,2
5,2,8,3,0,5.000000e-01,6
6,0,4,1,1,2.500000e+00,2
7,4,0,1,0,5.000000e-01,2
8,0,2,3,1,4.500000e+00,6
9,2,8,1,1,5.000000e-01,2
10,4,0,3,1,6.500000e+00,2
11,4,2,3,1,2.500000e+00,4
12,8,4,1,1,5.000000e-01,2
13,2,8,2,1,2.500000e+00,2
14,2,4,2,0,2.500000e+00,2
15,0,2,1,0,5.000000e-01,2
16,4,2,1,0,2.500000e+00,8
17,0,4,2,0,5.000000e-01,4
18,0,8,2,1,5.000000e-01,2
19,4,8,2,0,5.000000e-01,4
20,4,2,3,0,5.000000e-01,4
21,0,8,3,0,5.000000e-01,4
22,0,8,1,0,2.500000e+00,10
23,0,2,2,0,6.500000e+00,2
24,2,8,1,0,4.500000e+00,4
25,0,8,2,0,5.000000e-01,4
26,8,0,3,1,5.000000e-01,2
27,4,2,1,1,4.500000e+00,6
28,2,8,3,1,5.000000e-01,2
29,0,4,2,1,4.500000e+00,2
30,0,2,1,1,5.000000e-01,6
31,4,0,3,0,5.000000e-01,2
32,4,2,2,1,2.500000e+00,2
33,0,2,3,0,2.500000e+00,4
34,8,4,3,0,4.500000e+00,2
35,2,8,2,0,4.500000e+00,4
36,2,0,2,1,2.500000e+00,2
