Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,8,2,0,2.500000e+00,2
2,4,2,2,1,5.000000e-01,10
3,2,8,3,0,5.000000e-01,2
4,4,0,1,1,4.500000e+00,4
5,2,0,1,0,5.000000e-01,8
6,8,0,2,0,6.500000e+00,2
7,0,8,3,1,2.500000e+00,2
8,0,4,3,0,4.500000e+00,2
9,4,0,2,1,2.500000e+00,6
10,8,2,2,1,5.000000e-01,4
11,4,8,2,1,2.500000e+00,6
12,0,4,1,0,5.000000e-01,8
13,4,8,1,1,5.000000e-01,2
14,8,2,1,1,5.000000e-01,4
15,4,8,3,0,4.500000e+00,6
16,8,2,1,0,4.500000e+00,4
17,2,4,3,1,5.000000e-01,4
18,2,4,3,0,5.000000e-01,2
19,4,2,1,0,2.500000e+00,2
20,2,0,2,0,5.000000e-01,2
21,8,0,1,0,2.500000e+00,4
22,0,2,3,1,5.000000e-01,2
23,4,0,2,0,5.000000e-01,2
24,4,8,2,0,5.000000e-01,2
25,0,8,2,1,6.500000e+00,2
26,2,0,2,1,2.500000e+00,2
27,2,4,2,0,5.000000e-01,6
28,0,4,3,1,2.500000e+00,2
29,8,4,1,0,4.500000e+00,2
30,2,4,1,1,5.000000e-01,2
31,8,4,3,1,2.500000e+00,4
32,8,0,3,0,5.000000e-01,4
33,0,2,3,0,2.500000e+00,6
34,2,8,3,1,5.000000e-01,4
35,0,8,1,1,5.000000e-01,2
36,2,0,1,1,4.500000e+00,4
