sub,run,misses
sub-104,run-1,1
sub-104,run-2,0
sub-104,run-3,0
sub-104,run-4,0
sub-104,run-5,0
sub-105,run-1,1
sub-105,run-2,1
sub-105,run-3,1
sub-105,run-4,0
sub-105,run-5,0
sub-106,run-1,2
sub-106,run-2,0
sub-106,run-3,0
sub-107,run-1,0
sub-107,run-2,0
sub-107,run-3,0
sub-107,run-4,0
sub-107,run-5,0
sub-108,run-1,0
sub-108,run-2,0
sub-108,run-3,0
sub-108,run-4,0
sub-108,run-5,1
sub-109,run-1,2
sub-109,run-2,0
sub-110,run-1,0
sub-110,run-2,0
sub-111,run-1,21
sub-111,run-2,3
sub-111,run-3,0
sub-111,run-4,0
sub-111,run-5,0
sub-112,run-1,0
sub-112,run-2,0
sub-112,run-3,0
sub-112,run-4,0
sub-112,run-5,1
sub-113,run-1,0
sub-113,run-2,1
sub-113,run-3,0
sub-113,run-4,0
sub-113,run-5,0
sub-115,run-1,6
sub-115,run-2,2
sub-115,run-3,1
sub-115,run-4,1
sub-115,run-5,2
sub-116,run-1,0
sub-116,run-2,0
sub-116,run-3,0
sub-116,run-4,0
sub-116,run-5,0
sub-117,run-1,0
sub-117,run-2,0
sub-117,run-3,1
sub-117,run-4,0
sub-117,run-5,0
sub-118,run-1,4
sub-118,run-2,2
sub-118,run-3,0
sub-118,run-4,2
sub-118,run-5,2
sub-120,run-1,0
sub-120,run-2,1
sub-120,run-3,0
sub-120,run-4,0
sub-120,run-5,0
sub-121,run-1,0
sub-121,run-2,0
sub-121,run-3,1
sub-121,run-4,0
sub-121,run-5,0
sub-122,run-1,0
sub-122,run-2,0
sub-122,run-3,0
sub-122,run-4,0
sub-122,run-5,0
sub-124,run-1,0
sub-124,run-2,0
sub-124,run-3,1
sub-124,run-4,0
sub-124,run-5,0
sub-125,run-1,3
sub-125,run-2,0
sub-125,run-3,0
sub-125,run-4,1
sub-125,run-5,3
sub-126,run-1,4
sub-126,run-2,1
sub-126,run-3,0
sub-126,run-4,0
sub-126,run-5,0
sub-127,run-1,0
sub-127,run-2,0
sub-127,run-3,1
sub-127,run-4,0
sub-127,run-5,0
sub-128,run-1,0
sub-128,run-2,1
sub-128,run-3,1
sub-128,run-4,0
sub-128,run-5,1
sub-129,run-1,1
sub-129,run-2,6
sub-129,run-3,8
sub-129,run-4,11
sub-129,run-5,1
sub-130,run-1,2
sub-130,run-2,0
sub-130,run-3,0
sub-130,run-4,2
sub-130,run-5,1
sub-131,run-1,0
sub-131,run-2,3
sub-131,run-3,3
sub-131,run-4,2
sub-131,run-5,3
sub-132,run-1,0
sub-132,run-2,0
sub-132,run-3,0
sub-132,run-4,0
sub-132,run-5,0
sub-133,run-1,1
sub-133,run-2,2
sub-133,run-3,2
sub-133,run-4,3
sub-133,run-5,1
sub-134,run-1,1
sub-134,run-2,3
sub-134,run-3,4
sub-134,run-4,7
sub-135,run-1,4
sub-135,run-2,4
sub-135,run-3,6
sub-135,run-4,1
sub-135,run-5,4
sub-136,run-1,0
sub-136,run-2,0
sub-137,run-1,1
sub-137,run-2,2
sub-137,run-3,1
sub-137,run-4,1
sub-137,run-5,0
sub-138,run-1,4
sub-138,run-2,2
sub-138,run-3,11
sub-138,run-4,11
sub-140,run-1,5
sub-140,run-2,1
sub-140,run-3,9
sub-140,run-4,7
sub-140,run-5,1
sub-141,run-1,0
sub-141,run-2,0
sub-141,run-3,0
sub-141,run-4,1
sub-142,run-1,0
sub-142,run-2,0
sub-142,run-3,2
sub-142,run-4,1
sub-142,run-5,2
sub-144,run-1,1
sub-144,run-2,0
sub-145,run-1,1
sub-145,run-2,1
sub-147,run-1,1
sub-147,run-2,2
sub-147,run-3,0
sub-147,run-4,1
sub-147,run-5,0
sub-149,run-1,7
sub-149,run-2,2
sub-149,run-3,1
sub-149,run-4,1
sub-150,run-1,0
sub-150,run-2,23
sub-150,run-3,1
sub-150,run-4,0
sub-150,run-5,0
sub-151,run-1,0
sub-151,run-2,0
sub-151,run-3,0
sub-151,run-4,0
sub-151,run-5,0
sub-152,run-1,4
sub-152,run-2,7
sub-153,run-1,0
sub-153,run-2,1
sub-153,run-3,0
sub-153,run-4,0
sub-153,run-5,1
sub-154,run-1,2
sub-154,run-2,1
sub-155,run-1,1
sub-155,run-2,0
sub-155,run-3,1
sub-155,run-4,1
sub-155,run-5,1
sub-156,run-1,0
sub-156,run-2,0
sub-157,run-1,2
sub-157,run-2,3
sub-157,run-3,5
sub-157,run-4,1
sub-157,run-5,2
sub-158,run-1,0
sub-158,run-2,0
sub-158,run-3,1
sub-158,run-4,0
sub-158,run-5,0
sub-159,run-1,0
sub-159,run-2,0
sub-159,run-3,0
sub-159,run-4,0
sub-159,run-5,0
