sub,run,computer_neutral,computer_punish,computer_reward,friend_neutral,friend_punish,friend_reward,stranger_neutral,stranger_punish,stranger_reward,missed_trial
104,1,3,7,6,4,15,13,4,7,13,0
104,2,5,15,12,2,7,7,1,14,9,0
105,1,5,13,14,2,7,7,1,14,9,0
105,2,2,7,7,6,14,12,3,7,14,0
106,1,3,6,7,4,14,14,2,8,14,0
106,2,4,13,14,2,6,8,4,13,7,1
107,1,6,13,13,2,7,7,1,13,9,1
107,2,2,7,7,4,14,14,1,9,14,0
108,1,1,7,8,4,13,15,2,9,13,0
108,2,3,14,15,1,8,7,4,12,8,0
109,1,1,15,12,0,8,8,2,14,6,6
109,2,4,5,5,5,11,7,0,4,12,19
110,1,2,7,7,4,14,14,5,7,12,0
110,2,5,13,14,2,7,7,2,13,9,0
111,1,0,3,7,2,5,2,0,8,5,40
111,2,0,7,8,4,14,14,1,7,9,8
112,1,6,12,14,1,8,7,2,14,8,0
112,2,0,7,8,4,14,14,2,8,14,1
113,1,4,14,14,2,7,7,3,13,8,0
113,2,2,6,8,3,15,14,2,9,13,0
115,1,6,13,13,3,6,6,1,14,9,1
115,2,1,8,7,4,13,15,3,8,13,0
116,1,4,6,6,4,13,13,3,8,13,2
116,2,6,13,13,3,7,6,3,12,9,0
117,1,2,6,8,5,13,14,4,8,12,0
117,2,5,14,13,1,8,7,3,14,7,0
118,1,2,5,5,3,7,10,3,6,12,19
118,2,3,5,12,0,4,7,4,8,5,24
120,1,2,13,13,3,6,7,0,11,7,10
120,2,3,6,7,5,13,14,4,7,13,0
121,1,2,8,6,5,13,14,2,9,13,0
121,2,1,15,16,3,6,7,3,13,8,0
122,1,4,11,15,2,8,6,4,12,7,3
122,2,2,6,6,3,15,14,3,9,12,2
124,1,2,6,8,5,14,13,4,7,13,0
124,2,0,16,16,1,7,7,2,12,9,2
125,1,4,13,13,4,6,6,5,12,7,2
125,2,1,7,7,3,14,15,1,9,13,2
126,1,3,15,14,3,7,6,3,13,8,0
126,2,2,6,8,4,13,14,3,8,13,1
127,1,3,14,14,1,7,8,3,14,6,2
127,2,2,7,7,7,12,13,2,8,14,0
128,1,3,15,14,2,8,6,3,13,8,0
128,2,2,7,6,4,13,14,1,10,13,2
129,1,1,4,3,3,8,11,1,5,9,27
129,2,4,11,12,2,7,7,1,14,9,5
130,1,2,5,6,2,16,14,2,9,13,3
130,2,6,14,12,1,7,8,2,12,10,0
131,1,0,8,7,2,8,11,3,7,10,16
131,2,3,11,12,2,6,6,4,11,8,9
132,1,7,13,12,1,8,7,0,14,10,0
132,2,0,8,8,1,16,15,3,8,12,1
133,1,2,14,14,1,7,7,3,12,9,3
133,2,2,5,6,5,13,12,4,7,12,6
134,1,1,6,8,1,14,16,3,5,11,7
134,2,4,11,15,0,8,8,2,9,8,7
135,1,2,9,7,2,5,7,0,12,9,19
135,2,0,3,4,3,6,5,1,2,9,39
136,1,3,6,7,3,14,14,3,9,12,1
136,2,6,14,12,2,7,7,1,13,10,0
137,1,3,6,7,7,13,12,2,9,13,0
137,2,4,15,12,3,6,7,5,13,6,1
138,1,1,0,5,0,1,1,0,4,2,58
138,2,0,1,0,0,0,2,0,0,3,66
140,1,2,7,7,3,12,15,0,10,12,4
140,2,3,15,12,0,8,8,2,13,8,3
141,1,5,14,12,0,8,8,4,11,7,3
141,2,2,6,7,4,13,14,3,7,13,3
142,1,2,6,7,4,12,13,5,6,10,7
142,2,3,13,13,2,7,7,3,12,9,3
143,1,1,6,8,1,15,15,3,7,14,2
143,2,4,14,14,0,8,8,2,14,8,0
144,1,1,6,8,1,15,15,3,7,14,2
144,2,4,14,14,0,8,8,2,14,8,0
145,1,2,6,8,3,10,7,3,7,12,14
145,2,5,15,12,1,8,7,2,14,8,0
147,1,6,11,13,4,6,6,3,11,6,6
147,2,2,6,7,3,14,15,6,6,12,1
149,1,2,6,6,3,11,2,2,7,6,27
149,2,2,9,14,3,7,6,4,11,7,9
150,1,3,13,14,1,7,8,3,13,8,2
150,2,3,7,6,4,14,14,1,9,14,0
151,1,2,8,6,5,13,14,5,7,12,0
151,2,3,13,16,1,8,7,1,13,10,0
152,1,6,9,9,1,3,6,2,10,7,19
152,2,1,6,4,3,13,15,3,8,13,6
153,1,2,15,15,3,7,6,2,13,9,0
153,2,2,7,7,4,13,15,4,7,13,0
154,1,3,15,14,3,7,6,5,12,7,0
154,2,3,7,6,4,14,14,3,9,12,0
155,1,2,6,8,5,13,13,2,8,14,1
155,2,5,12,14,0,8,8,5,12,7,1
156,1,2,7,7,3,15,13,2,9,13,1
156,2,3,15,14,3,7,6,2,14,8,0
157,1,1,7,8,5,13,14,4,8,12,0
157,2,4,14,13,3,6,7,3,13,8,1
158,1,4,14,13,2,7,7,1,14,8,2
158,2,4,6,6,4,14,14,2,9,13,0
159,1,1,15,16,3,6,7,3,13,8,0
159,2,1,7,8,6,13,13,4,8,12,0
