sub,RT_raw,RT_zscored
104,1.353125,0.256120
105,1.519490,1.031014
106,1.299590,0.006765
107,1.333260,0.163593
108,1.029145,-1.252912
109,1.605080,1.429675
110,1.026785,-1.263904
111,1.030500,-1.246600
112,1.510950,0.991236
113,1.472710,0.813122
115,1.499910,0.939814
116,1.337455,0.183133
117,1.364245,0.307915
118,1.343975,0.213501
121,1.357290,0.275520
122,1.618775,1.493463
124,1.419525,0.565398
125,1.656700,1.670110
126,1.374810,0.357124
127,1.470400,0.802363
128,1.026165,-1.266792
129,1.028500,-1.255916
130,1.550435,1.175149
132,1.649120,1.634804
133,1.492680,0.906139
134,1.029280,-1.252283
135,1.030770,-1.245343
136,1.031610,-1.241430
137,1.128225,-0.791418
138,1.262095,-0.167879
140,1.208620,-0.416954
141,1.102780,-0.909935
142,1.626610,1.529957
143,1.027890,-1.258757
144,1.027260,-1.261692
147,1.300670,0.011796
149,1.029740,-1.250140
150,1.435630,0.640411
151,1.029035,-1.253424
152,1.026560,-1.264952
153,1.031665,-1.241174
154,1.365995,0.316066
155,1.380465,0.383464
156,1.517300,1.020813
157,1.340045,0.195196
158,1.517615,1.022281
159,1.191985,-0.494437
