sub,run,computer_reject,computer_accept,ingroup_reject,ingroup_accept,outgroup_reject,outgroup_accept,missed_trial
104,1,0,32,0,24,0,16,0
104,2,0,16,0,24,0,32,0
105,1,6,9,7,17,10,22,1
105,2,10,22,9,15,2,14,0
106,1,9,7,11,13,17,15,0
106,2,19,13,16,8,10,6,0
107,1,20,12,11,13,9,7,0
107,2,9,7,7,16,15,16,2
108,1,15,17,8,16,7,9,0
108,2,7,9,7,17,14,18,0
109,1,0,13,1,21,1,28,8
109,2,3,25,5,15,2,12,10
110,1,4,12,8,16,11,21,0
110,2,12,20,11,13,5,11,0
111,1,7,9,11,13,12,19,1
111,2,8,24,9,15,1,15,0
112,1,5,27,6,18,2,14,0
112,2,1,14,6,18,8,24,1
113,1,17,15,13,11,7,9,0
113,2,9,7,10,14,15,17,0
115,1,7,8,14,10,11,21,1
115,2,12,19,8,15,6,10,2
116,1,9,7,10,14,16,15,1
116,2,18,14,16,8,9,7,0
117,1,6,26,5,19,1,15,0
117,2,2,14,3,21,5,27,0
118,1,8,8,8,16,14,18,0
118,2,2,30,3,21,2,14,0
120,1,16,16,14,10,8,8,0
120,2,8,8,11,13,16,16,0
121,1,17,15,10,14,5,11,0
121,2,4,12,5,19,11,21,0
122,1,3,29,0,24,3,12,1
122,2,1,15,3,21,2,30,0
124,1,2,29,3,21,0,16,1
124,2,2,14,1,23,4,28,0
125,1,14,18,12,11,8,7,2
125,2,7,9,10,14,14,18,0
126,1,0,16,0,23,0,32,1
126,2,0,32,0,24,0,15,1
127,1,20,11,19,5,9,7,1
127,2,10,6,15,9,20,12,0
128,1,30,2,22,2,16,0,0
128,2,15,1,21,3,28,4,0
129,1,14,17,12,12,6,10,1
129,2,7,9,8,16,15,17,0
130,1,1,14,0,24,0,32,1
130,2,0,32,0,24,0,16,0
131,1,4,26,6,17,10,5,4
131,2,0,16,0,24,0,32,0
132,1,1,30,0,24,0,16,1
132,2,0,16,0,24,0,32,0
133,1,0,32,2,22,1,13,2
133,2,0,16,0,24,0,32,0
134,1,1,30,2,21,2,13,3
134,2,2,13,1,21,2,27,6
135,1,23,5,19,2,9,6,8
135,2,11,2,21,3,27,4,4
136,1,9,23,10,14,5,11,0
136,2,2,14,3,21,2,30,0
137,1,9,7,9,14,18,14,1
137,2,17,15,14,9,9,7,1
138,1,0,15,6,16,9,22,4
138,2,13,15,4,18,0,16,6
140,1,3,13,5,19,9,22,1
140,2,6,25,5,19,3,13,1
141,1,1,30,0,24,0,16,1
141,2,0,15,0,24,0,32,1
142,1,0,31,3,21,1,15,1
142,2,0,16,0,24,1,31,0
143,1,3,29,4,20,1,15,0
143,2,2,14,0,24,5,27,0
144,1,3,29,4,20,1,15,0
144,2,2,14,0,24,5,27,0
145,1,8,7,11,12,18,14,2
145,2,18,14,16,8,9,7,0
147,1,5,27,5,19,0,14,2
147,2,4,12,5,19,6,25,1
149,1,2,29,1,22,2,10,6
149,2,1,15,1,23,5,27,0
150,1,4,12,5,18,11,21,1
150,2,6,26,2,22,3,13,0
151,1,7,9,10,14,16,16,0
151,2,16,16,15,9,7,9,0
152,1,0,31,0,21,0,16,4
152,2,1,13,0,21,0,25,12
153,1,6,9,4,20,7,25,1
153,2,13,19,10,14,7,9,0
154,1,20,11,19,4,12,4,2
154,2,13,3,15,5,26,6,4
155,1,26,6,23,1,16,0,0
155,2,15,1,23,1,31,1,0
156,1,0,16,0,24,0,32,0
156,2,0,32,0,24,0,16,0
157,1,2,14,3,21,6,25,1
157,2,8,24,8,15,4,12,1
158,1,11,5,13,11,21,10,1
158,2,17,15,16,8,9,7,0
159,1,10,6,19,5,25,7,0
159,2,21,11,13,11,9,7,0
