sub,RT_raw,RT_zscored
104,1.443520,-1.324439
105,2.008800,0.992151
106,1.720015,-0.191327
107,1.785950,0.078883
108,1.539320,-0.931838
109,2.035515,1.101632
110,1.475225,-1.194508
111,1.781770,0.061753
112,1.615220,-0.620790
113,1.701030,-0.269130
115,1.884105,0.481135
116,1.537515,-0.939235
117,1.462570,-1.246370
118,1.682945,-0.343245
120,1.395450,-1.521436
121,1.592080,-0.715621
122,1.516655,-1.024722
124,1.651120,-0.473668
125,1.610840,-0.638740
126,1.600760,-0.680049
127,1.906460,0.572748
128,1.589840,-0.724801
129,1.883790,0.479844
130,2.024640,1.057065
131,2.053435,1.175071
132,1.809610,0.175845
133,1.994310,0.932769
134,1.731160,-0.145653
135,1.058780,-2.901153
136,1.749970,-0.068568
137,1.993450,0.929245
138,2.038055,1.112041
140,1.987660,0.905516
141,1.845200,0.321697
142,1.898920,0.541848
143,1.692970,-0.302161
144,1.859350,0.379686
147,2.190295,1.735940
149,2.274610,2.081474
150,1.803830,0.152158
151,1.524495,-0.992593
153,1.715995,-0.207802
154,2.340770,2.352606
155,1.810845,0.180906
156,1.508295,-1.058983
157,1.969450,0.830889
158,1.835280,0.281044
159,1.669800,-0.397115
