subnum,agegrp,avg_invest,partner,rt,misses
103,0,2.8,0,0.551425,0.2
104,0,5.442424,0,0.435676,0.2
105,0,3.6,0,0.735658,0.6
106,0,3.222222,0,0.576878,0.666667
107,0,3.2,0,0.584693,0
108,0,4.5,0,0.475437,0.2
109,0,4.878788,0,0.763819,1
110,0,4.166667,0,0.394137,0
111,1,4.853333,0,0.624853,4.8
112,0,4.533333,0,0.496959,0.2
113,0,2.433333,0,0.54697,0.2
114,0,3.142424,0,0.366627,0.2
115,0,2.40202,0,0.701354,2.4
116,0,2.933333,0,0.434233,0
117,0,2.960606,0,0.428895,0.2
118,0,3.325253,0,0.466417,2
120,0,2.866667,0,0.321272,0.2
121,0,3.633333,0,0.486098,0.2
122,0,5.166667,0,0.443499,0
124,0,5.6,0,0.49192,0.2
125,0,4.331515,0,0.471984,1.4
126,0,2.383636,0,0.481424,1
127,1,2.684848,0,0.647091,0.2
128,1,5.333333,0,0.562563,0.6
129,1,2.29013,0,0.607762,5.4
204,0,1.872727,0,0.47777,1
205,0,3.272727,0,0.569175,1.4
206,0,4.733333,0,0.357982,0
207,0,2.473485,0,0.57311,2.25
208,0,4.627273,0,0.480956,0.2
209,0,3.933333,0,0.56044,0
210,0,3.848485,0,0.634095,0.25
211,1,4.984848,0,0.710765,11.25
212,0,5.666667,0,0.369894,0
213,0,3.666667,0,0.565682,0.666667
215,0,2.333333,0,0.435954,0.75
216,0,1.958333,0,0.547509,0
217,0,1.799242,0,0.440948,0.5
218,0,4.729293,0,0.707735,1.4
220,0,2.557576,0,0.531414,1.4
221,0,4.359848,0,0.348045,0.25
222,0,5.3,0,0.399261,0
224,0,2.746212,0,0.566323,1
225,0,1.273333,0,0.512766,2
226,0,4.472727,0,0.543797,0.8
227,1,5.651515,0,0.714262,1.5
228,1,4.209091,0,0.735738,1
103,0,3.336364,1,0.654288,0.2
104,0,5.666667,1,0.375544,0.2
105,0,3.6,1,0.724762,0.6
106,0,2.80303,1,0.523529,0.666667
107,0,4.266667,1,0.603674,0
108,0,5.151515,1,0.425015,0.2
109,0,4.886364,1,0.683422,1
110,0,4.666667,1,0.408254,0
111,1,4.799394,1,0.635277,4.8
112,0,4.9,1,0.510129,0.2
113,0,5.457576,1,0.554075,0.2
114,0,3.266667,1,0.411394,0.2
115,0,2.106667,1,0.677721,2.4
116,0,4.1,1,0.449935,0
117,0,2.733333,1,0.391171,0.2
118,0,3.139394,1,0.435809,2
120,0,3.033333,1,0.331104,0.2
121,0,4.030303,1,0.48279,0.2
122,0,5.1,1,0.453778,0
124,0,4.866667,1,0.513163,0.2
125,0,4.08303,1,0.480707,1.4
126,0,2.92,1,0.404372,1
127,1,3.633333,1,0.646254,0.2
128,1,5.587879,1,0.468598,0.6
129,1,2.600404,1,0.601437,5.4
204,0,2.966667,1,0.488245,1
205,0,3.687879,1,0.559739,1.4
206,0,3.3,1,0.403312,0
207,0,2.05,1,0.532739,2.25
208,0,5.3,1,0.403356,0.2
209,0,3.7,1,0.52691,0
210,0,3.208333,1,0.625521,0.25
211,1,4.7625,1,0.739855,11.25
212,0,5.666667,1,0.399252,0
213,0,3.479798,1,0.608625,0.666667
215,0,2.358333,1,0.428991,0.75
216,0,2.125,1,0.505056,0
217,0,3.814394,1,0.558335,0.5
218,0,4.906061,1,0.69247,1.4
220,0,4.315152,1,0.543378,1.4
221,0,5.208333,1,0.307889,0.25
222,0,5.233333,1,0.435269,0
224,0,2.996212,1,0.600761,1
225,0,1.511111,1,0.431993,2
226,0,4.033333,1,0.61149,0.8
227,1,4.878788,1,0.712454,1.5
228,1,4.233333,1,0.660972,1
103,0,5.4,2,0.478617,0.2
104,0,5.666667,2,0.39365,0.2
105,0,4.933333,2,0.664728,0.6
106,0,3.126263,2,0.511114,0.666667
107,0,4.933333,2,0.558923,0
108,0,5.666667,2,0.392933,0.2
109,0,5.666667,2,0.729221,1
110,0,4.333333,2,0.347595,0
111,1,5.3,2,0.626542,4.8
112,0,4.809091,2,0.502907,0.2
113,0,4.833333,2,0.511777,0.2
114,0,3.2,2,0.40724,0.2
115,0,1.935152,2,0.610015,2.4
116,0,4.6,2,0.410171,0
117,0,3.566667,2,0.385423,0.2
118,0,3.112121,2,0.476017,2
120,0,3.136364,2,0.368104,0.2
121,0,5.033333,2,0.436126,0.2
122,0,5.266667,2,0.392158,0
124,0,5.048485,2,0.544955,0.2
125,0,4.533333,2,0.480315,1.4
126,0,2.666667,2,0.425226,1
127,1,3.233333,2,0.657005,0.2
128,1,5.463636,2,0.477958,0.6
129,1,2.640043,2,0.586913,5.4
204,0,4.327273,2,0.46941,1
205,0,4.721212,2,0.454423,1.4
206,0,3.4,2,0.331422,0
207,0,2.857323,2,0.664581,2.25
208,0,5.666667,2,0.35692,0.2
209,0,4.333333,2,0.46696,0
210,0,5.625,2,0.53833,0.25
211,1,5.416667,2,0.748796,11.25
212,0,5.666667,2,0.37453,0
213,0,4.5,2,0.566749,0.666667
215,0,2.712121,2,0.50774,0.75
216,0,2.5,2,0.455159,0
217,0,3.375,2,0.504615,0.5
218,0,4.681818,2,0.695316,1.4
220,0,4.645455,2,0.502141,1.4
221,0,5.25,2,0.294037,0.25
222,0,5.033333,2,0.410097,0
224,0,3.94697,2,0.562322,1
225,0,2.150909,2,0.522679,2
226,0,3.527273,2,0.596013,0.8
227,1,5.106061,2,0.687057,1.5
228,1,5,2,0.621346,1
