Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,4,2,1,5.000000e-01,2
2,2,8,1,1,5.000000e-01,6
3,2,8,3,0,2.500000e+00,2
4,4,2,3,1,5.000000e-01,4
5,4,8,2,0,5.000000e-01,6
6,4,0,3,0,4.500000e+00,10
7,4,0,2,1,4.500000e+00,4
8,2,4,2,0,5.000000e-01,4
9,4,0,2,0,2.500000e+00,6
10,0,2,2,1,2.500000e+00,2
11,0,2,3,1,5.000000e-01,4
12,8,4,1,0,5.000000e-01,2
13,2,0,3,0,5.000000e-01,6
14,8,2,2,1,5.000000e-01,6
15,0,2,2,0,2.500000e+00,2
16,8,0,2,0,6.500000e+00,4
17,4,0,1,0,2.500000e+00,2
18,2,4,3,0,6.500000e+00,4
19,4,2,1,0,5.000000e-01,4
20,8,4,3,0,4.500000e+00,2
21,0,8,1,1,5.000000e-01,2
22,0,8,3,1,2.500000e+00,2
23,4,0,1,1,5.000000e-01,4
24,0,2,1,1,5.000000e-01,8
25,8,2,3,1,2.500000e+00,2
26,8,4,3,1,5.000000e-01,2
27,4,0,3,1,2.500000e+00,2
28,8,0,2,1,5.000000e-01,8
29,8,0,3,0,2.500000e+00,2
30,8,4,1,1,4.500000e+00,4
31,0,2,1,0,4.500000e+00,2
32,2,8,1,0,5.000000e-01,2
33,4,8,2,1,5.000000e-01,4
34,8,0,1,0,5.000000e-01,2
35,8,2,2,0,4.500000e+00,2
36,2,4,1,1,2.500000e+00,2
