SubjectID,Partner,Block,ProportionAccept,LogRT
104,1,0,1,1.384139
105,1,0,0.392857,1.696034
106,1,0,0.09375,1.320285
107,1,0,0.28125,1.600663
108,1,0,0.25,1.300396
109,1,0,0.9,1.840017
110,1,0,0.4375,1.026563
111,1,0,0.4375,1.142208
112,1,0,0.84375,1.582991
113,1,0,0.125,1.576725
115,1,0,0.53125,1.518384
116,1,0,0.125,1.364855
117,1,0,0.75,1.468499
118,1,0,0.625,1.396374
120,1,0,0.25,1.170542
121,1,0,0.34375,1.331134
122,1,0,0.90625,1.697213
124,1,0,0.808333,1.431461
125,1,0,0.25,1.73842
126,1,0,1,1.472288
104,2,0,1,1.39022
105,2,0,0.5,1.596532
106,2,0,0.125,1.295535
107,2,0,0.433036,1.42147
108,2,0,0.46875,1.108284
109,2,0,0.736264,1.757914
110,2,0,0.3125,1.029819
111,2,0,0.28125,1.10664
112,2,0,0.5625,1.518669
113,2,0,0.1875,1.57057
115,2,0,0.583333,1.639629
116,2,0,0.125,1.370147
117,2,0,0.8125,1.373029
118,2,0,0.65625,1.27154
120,2,0,0.1875,1.117045
121,2,0,0.53125,1.445151
122,2,0,0.875,1.62089
124,2,0,0.84375,1.46949
125,2,0,0.258333,1.750851
126,2,0,1,1.383224
104,3,0,1,1.345442
105,3,0,0.5625,1.844478
106,3,0,0.15625,1.347679
107,3,0,0.1875,1.481412
108,3,0,0.25,1.025774
109,3,0,0.880952,1.784931
110,3,0,0.46875,1.033312
111,3,0,0.625,1.20505
112,3,0,0.75,1.656484
113,3,0,0.21875,1.545291
115,3,0,0.75,1.531802
116,3,0,0.1625,1.378095
117,3,0,0.8125,1.469282
118,3,0,0.65625,1.384581
120,3,0,0.15625,1.124926
121,3,0,0.4375,1.401734
122,3,0,0.794643,1.668664
124,3,0,0.875,1.508352
125,3,0,0.3125,1.68991
126,3,0,1,1.547826
104,1,1,1,1.447528
105,1,1,0.875,1.582302
106,1,1,0.75,1.378494
107,1,1,0.53125,1.591566
108,1,1,0.84375,1.19395
109,1,1,1,1.739008
110,1,1,0.9375,1.028868
111,1,1,0.875,1.234632
112,1,1,0.9375,1.526086
113,1,1,0.78125,1.550775
115,1,1,0.619048,1.817324
116,1,1,0.75,1.450091
117,1,1,0.9375,1.378456
118,1,1,0.8125,1.746704
120,1,1,0.75,1.094492
121,1,1,0.875,1.436711
122,1,1,0.9375,1.618353
124,1,1,1,1.438988
125,1,1,0.875,1.644632
126,1,1,1,1.392263
104,2,1,1,1.518823
105,2,1,0.84375,1.618092
106,2,1,0.75,1.372506
107,2,1,0.78125,1.588946
108,2,1,0.875,1.277823
109,2,1,1,1.930568
110,2,1,0.875,1.025768
111,2,1,0.875,1.361573
112,2,1,0.9375,1.561292
113,2,1,0.84375,1.525105
115,2,1,0.5,1.571297
116,2,1,0.78125,1.337948
117,2,1,0.875,1.415153
118,2,1,0.875,1.416547
120,2,1,0.75,1.130654
121,2,1,0.875,1.342347
122,2,1,0.96875,1.645317
124,2,1,1,1.493808
125,2,1,0.8125,1.764608
126,2,1,1,1.220734
104,3,1,1,1.43216
105,3,1,1,1.596008
106,3,1,0.6875,1.262846
107,3,1,0.775,1.605589
108,3,1,0.875,1.226804
109,3,1,0.9375,1.764192
110,3,1,0.875,1.027478
111,3,1,0.933333,1.173463
112,3,1,0.875,1.521985
113,3,1,0.875,1.628556
115,3,1,0.53125,1.575864
116,3,1,0.75,1.346628
117,3,1,0.96875,1.365378
118,3,1,0.78125,1.221578
120,3,1,0.84375,1.185108
121,3,1,0.90625,1.287368
122,3,1,0.9375,1.618182
124,3,1,1,1.39753
125,3,1,0.723214,1.6589
126,3,1,1,1.378719
