subnum,avg_comp,avg_stranger,avg_friend,avg_misses
104,5.442424,5.666667,5.666667,0.200000
105,3.600000,3.600000,4.933333,0.600000
106,3.222222,2.803030,3.126263,0.666667
107,3.200000,4.266667,4.933333,0.000000
108,4.500000,5.151515,5.666667,0.200000
109,4.878788,4.886364,5.666667,1.000000
110,4.166667,4.666667,4.333333,0.000000
112,4.533333,4.900000,4.809091,0.200000
113,2.433333,5.457576,4.833333,0.200000
