X	Y	Z	RotX	RotY	RotZ	XDt	YDt	ZDt	RotXDt	RotYDt	RotZDt
		0.000000			0.000000			0.000000			0.000000			0.000000			0.000000			0.000000			0.000000			0.000000			0.000000			0.000000			0.000000	
	-0.000021			0.124735		-0.065779		-0.009626		-0.002922			0.000000		-0.000021			0.124735		-0.065779		-0.009626		-0.002922			0.000000	
	-0.000071		-0.028079		-0.027613		-0.034148		-0.007047			0.000000		-0.000050		-0.152814			0.038166		-0.024522		-0.004125			0.000000	
	-0.000034			0.060356		-0.076689		-0.007391		-0.003209		-0.004927			0.000037			0.088435		-0.049076			0.026757			0.003838		-0.004927	
	-0.000027			0.187021		-0.091753			0.008995		-0.001833			0.000000			0.000007			0.126665		-0.015064			0.016386			0.001376			0.004927	
	-0.005844		-0.111961			0.058464		-0.240642			0.019652		-0.017876		-0.005817		-0.298982			0.150217		-0.249637			0.021485		-0.017876	
		0.008281			0.175316		-0.038378		-0.107773			0.037815		-0.041597			0.014125			0.287277		-0.096842			0.132869			0.018163		-0.023721	
		0.023298			0.070012			0.006764		-0.102502			0.055749		-0.024809			0.015017		-0.105304			0.045142			0.005271			0.017934			0.016788	
		0.018287		-0.031425		-0.016720		-0.048186			0.046753		-0.024809		-0.005011		-0.101437		-0.023484			0.054316		-0.008996			0.000000	
		0.030929			0.212494		-0.068285		-0.064515			0.041081		-0.029851			0.012642			0.243919		-0.051565		-0.016329		-0.005672		-0.005042	
		0.028434		-0.044394		-0.004015		-0.053801			0.051853		-0.022059		-0.002495		-0.256888			0.064270			0.010714			0.010772			0.007792	
		0.030790		-0.000645		-0.083403		-0.040852			0.025898		-0.043774			0.002356			0.043749		-0.079388			0.012949		-0.025955		-0.021715	
		0.002863			0.229291		-0.137582			0.042227			0.009798		-0.056207		-0.027927			0.229936		-0.054179			0.083079		-0.016100		-0.012433	
		0.009671		-0.000787		-0.052017			0.008881			0.019423		-0.035180			0.006808		-0.230078			0.085565		-0.033346			0.009625			0.021027	
		0.010813		-0.018568		-0.029585		-0.009912			0.022231		-0.036727			0.001142		-0.017781			0.022432		-0.018793			0.002808		-0.001547	
		0.017912			0.192929		-0.045855		-0.017475			0.022632		-0.031971			0.007099			0.211497		-0.016270		-0.007563			0.000401			0.004756	
		0.007948		-0.057897			0.062644		-0.038961			0.022575		-0.032258		-0.009964		-0.250826			0.108499		-0.021486		-0.000057		-0.000287	
	-0.003264			0.066193		-0.026455		-0.013465		-0.005558		-0.041138		-0.011212			0.124090		-0.089099			0.025496		-0.028133		-0.008880	
	-0.001856			0.200336		-0.002137		-0.031742		-0.017074		-0.041138			0.001408			0.134143			0.024318		-0.018277		-0.011516			0.000000	
		0.004723		-0.094234			0.035486		-0.038675		-0.017131		-0.048300			0.006579		-0.294570			0.037623		-0.006933		-0.000057		-0.007162	
		0.007137			0.210069		-0.043191		-0.028419		-0.006417		-0.060905			0.002414			0.304303		-0.078677			0.010256			0.010714		-0.012605	
		0.007423			0.062726			0.039627		-0.083709			0.008079		-0.043946			0.000286		-0.147343			0.082818		-0.055290			0.014496			0.016959	
		0.013579		-0.114960			0.044607		-0.069099			0.010256		-0.033747			0.006156		-0.177686			0.004980			0.014610			0.002177			0.010199	
		0.039398			0.187745			0.032332		-0.073052			0.028018		-0.029851			0.025819			0.302705		-0.012275		-0.003953			0.017762			0.003896	
		0.028226		-0.072437			0.119013		-0.100096			0.021257		-0.036841		-0.011172		-0.260182			0.086681		-0.027044		-0.006761		-0.006990	
	-0.001109			0.069258		-0.076932			0.050134		-0.022460		-0.083365		-0.029335			0.141695		-0.195945			0.150230		-0.043717		-0.046524	
	-0.064252			0.201684		-0.212867			0.075573		-0.063598		-0.134416		-0.063143			0.132426		-0.135935			0.025439		-0.041138		-0.051051	
	-0.045173			0.105558		-0.218722		-0.033461		-0.021543		-0.111383			0.019079		-0.096126		-0.005855		-0.109034			0.042055			0.023033	
	-0.038479		-0.141685		-0.158561		-0.008308		-0.063598		-0.090069			0.006694		-0.247243			0.060161			0.025153		-0.042055			0.021314	
	-0.045573			0.217170		-0.241933		-0.016387		-0.072250		-0.086230		-0.007094			0.358855		-0.083372		-0.008079		-0.008652			0.003839	
	-0.045458			0.178732		-0.218483		-0.049962		-0.066177		-0.094309			0.000115		-0.038438			0.023450		-0.033575			0.006073		-0.008079	
