Trialn,Blockn,BlockType,Partner,Feedback,ITI
1,1,3,2,1,1
2,1,3,2,1,1
3,1,3,2,1,1
4,1,3,2,1,1
5,1,3,2,2,1
6,1,3,2,1,1
7,1,3,2,3,1
8,1,3,2,1,8
9,2,1,1,1,1
10,2,1,1,1,1
11,2,1,1,1,1
12,2,1,1,1,1
13,2,1,1,3,1
14,2,1,1,1,1
15,2,1,1,3,1
16,2,1,1,1,8
17,3,3,2,1,1
18,3,3,2,1,1
19,3,3,2,2,1
20,3,3,2,1,1
21,3,3,2,2,1
22,3,3,2,1,1
23,3,3,2,1,1
24,3,3,2,1,12
25,4,6,3,3,1
26,4,6,3,3,1
27,4,6,3,3,1
28,4,6,3,1,1
29,4,6,3,3,1
30,4,6,3,3,1
31,4,6,3,1,1
32,4,6,3,3,8
33,5,1,1,1,1
34,5,1,1,2,1
35,5,1,1,1,1
36,5,1,1,1,1
37,5,1,1,1,1
38,5,1,1,1,1
39,5,1,1,1,1
40,5,1,1,2,8
41,6,2,1,1,1
42,6,2,1,3,1
43,6,2,1,3,1
44,6,2,1,3,1
45,6,2,1,2,1
46,6,2,1,3,1
47,6,2,1,3,1
48,6,2,1,3,8
49,7,4,2,2,1
50,7,4,2,3,1
51,7,4,2,3,1
52,7,4,2,3,1
53,7,4,2,2,1
54,7,4,2,3,1
55,7,4,2,3,1
56,7,4,2,3,8
57,8,3,2,1,1
58,8,3,2,1,1
59,8,3,2,1,1
60,8,3,2,1,1
61,8,3,2,3,1
62,8,3,2,1,1
63,8,3,2,1,1
64,8,3,2,2,10
65,9,5,3,1,1
66,9,5,3,1,1
67,9,5,3,1,1
68,9,5,3,2,1
69,9,5,3,1,1
70,9,5,3,1,1
71,9,5,3,3,1
72,9,5,3,1,10
73,10,2,1,3,1
74,10,2,1,3,1
75,10,2,1,3,1
76,10,2,1,3,1
77,10,2,1,2,1
78,10,2,1,3,1
79,10,2,1,2,1
80,10,2,1,3,12
81,11,4,2,3,1
82,11,4,2,1,1
83,11,4,2,3,1
84,11,4,2,3,1
85,11,4,2,3,1
86,11,4,2,3,1
87,11,4,2,3,1
88,11,4,2,1,8
89,12,6,3,3,1
90,12,6,3,3,1
91,12,6,3,1,1
92,12,6,3,3,1
93,12,6,3,3,1
94,12,6,3,3,1
95,12,6,3,1,1
96,12,6,3,3,8
97,13,2,1,3,1
98,13,2,1,3,1
99,13,2,1,3,1
100,13,2,1,1,1
101,13,2,1,3,1
102,13,2,1,3,1
103,13,2,1,3,1
104,13,2,1,2,10
105,14,5,3,1,1
106,14,5,3,1,1
107,14,5,3,1,1
108,14,5,3,3,1
109,14,5,3,1,1
110,14,5,3,1,1
111,14,5,3,3,1
112,14,5,3,1,10
113,15,4,2,3,1
114,15,4,2,3,1
115,15,4,2,1,1
116,15,4,2,3,1
117,15,4,2,3,1
118,15,4,2,3,1
119,15,4,2,3,1
120,15,4,2,1,12
121,16,5,3,3,1
122,16,5,3,1,1
123,16,5,3,1,1
124,16,5,3,1,1
125,16,5,3,3,1
126,16,5,3,1,1
127,16,5,3,1,1
128,16,5,3,1,10
129,17,1,1,1,1
130,17,1,1,1,1
131,17,1,1,3,1
132,17,1,1,1,1
133,17,1,1,3,1
134,17,1,1,1,1
135,17,1,1,1,1
136,17,1,1,1,8
137,18,6,3,3,1
138,18,6,3,3,1
139,18,6,3,3,1
140,18,6,3,3,1
141,18,6,3,3,1
142,18,6,3,2,1
143,18,6,3,3,1
144,18,6,3,2,10
