X	Y	Z	RotX	RotY	RotZ	XDt	YDt	ZDt	RotXDt	RotYDt	RotZDt
		0.000000			0.000000			0.000000			0.000000			0.000000			0.000000			0.000000			0.000000			0.000000			0.000000			0.000000			0.000000	
	-0.017644		-0.228338		-0.008543			0.006704			0.003094		-0.019595		-0.017644		-0.228338		-0.008543			0.006704			0.003094		-0.019595	
	-0.028642			0.071964		-0.092959			0.095512		-0.024408			0.000688		-0.010998			0.300302		-0.084416			0.088808		-0.027502			0.020283	
		0.007252			0.162662		-0.153159			0.110810			0.010199			0.028934			0.035894			0.090698		-0.060200			0.015298			0.034607			0.028246	
		0.009134			0.352258		-0.177355			0.074370			0.022059			0.040795			0.001882			0.189596		-0.024196		-0.036440			0.011860			0.011861	
		0.031192			0.209058		-0.161421		-0.089553			0.094481			0.111097			0.022058		-0.143200			0.015934		-0.163923			0.072422			0.070302	
		0.029807		-0.324959			0.227346		-0.245455			0.094882			0.151204		-0.001385		-0.534017			0.388767		-0.155902			0.000401			0.040107	
		0.034330		-0.123382			0.240283		-0.186039			0.062567			0.151089			0.004523			0.201577			0.012937			0.059416		-0.032315		-0.000115	
		0.040546		-0.247788			0.297448		-0.209416			0.081646			0.163236			0.006216		-0.124406			0.057165		-0.023377			0.019079			0.012147	
		0.046184		-0.207728			0.265884		-0.182372			0.074198			0.158480			0.005638			0.040060		-0.031564			0.027044		-0.007448		-0.004756	
		0.037120			0.003934			0.263844		-0.191826			0.048415			0.143984		-0.009064			0.211662		-0.002040		-0.009454		-0.025783		-0.014496	
		0.029956		-0.268571			0.346820		-0.252961			0.041196			0.127197		-0.007164		-0.272505			0.082976		-0.061135		-0.007219		-0.016787	
	-0.000420			0.006946			0.384090		-0.327159		-0.011287			0.121925		-0.030376			0.275517			0.037270		-0.074198		-0.052483		-0.005272	
	-0.033645		-0.074286			0.458507		-0.391330		-0.075287			0.101070		-0.033225		-0.081232			0.074417		-0.064171		-0.064000		-0.020855	
	-0.023984		-0.163252			0.456952		-0.422786		-0.079068			0.093163			0.009661		-0.088966		-0.001555		-0.031456		-0.003781		-0.007907	
		0.007972			0.072806			0.317852		-0.346238			0.010084			0.076776			0.031956			0.236058		-0.139100			0.076548			0.089152		-0.016387	
	-0.010297		-0.171571			0.335560		-0.415108		-0.011975			0.033919		-0.018269		-0.244377			0.017708		-0.068870		-0.022059		-0.042857	
		0.014374		-0.059275			0.294368		-0.382965			0.016730			0.059416			0.024671			0.112296		-0.041192			0.032143			0.028705			0.025497	
		0.017340			0.038179			0.317441		-0.417572			0.023549			0.072766			0.002966			0.097454			0.023073		-0.034607			0.006819			0.013350	
		0.000777		-0.224868			0.416101		-0.514058			0.013465			0.046180		-0.016563		-0.263047			0.098660		-0.096486		-0.010084		-0.026586	
		0.002766		-0.082079			0.280021		-0.480311		-0.012892			0.035867			0.001989			0.142789		-0.136080			0.033747		-0.026357		-0.010313	
		0.000888			0.050241			0.261804		-0.503974		-0.017533			0.015814		-0.001878			0.132320		-0.018217		-0.023663		-0.004641		-0.020053	
		0.000546		-0.123121			0.099661		-0.367438		-0.034148		-0.047212		-0.000342		-0.173362		-0.162143			0.136536		-0.016615		-0.063026	
		0.009597			0.059087			0.016555		-0.386517		-0.020684		-0.031627			0.009051			0.182208		-0.083106		-0.019079			0.013464			0.015585	
		0.029035			0.098011			0.173608		-0.270952			0.002464			0.013866			0.019438			0.038924			0.157053			0.115565			0.023148			0.045493	
		0.023261		-0.143924			0.220607		-0.014610		-0.113331		-0.017819		-0.005774		-0.241935			0.046999			0.256342		-0.115795		-0.031685	
		0.031066			0.133225			0.195720		-0.064572		-0.058442			0.029565			0.007805			0.277149		-0.024887		-0.049962			0.054889			0.047384	
		0.031119		-0.053316			0.307192		-0.074313		-0.006016			0.070359			0.000053		-0.186541			0.111472		-0.009741			0.052426			0.040794	
		0.024385		-0.219283			0.348022		-0.005329		-0.038675			0.041081		-0.006734		-0.165967			0.040830			0.068984		-0.032659		-0.029278	
		0.025632			0.105908			0.283209			0.093736		-0.053686			0.062510			0.001247			0.325191		-0.064813			0.099065		-0.015011			0.021429	
		0.027533		-0.140889			0.385618			0.035065		-0.048186			0.069156			0.001901		-0.246797			0.102409		-0.058671			0.005500			0.006646	
	-0.009808		-0.190040			0.291941		-0.107659		-0.104508			0.037128		-0.037341		-0.049151		-0.093677		-0.142724		-0.056322		-0.032028	
	-0.062530		-0.011577			0.220094		-0.269061		-0.123129			0.016845		-0.052722			0.178463		-0.071847		-0.161402		-0.018621		-0.020283	
	-0.058204		-0.027886			0.258997		-0.437052		-0.093220			0.012605			0.004326		-0.016309			0.038903		-0.167991			0.029909		-0.004240	
	-0.054932		-0.041671			0.219522		-0.277483		-0.090642		-0.002406			0.003272		-0.013785		-0.039475			0.159569			0.002578		-0.015011	
	-0.038875		-0.050572			0.289337		-0.287510		-0.157506		-0.008308			0.016057		-0.008901			0.069815		-0.010027		-0.066864		-0.005902	
	-0.050357			0.101886			0.262304		-0.294157		-0.158136		-0.017704		-0.011482			0.152458		-0.027033		-0.006647		-0.000630		-0.009396	
	-0.028616		-0.184415			0.268256		-0.236803		-0.135848		-0.004927			0.021741		-0.286301			0.005952			0.057354			0.022288			0.012777	
	-0.011549		-0.260335			0.228595		-0.207640		-0.092533			0.010256			0.017067		-0.075920		-0.039661			0.029163			0.043315			0.015183	
	-0.033149			0.039358			0.124673		-0.230214		-0.110122		-0.020626		-0.021600			0.299693		-0.103922		-0.022574		-0.017589		-0.030882	
	-0.031140		-0.118221			0.186747		-0.245226		-0.127483		-0.013751			0.002009		-0.157579			0.062074		-0.015012		-0.017361			0.006875	
	-0.038388		-0.147212			0.200114		-0.369615		-0.146391		-0.044347		-0.007248		-0.028991			0.013367		-0.124389		-0.018908		-0.030596	
	-0.079239		-0.331848			0.646144		-0.649104		-0.281380			0.043316		-0.040851		-0.184636			0.446030		-0.279489		-0.134989			0.087663	
	-0.069464		-0.203582			0.570099		-0.556056		-0.197441			0.029221			0.009775			0.128266		-0.076045			0.093048			0.083939		-0.014095	
	-0.090737			0.215695			0.465133		-0.591808		-0.206551		-0.038274		-0.021273			0.419277		-0.104966		-0.035752		-0.009110		-0.067495	
	-0.122227			0.173251			0.516937		-0.586938		-0.284244			0.015126		-0.031490		-0.042444			0.051804			0.004870		-0.077693			0.053400	
	-0.106777		-0.148960			0.501755		-0.560181		-0.300688			0.028018			0.015450		-0.322211		-0.015182			0.026757		-0.016444			0.012892	
	-0.053622		-0.090980			0.517849		-0.552618		-0.339993			0.078610			0.053155			0.057980			0.016094			0.007563		-0.039305			0.050592	
	-0.040850			0.011574		-0.008101		-0.319309		-0.294157			0.049561			0.012772			0.102554		-0.525950			0.233309			0.045836		-0.029049	
	-0.035901		-0.251373			0.088090		-0.409092		-0.249924		-0.000630			0.004949		-0.262947			0.096191		-0.089783			0.044233		-0.050191	
	-0.031582		-0.216142			0.036486		-0.301376		-0.206322		-0.026127			0.004319			0.035231		-0.051604			0.107716			0.043602		-0.025497	
	-0.061042			0.085205			0.018943		-0.288312		-0.207583		-0.041024		-0.029460			0.301347		-0.017543			0.013064		-0.001261		-0.014897	
	-0.067606			0.109804			0.012643		-0.288656		-0.206666		-0.035581		-0.006564			0.024599		-0.006300		-0.000344			0.000917			0.005443	
	-0.033976			0.282802			0.024048		-0.366521		-0.209874		-0.020798			0.033630			0.172998			0.011405		-0.077865		-0.003208			0.014783	
	-0.036328			0.167756			0.049581		-0.404967		-0.209932		-0.046868		-0.002352		-0.115046			0.025533		-0.038446		-0.000058		-0.026070	
	-0.022404			0.095590			0.025694		-0.445876		-0.169538		-0.035753			0.013924		-0.072166		-0.023887		-0.040909			0.040394			0.011115	
	-0.005880		-0.006284			0.040394		-0.387549		-0.144099		-0.061536			0.016524		-0.101874			0.014700			0.058327			0.025439		-0.025783	
	-0.045115		-0.073507		-0.046100		-0.385142		-0.168106		-0.064916		-0.039235		-0.067223		-0.086494			0.002407		-0.024007		-0.003380	
	-0.021472		-0.139748			0.087288		-0.462320		-0.186154		-0.057640			0.023643		-0.066241			0.133388		-0.077178		-0.018048			0.007276	
	-0.013254			0.048633			0.066486		-0.500708		-0.166387		-0.057697			0.008218			0.188381		-0.020802		-0.038388			0.019767		-0.000057	
	-0.021858		-0.165441			0.144212		-0.479795		-0.159454		-0.062281		-0.008604		-0.214074			0.077726			0.020913			0.006933		-0.004584	
	-0.019269			0.139559			0.012328		-0.478993		-0.183232		-0.072078			0.002589			0.305000		-0.131884			0.000802		-0.023778		-0.009797	
	-0.019281			0.070178			0.159954		-0.556858		-0.193545		-0.074599		-0.000012		-0.069381			0.147626		-0.077865		-0.010313		-0.002521	
	-0.030039		-0.061836			0.052615		-0.396773		-0.178362		-0.074599		-0.010758		-0.132014		-0.107339			0.160085			0.015183			0.000000	
	-0.053944			0.261924		-0.142802		-0.296563		-0.188961		-0.074599		-0.023905			0.323760		-0.195417			0.100210		-0.010599			0.000000	
	-0.018297		-0.055579			0.093861		-0.010428		-0.104221		-0.036096			0.035647		-0.317503			0.236663			0.286135			0.084740			0.038503	
	-0.006974			0.163532			0.015235			0.037529		-0.104508			0.007506			0.011323			0.219111		-0.078626			0.047957		-0.000287			0.043602	
	-0.004938			0.187773			0.048356		-0.012433		-0.124275			0.010485			0.002036			0.024241			0.033121		-0.049962		-0.019767			0.002979	
	-0.013861		-0.007453			0.041774		-0.075057		-0.133786		-0.007735		-0.008923		-0.195226		-0.006582		-0.062624		-0.009511		-0.018220	
	-0.012711			0.156296			0.014628		-0.122957		-0.147537		-0.024981			0.001150			0.163749		-0.027146		-0.047900		-0.013751		-0.017246	
	-0.002763			0.243750		-0.306586			0.075860		-0.179565		-0.138484			0.009948			0.087454		-0.321214			0.198817		-0.032028		-0.113503	
	-0.008511			0.017165		-0.376297		-0.001375		-0.135447		-0.112586		-0.005748		-0.226585		-0.069711		-0.077235			0.044118			0.025898	
	-0.006803			0.077722		-0.289191			0.178648		-0.097804		-0.056494			0.001708			0.060557			0.087106			0.180023			0.037643			0.056092	
	-0.025521			0.040611		-0.133980			0.112472		-0.104737		-0.073339		-0.018718		-0.037111			0.155211		-0.066176		-0.006933		-0.016845	
	-0.033578		-0.178230		-0.021733			0.048186		-0.126624		-0.075000		-0.008057		-0.218841			0.112247		-0.064286		-0.021887		-0.001661	
	-0.019704			0.225861		-0.060652			0.003953		-0.133900		-0.079928			0.013874			0.404091		-0.038919		-0.044233		-0.007276		-0.004928	
	-0.010060			0.081779			0.029173		-0.043258		-0.126624		-0.059759			0.009644		-0.144082			0.089825		-0.047211			0.007276			0.020169	
		0.024794			0.083482			0.020311		-0.039706		-0.102216		-0.031799			0.034854			0.001703		-0.008862			0.003552			0.024408			0.027960	
		0.095238			0.193206			0.054220		-0.096601		-0.020970		-0.026986			0.070444			0.109724			0.033909		-0.056895			0.081246			0.004813	
		0.198077			0.655469		-1.343475			0.652714			0.159970			0.021830			0.102839			0.462263		-1.397695			0.749315			0.180940			0.048816	
		0.044008			0.551928		-1.734946			0.231647			0.392934			0.261670		-0.154069		-0.103541		-0.391471		-0.421067			0.232964			0.239840	
		0.067835			0.445318		-1.497898			0.229871			0.389439			0.189592			0.023827		-0.106610			0.237048		-0.001776		-0.003495		-0.072078	
		0.065933			0.019602		-1.172113			0.104450			0.133213			0.073396		-0.001902		-0.425716			0.325785		-0.125421		-0.256226		-0.116196	
		0.075716			0.306194		-1.012024			0.043831			0.165298			0.065088			0.009783			0.286592			0.160089		-0.060619			0.032085		-0.008308	
		0.064170		-0.026477		-0.516707		-0.032601			0.076089			0.077292		-0.011546		-0.332671			0.495317		-0.076432		-0.089209			0.012204	
		0.063344			0.008184		-0.399123			0.001490			0.091387			0.065088		-0.000826			0.034661			0.117584			0.034091			0.015298		-0.012204	
		0.243099			0.808014		-1.674989			0.752294			0.414134			0.107430			0.179755			0.799830		-1.275866			0.750804			0.322747			0.042342	
		0.282920			0.504707		-1.495396			0.324351			0.487587			0.120035			0.039821		-0.303307			0.179593		-0.427943			0.073453			0.012605	
		0.172081			0.231642		-0.857451			0.152693			0.403190			0.158767		-0.110839		-0.273065			0.637945		-0.171658		-0.084397			0.038732	
		0.181063			0.272856		-0.704714		-0.001203			0.340853			0.189534			0.008982			0.041214			0.152737		-0.153896		-0.062337			0.030767	
		0.166911			0.263057		-0.379552		-0.067036			0.176242			0.182143		-0.014152		-0.009799			0.325162		-0.065833		-0.164611		-0.007391	
		0.166999		-0.201491			0.024734		-0.208385			0.081188			0.187472			0.000088		-0.464548			0.404286		-0.141349		-0.095054			0.005329	
		0.179589			0.223733		-0.022155		-0.167132			0.137911			0.168621			0.012590			0.425224		-0.046889			0.041253			0.056723		-0.018851	
		0.163862			0.068580		-0.150704		-0.123301			0.147021			0.138255		-0.015727		-0.155153		-0.128549			0.043831			0.009110		-0.030366	
		0.093677			0.367912		-0.429857		-0.030367			0.145016			0.131494		-0.070185			0.299332		-0.279153			0.092934		-0.002005		-0.006761	
		0.123129			0.138854		-0.314754		-0.046753			0.183805			0.144042			0.029452		-0.229058			0.115103		-0.016386			0.038789			0.012548	
		0.153952			0.387144		-0.346934		-0.063827			0.199790			0.145188			0.030823			0.248290		-0.032180		-0.017074			0.015985			0.001146	
		0.137238			0.240039		-0.225385		-0.072307			0.191425			0.122613		-0.016714		-0.147105			0.121549		-0.008480		-0.008365		-0.022575	
		0.132329			0.164657		-0.259392		-0.056780			0.174752			0.125478		-0.004909		-0.075382		-0.034007			0.015527		-0.016673			0.002865	
		0.155720			0.342855		-0.258472		-0.046581			0.170570			0.136822			0.023391			0.178198			0.000920			0.010199		-0.004182			0.011344	
		0.183288			0.059812		-0.249539		-0.032372			0.201395			0.156074			0.027568		-0.283043			0.008933			0.014209			0.030825			0.019252	
		0.193689			0.347483		-0.422997			0.095856			0.277827			0.112930			0.010401			0.287671		-0.173458			0.128228			0.076432		-0.043144	
		0.144120			0.177078		-0.306678		-0.032487			0.206723			0.141979		-0.049569		-0.170405			0.116319		-0.128343		-0.071104			0.029049	
		0.130441			0.091054		-0.298977		-0.019996			0.195264			0.137166		-0.013679		-0.086024			0.007701			0.012491		-0.011459		-0.004813	
		0.123291			0.369354		-0.351268		-0.034607			0.174638			0.133213		-0.007150			0.278300		-0.052291		-0.014611		-0.020626		-0.003953	
		0.159356			0.195632		-0.206933		-0.114821			0.195264			0.138255			0.036065		-0.173722			0.144335		-0.080214			0.020626			0.005042	
