X	Y	Z	RotX	RotY	RotZ	XDt	YDt	ZDt	RotXDt	RotYDt	RotZDt
-0.00049555	0.0069286	-0.0044839	0.0033354	-0.0010491	-0.00067651	0	0	0	0	0	0
0.00058279	0.050752	-0.043358	-0.011659	-0.0019503	-0.0027683	0.0010783	0.043823	-0.038874	-0.014995	-0.00090127	-0.0020918
0.0011195	0.041799	-0.051224	-0.003452	-0.0066368	0.0028462	0.00053671	-0.008953	-0.007866	0.0082074	-0.0046865	0.0056145
-0.0025092	0.04289	-0.062425	-0.040077	-0.0039138	-0.0028508	-0.0036287	0.0010905	-0.011201	-0.036625	0.002723	-0.005697
-0.00083554	0.1396	-0.070525	-0.027017	0.0002885	-0.0076688	0.0016737	0.096706	-0.0081002	0.01306	0.0042023	-0.004818
-0.00039002	-0.040053	0.029122	-0.18333	0.023178	-0.017183	0.00044552	-0.17965	0.099647	-0.15631	0.02289	-0.0095145
0.0076228	0.12958	-0.035048	-0.094439	0.034795	-0.03315	0.0080128	0.16963	-0.06417	0.088892	0.011617	-0.015967
0.018377	0.070393	0.0078993	-0.13454	0.049171	-0.028914	0.010754	-0.059184	0.042947	-0.040098	0.014375	0.0042363
0.0208	0.016563	-0.016623	-0.047886	0.051436	-0.026043	0.0024234	-0.053829	-0.024522	0.086651	0.0022654	0.0028706
0.033807	0.12558	-0.052158	-0.061742	0.044738	-0.026448	0.013006	0.10901	-0.035534	-0.013856	-0.0066977	-0.00040473
0.023896	0.013144	-0.033868	-0.044276	0.042787	-0.028804	-0.0099109	-0.11243	0.01829	0.017466	-0.0019516	-0.0023556
0.027388	0.04932	-0.08103	-0.034947	0.026669	-0.042229	0.0034925	0.036176	-0.047162	0.0093289	-0.016118	-0.013426
0.0073501	0.11433	-0.10174	0.024637	0.017428	-0.04877	-0.020038	0.065006	-0.020713	0.059585	-0.0092409	-0.0065409
0.01285	0.055089	-0.073713	0.0049034	0.017048	-0.038762	0.0054998	-0.059237	0.02803	-0.019734	-0.0003802	0.010008
0.0089531	0.024641	-0.031443	-0.0013193	0.021402	-0.038651	-0.0038968	-0.030448	0.04227	-0.0062228	0.004354	0.00011147
0.014638	0.10845	-0.030881	-0.016361	0.022992	-0.031113	0.0056849	0.083814	0.00056121	-0.015042	0.0015903	0.0075377
0.0072464	0.0054059	0.038677	-0.039357	0.017896	-0.032977	-0.0073917	-0.10305	0.069558	-0.022996	-0.0050961	-0.0018644
0.00022052	0.059629	-0.015147	-0.016417	-0.0049993	-0.039638	-0.0070258	0.054223	-0.053823	0.022939	-0.022895	-0.0066603
9.5291e-05	0.1517	0.0030596	-0.027797	-0.011998	-0.043611	-0.00012522	0.092073	0.018206	-0.011379	-0.0069991	-0.0039731
0.0025316	-0.018831	0.021721	-0.043387	-0.014983	-0.048714	0.0024363	-0.17053	0.018662	-0.01559	-0.0029842	-0.005103
0.0043413	0.14778	-0.02662	-0.030898	-0.010284	-0.056109	0.0018097	0.16661	-0.048341	0.012489	0.0046986	-0.0073948
0.010117	0.058115	0.026913	-0.070602	0.0067074	-0.045287	0.0057758	-0.089668	0.053533	-0.039704	0.016991	0.010822
0.019311	-0.041734	0.053024	-0.08791	0.018628	-0.033267	0.0091942	-0.099849	0.026111	-0.017308	0.01192	0.01202
0.036496	0.10009	0.052015	-0.069728	0.02334	-0.029267	0.017184	0.14182	-0.0010092	0.018181	0.0047124	0.0039997
0.014829	-0.030936	0.062561	-0.056338	0.0044649	-0.049213	-0.021667	-0.13103	0.010546	0.01339	-0.018875	-0.019946
-0.0012932	0.14372	-0.086291	0.01936	-0.010997	-0.084117	-0.016122	0.17465	-0.14885	0.075699	-0.015462	-0.034904
