PartnerKeeps,IsFairBlock,Trialn,Offer,Partner,ITI,Blockn,ITIonset_raw,decision_onset_raw,outcome_offset_raw,outcome_onset_raw,resp_onset_raw,resp_raw,trialDuration_raw,order
18,0,1,2,1,8,1,0.05171799659729004,8.068100929260254,11.115715980529785,10.08574104309082,8.619760513305664,1.0,3.0476150512695312,0.0
16,0,2,4,1,1,1,11.119342803955078,12.135294914245605,15.167863845825195,14.152986526489258,12.839165687561035,1.0,3.032569169998169,1.0
19,0,3,1,1,1,1,15.171234130859375,16.18659019470215,19.21865463256836,18.202333450317383,16.552961349487305,2.0,3.032064914703369,2.0
15,0,4,5,1,1,1,19.222240447998047,20.23503875732422,23.252565383911133,22.2377872467041,20.537328720092773,2.0,3.017526865005493,3.0
12,0,5,8,1,1,1,23.255863189697266,24.2685604095459,27.286039352416992,26.269908905029297,24.672950744628906,2.0,3.0174789428710938,4.0
19,0,6,1,1,1,1,27.289512634277344,28.303178787231445,31.319751739501953,30.304519653320312,28.55547523498535,1.0,3.016572952270508,5.0
16,0,7,4,1,1,1,31.322948455810547,32.33695983886719,35.36989974975586,34.356361389160156,32.75445556640625,1.0,3.0329411029815674,6.0
18,0,8,2,1,1,1,35.37344741821289,36.38872146606445,39.421630859375,38.40445327758789,36.790489196777344,2.0,3.0329110622406006,7.0
11,1,9,9,2,10,2,39.42594528198242,49.439334869384766,52.45649337768555,51.441123962402344,50.35703659057617,2.0,3.017159938812256,8.0
11,1,10,9,2,1,2,52.460269927978516,53.472537994384766,56.48943328857422,55.47437286376953,54.49162292480469,1.0,3.016892910003662,9.0
12,1,11,8,2,1,2,56.49238586425781,57.507843017578125,60.523807525634766,59.50846481323242,58.578529357910156,1.0,3.0159618854522705,10.0
14,1,12,6,2,1,2,60.5269660949707,61.54066848754883,64.55844116210938,63.540977478027344,,,3.017775058746338,11.0
10,1,13,10,2,1,2,64.56143951416016,65.57376098632812,68.59184265136719,67.57504272460938,67.04306030273438,2.0,3.018078088760376,12.0
12,1,14,8,2,1,2,68.59478759765625,69.60985565185547,72.64344787597656,71.62512969970703,,,3.033590793609619,13.0
11,1,15,9,2,1,2,72.64659118652344,73.65845489501953,76.6753158569336,75.6601791381836,74.51123809814453,2.0,3.016855001449585,14.0
19,1,16,1,2,1,2,76.67821502685547,77.69268798828125,80.72554779052734,79.71005249023438,78.39427185058594,1.0,3.0328609943389893,15.0
17,0,17,3,2,8,3,80.7284927368164,88.74372863769531,91.76000213623047,90.74565887451172,89.22928619384766,2.0,3.0162789821624756,16.0
17,0,18,3,2,1,3,91.76284790039062,92.7764892578125,95.79492950439453,94.77770233154297,93.21019744873047,1.0,3.0184378623962402,17.0
19,0,19,1,2,1,3,95.79788970947266,96.81084442138672,99.82794952392578,98.81222534179688,97.19527435302734,2.0,3.0171098709106445,18.0
18,0,20,2,2,1,3,99.83086395263672,100.84488677978516,103.86426544189453,102.8449478149414,101.31245422363281,2.0,3.019376039505005,19.0
10,0,21,10,2,1,3,103.86714935302734,104.87886047363281,107.89632415771484,106.87946319580078,105.42817687988281,2.0,3.0174639225006104,20.0
18,0,22,2,2,1,3,107.89934539794922,108.91299438476562,111.92919921875,110.91378784179688,109.19771575927734,1.0,3.0162038803100586,21.0
16,0,23,4,2,1,3,111.93246459960938,112.94731903076172,115.98043060302734,114.96421813964844,113.3822021484375,2.0,3.0331108570098877,22.0
15,0,24,5,2,1,3,115.98355865478516,116.99639892578125,120.01461791992188,118.9969253540039,117.4495849609375,1.0,3.018218994140625,23.0
17,0,25,3,1,10,4,120.01800537109375,130.03248596191406,133.0648956298828,132.0499267578125,130.56761169433594,2.0,3.0324149131774902,24.0
16,0,26,4,1,1,4,133.0682830810547,134.08279418945312,137.09820556640625,136.08355712890625,134.66802978515625,2.0,3.0154008865356445,25.0
17,0,27,3,1,1,4,137.1016845703125,138.11593627929688,141.13385009765625,140.11688232421875,138.81869506835938,1.0,3.0179178714752197,26.0
17,0,28,3,1,1,4,141.13726806640625,142.15061950683594,145.18324279785156,144.1679229736328,142.76821899414062,1.0,3.032620906829834,27.0
19,0,29,1,1,1,4,145.1865997314453,146.20008850097656,149.22567749023438,148.20162963867188,146.818359375,2.0,3.025592088699341,28.0
14,0,30,6,1,1,4,149.22903442382812,150.234130859375,153.25030517578125,152.23634338378906,150.9698486328125,2.0,3.016178846359253,29.0
19,0,31,1,1,1,4,153.2540283203125,154.26760864257812,157.28550720214844,156.2686004638672,155.0533905029297,2.0,3.0179078578948975,30.0
13,0,32,7,1,1,4,157.28884887695312,158.30160522460938,161.31895446777344,160.30172729492188,158.93605041503906,1.0,3.0173380374908447,31.0
14,1,33,6,1,10,5,161.32228088378906,171.33633422851562,174.3532257080078,173.33786010742188,171.82211303710938,2.0,3.0168941020965576,32.0
11,1,34,9,1,1,5,174.35650634765625,175.36953735351562,178.3883514404297,177.3701629638672,176.08885192871094,2.0,3.018813133239746,33.0
12,1,35,8,1,1,5,178.39198303222656,179.40322875976562,182.4212188720703,181.40383911132812,,,3.017989158630371,34.0
10,1,36,10,1,1,5,182.42466735839844,183.4378204345703,186.470947265625,185.4563446044922,183.82305908203125,2.0,3.0331292152404785,35.0
16,1,37,4,1,1,5,186.4744415283203,187.48794555664062,190.5050811767578,189.48878479003906,187.78976440429688,1.0,3.0171420574188232,36.0
11,1,38,9,1,1,5,190.50843811035156,191.52203369140625,194.5391845703125,193.52354431152344,192.32418823242188,2.0,3.017151117324829,37.0
11,1,39,9,1,1,5,194.54261779785156,195.55712890625,198.57345581054688,197.55776977539062,195.85873413085938,1.0,3.0163211822509766,38.0
12,1,40,8,1,1,5,198.57704162597656,199.59054565429688,202.60679626464844,201.59071350097656,200.00840759277344,2.0,3.0162558555603027,39.0
11,1,41,9,2,8,6,202.61013793945312,210.62503051757812,213.64129638671875,212.625732421875,211.01031494140625,2.0,3.0162689685821533,40.0
12,1,42,8,2,1,6,213.64468383789062,214.65899658203125,217.67507934570312,216.65908813476562,215.244384765625,1.0,3.016085147857666,41.0
11,1,43,9,2,1,6,217.67823791503906,218.6914520263672,221.70953369140625,220.69161987304688,219.01007080078125,2.0,3.0180680751800537,42.0
