trans_x_mm    trans_y_mm    trans_z_mm    rot_x_degrees    rot_y_degrees    rot_z_degrees    trans_x_mm_dt    trans_y_mm_dt    trans_z_mm_dt    rot_x_degrees_dt    rot_y_degrees_dt    rot_z_degrees_dt    framewise_displacement
-0.101690    0.068635    0.541830    -0.626770    -0.235690    -0.014006    -0.027178    0.185640    0.030746    -0.073713    -0.030795    -0.027774    0.359016
-0.106540    0.093727    0.563530    -0.585630    -0.271670    0.021948    -0.004855    0.025092    0.021699    0.041142    -0.035979    0.035954    0.150318
-0.098751    0.012391    0.412110    -0.525140    -0.292950    0.019662    0.007791    -0.081336    -0.151420    0.060484    -0.021288    -0.002286    0.313898
-0.066676    -0.093351    0.458630    -0.545360    -0.337360    0.069354    0.032075    -0.105740    0.046519    -0.020212    -0.044409    0.049692    0.284102
-0.040101    -0.123680    0.093847    -0.360880    -0.287400    0.045482    0.026575    -0.030330    -0.364780    0.184480    0.049967    -0.023872    0.647107
-0.033351    -0.173360    0.111330    -0.397610    -0.255580    0.004921    0.006750    -0.049681    0.017484    -0.036730    0.031812    -0.040562    0.169131
-0.041093    -0.136990    -0.023723    -0.280600    -0.212680    -0.022901    -0.007742    0.036373    -0.135050    0.117010    0.042902    -0.027822    0.342992
-0.054481    0.025942    0.035317    -0.311170    -0.204700    -0.038251    -0.013388    0.162930    0.059040    -0.030573    0.007980    -0.015350    0.282397
-0.060698    0.093556    0.033551    -0.297970    -0.209600    -0.037472    -0.006217    0.067615    -0.001766    0.013204    -0.004898    0.000779    0.092072
-0.041596    0.282440    0.014373    -0.365320    -0.211080    -0.023574    0.019102    0.188880    -0.019178    -0.067355    -0.001479    0.013898    0.299358
-0.031801    0.159260    0.048784    -0.398010    -0.197300    -0.044297    0.009795    -0.123180    0.034411    -0.032693    0.013778    -0.020723    0.226023
-0.023797    0.093576    0.015413    -0.424640    -0.171350    -0.038680    0.008004    -0.065685    -0.033371    -0.026630    0.025950    0.005617    0.157845
-0.015330    -0.010305    0.036046    -0.398180    -0.161350    -0.061340    0.008466    -0.103880    0.020633    0.026461    0.010001    -0.022660    0.184573
-0.034405    -0.040787    -0.014940    -0.416020    -0.164120    -0.059623    -0.019075    -0.030481    -0.050986    -0.017836    -0.002765    0.001717    0.120027
-0.018965    -0.154870    0.089129    -0.444900    -0.171610    -0.059364    0.015440    -0.114080    0.104070    -0.028880    -0.007497    0.000259    0.265557
-0.024012    0.039023    0.022280    -0.474140    -0.173860    -0.061613    -0.005047    0.193890    -0.066849    -0.029244    -0.002247    -0.002248    0.295232
-0.016942    -0.117430    0.162120    -0.504910    -0.167740    -0.060859    0.007070    -0.156460    0.139840    -0.030765    0.006117    0.000754    0.336214
-0.014097    0.084995    0.058761    -0.489710    -0.175370    -0.068888    0.002845    0.202430    -0.103360    0.015200    -0.007629    -0.008030    0.335559
-0.029271    0.079342    0.087095    -0.530270    -0.196820    -0.078698    -0.015174    -0.005652    0.028333    -0.040559    -0.021453    -0.009810    0.111836
-0.030551    -0.024647    0.044312    -0.379180    -0.176180    -0.074926    -0.001280    -0.103990    -0.042782    0.151090    0.020647    0.003772    0.301206
-0.041572    0.199170    -0.051857    -0.287000    -0.174190    -0.063242    -0.011021    0.223820    -0.096170    0.092182    0.001991    0.011684    0.423382
-0.019621    0.002535    0.048639    -0.032239    -0.117930    -0.038737    0.021952    -0.196640    0.100500    0.254760    0.056251    0.024505    0.611884
-0.015592    0.155310    -0.023672    0.002265    -0.114960    -0.002313    0.004029    0.152780    -0.072311    0.034504    0.002976    0.036424    0.293603
-0.004493    0.117780    0.112080    -0.016407    -0.110620    0.019633    0.011099    -0.037534    0.135750    -0.018672    0.004342    0.021947    0.223615
-0.009698    0.083050    0.019019    -0.039295    -0.140610    -0.018319    -0.005205    -0.034727    -0.093061    -0.022888    -0.029990    -0.037953    0.212261
-0.012734    0.142200    -0.057047    -0.116300    -0.155060    -0.043414    -0.003036    0.059149    -0.076066    -0.077001    -0.014449    -0.025095    0.239961
-0.003596    0.175530    -0.269150    0.054039    -0.160650    -0.110180    0.009138    0.033326    -0.212110    0.170340    -0.005589    -0.066771    0.466362
-0.009281    0.081903    -0.318400    0.021604    -0.132260    -0.098452    -0.005685    -0.093622    -0.049243    -0.032434    0.028383    0.011733    0.211876
-0.011683    0.037920    -0.284810    0.159460    -0.114660    -0.079515    -0.002401    -0.043984    0.033585    0.137860    0.017604    0.018937    0.232161
-0.021166    0.026338    -0.147170    0.079990    -0.107630    -0.078668    -0.009483    -0.011582    0.137640    -0.079472    0.007030    0.000847    0.234930
-0.025691    -0.069541    -0.077360    0.095734    -0.118570    -0.066523    -0.004526    -0.095879    0.069812    0.015744    -0.010940    0.012145    0.204099
-0.031504    0.158420    -0.059645    -0.000908    -0.127410    -0.066586    -0.005812    0.227960    0.017715    -0.096641    -0.008840    -0.000063    0.343594
-0.010661    -0.001438    0.176220    -0.124740    -0.134130    -0.066353    0.020842    -0.159850    0.235870    -0.123840    -0.006722    0.000232    0.530697
0.057542    0.195300    -0.079357    0.068092    -0.109580    -0.060603    0.068204    0.196730    -0.255580    0.192840    0.024553    0.005751    0.715237
0.081861    0.265860    -0.242010    -0.006001    0.021883    0.010588    0.024319    0.070561    -0.162650    -0.074094    0.131460    0.071190    0.499040
0.153440    0.546450    -1.162300    0.468960    0.183870    0.060564    0.071583    0.280590    -0.920310    0.474960    0.161980    0.049976    1.871914
0.065342    0.446500    -1.455900    0.208720    0.310880    0.194140    -0.088102    -0.099945    -0.293580    -0.260240    0.127010    0.133580    0.936154
0.097707    0.554170    -1.681900    0.365980    0.367320    0.161970    0.032365    0.107670    -0.225970    0.157260    0.056447    -0.032171    0.580597
0.049233    0.081769    -1.226800    0.048360    0.195390    0.125930    -0.048474    -0.472400    0.455030    -0.317620    -0.171940    -0.036045    1.434639
0.049103    0.128330    -0.743620    -0.055308    0.130940    0.066390    -0.000130    0.046563    0.483220    -0.103670    -0.064449    -0.059536    0.728540
0.086539    0.089942    -0.711110    0.119530    0.082190    0.056886    0.037436    -0.038390    0.032514    0.174840    -0.048751    -0.009504    0.311745
0.107000    0.200670    -0.725350    0.094069    0.168390    0.075227    0.020460    0.110730    -0.014245    -0.025459    0.086204    0.018341    0.258877
0.205610    0.550550    -1.338900    0.539640    0.366910    0.111670    0.098616    0.349870    -0.613520    0.445570    0.198520    0.036438    1.655918
0.244930    0.437010    -1.297000    0.291010    0.438880    0.119140    0.039316    -0.113540    0.041829    -0.248630    0.071966    0.007476    0.481055
0.205640    0.450510    -1.114900    0.285120    0.429010    0.157070    -0.039292    0.013495    0.182140    -0.005889    -0.009865    0.037930    0.281743
0.187740    0.180610    -0.685880    -0.030729    0.323900    0.184030    -0.017898    -0.269890    0.429020    -0.315850    -0.105110    0.026955    1.107703
0.153330    0.169350    -0.251730    -0.110090    0.177910    0.185620    -0.034412    -0.011262    0.434150    -0.079361    -0.145990    0.001590    0.677863
0.179310    -0.060521    -0.075761    -0.168680    0.120000    0.185740    0.025983    -0.229870    0.175970    -0.058590    -0.057912    0.000128    0.533590
0.169480    0.230830    -0.105960    -0.143080    0.124350    0.161060    -0.009834    0.291350    -0.030202    0.025604    0.004350    -0.024690    0.379054
0.150310    -0.008382    -0.107650    -0.134830    0.131270    0.144290    -0.019169    -0.239210    -0.001689    0.008244    0.006915    -0.016766    0.287944
0.117070    0.390050    -0.378990    -0.049778    0.162890    0.140420    -0.033238    0.398430    -0.271340    0.085056    0.031624    -0.003865    0.808204
0.129270    0.167520    -0.317610    -0.050812    0.183850    0.137700    0.012201    -0.222530    0.061384    -0.001034    0.020956    -0.002727    0.317677
0.133750    0.344760    -0.367670    -0.045490    0.189770    0.136570    0.004483    0.177240    -0.050062    0.005323    0.005928    -0.001127    0.242577
0.138190    0.251930    -0.228540    -0.075478    0.188170    0.129790    0.004434    -0.092833    0.139130    -0.029988    -0.001604    -0.006780    0.269882
0.145030    0.171290    -0.238930    -0.073953    0.174770    0.135200    0.006839    -0.080644    -0.010390    0.001524    -0.013395    0.005416    0.115616
0.158090    0.330210    -0.282240    -0.019019    0.188470    0.127030    0.013065    0.158920    -0.043311    0.054934    0.013693    -0.008175    0.282314
0.174790    0.103810    -0.269820    -0.027786    0.203020    0.148900    0.016699    -0.226400    0.012420    -0.008767    0.014549    0.021868    0.294953
0.184500    0.283370    -0.371370    0.054379    0.251860    0.124850    0.009706    0.179560    -0.101550    0.082165    0.048841    -0.024049    0.426131
0.147220    0.190430    -0.320760    -0.014523    0.207920    0.141760    -0.037282    -0.092938    0.050607    -0.068902    -0.043934    0.016914    0.294060
0.140430    0.167810    -0.326070    -0.005944    0.211810    0.129950    -0.006786    -0.022621    -0.005308    0.008579    0.003891    -0.011812    0.055907
0.124990    0.280950    -0.313700    -0.061063    0.173020    0.136130    -0.015438    0.113140    0.012376    -0.055119    -0.038795    0.006179    0.228294
0.152190    0.203190    -0.213200    -0.101210    0.188370    0.140480    0.027194    -0.077755    0.100490    -0.040143    0.015350    0.004346    0.257686
0.160500    0.163950    -0.185100    -0.121920    0.198820    0.130100    0.008316    -0.039241    0.028100    -0.020710    0.010453    -0.010371    0.111900
0.161940    0.294730    -0.192740    -0.131620    0.208750    0.126570    0.001438    0.130780    -0.007638    -0.009705    0.009927    -0.003531    0.160071
0.152960    0.118270    -0.157430    -0.152510    0.207830    0.113830    -0.008979    -0.176460    0.035314    -0.020886    -0.000921    -0.012742    0.250901
0.136470    0.303030    -0.300600    -0.122140    0.206690    0.091573    -0.016490    0.184760    -0.143170    0.030370    -0.001137    -0.022258    0.391341
0.130860    0.244010    -0.256710    -0.127710    0.195750    0.098750    -0.005610    -0.059022    0.043890    -0.005570    -0.010940    0.007176    0.129191
0.120900    0.163220    -0.295850    -0.146950    0.185600    0.083349    -0.009958    -0.080793    -0.039139    -0.019242    -0.010153    -0.015401    0.168978
0.121310    0.326950    -0.280250    -0.143230    0.180540    0.108670    0.000412    0.163730    0.015593    0.003723    -0.005056    0.025323    0.209499
0.133820    0.078426    -0.173500    -0.194710    0.175640    0.115400    0.012508    -0.248520    0.106750    -0.051488    -0.004899    0.006732    0.422858
0.132950    0.316400    -0.292430    -0.172460    0.192330    0.116770    -0.000875    0.237970    -0.118930    0.022255    0.016688    0.001369    0.392951
0.137840    0.040066    -0.184600    -0.203250    0.187220    0.114600    0.004894    -0.276330    0.107830    -0.030790    -0.005112    -0.002171    0.422276
0.116490    0.276680    -0.396920    -0.211300    0.203800    0.095926    -0.021349    0.236620    -0.212320    -0.008049    0.016584    -0.018676    0.508074
0.114030    0.103840    -0.276710    -0.269460    0.195560    0.107740    -0.002462    -0.172840    0.120210    -0.058157    -0.008245    0.011815    0.363765
0.117740    0.250720    -0.344980    -0.299820    0.217410    0.112240    0.003707    0.146880    -0.068270    -0.030367    0.021853    0.004498    0.268349
0.118390    0.300260    -0.270570    -0.359710    0.220290    0.123330    0.000655    0.049539    0.074416    -0.059885    0.002883    0.011090    0.189055
0.117400    0.217210    -0.243080    -0.319510    0.202180    0.102330    -0.000996    -0.083050    0.027492    0.040200    -0.018114    -0.021000    0.180741
0.122380    0.435070    -0.255230    -0.376290    0.197040    0.116390    0.004984    0.217860    -0.012150    -0.056786    -0.005142    0.014058    0.301295
0.129600    0.286640    -0.301690    -0.351530    0.219770    0.085103    0.007223    -0.148430    -0.046463    0.024766    0.022737    -0.031283    0.270856
0.156320    0.375450    -0.354630    -0.408340    0.278930    0.107950    0.026720    0.088815    -0.052939    -0.056817    0.059158    0.022851    0.289611
0.143710    0.375290    -0.515550    -0.381860    0.339650    0.077770    -0.012616    -0.000166    -0.160920    0.026489    0.060720    -0.030184    0.276123
0.137890    0.118470    -0.390120    -0.349840    0.317600    0.101300    -0.005821    -0.256820    0.125430    0.032020    -0.022057    0.023534    0.455789
0.095429    0.301860    -0.404370    -0.305380    0.272780    0.099156    -0.042457    0.183400    -0.014248    0.044452    -0.044818    -0.002148    0.319883
0.103800    0.015004    -0.194720    -0.315610    0.202960    0.109230    0.008372    -0.286860    0.209650    -0.010222    -0.069823    0.010078    0.583525
0.096034    0.191400    -0.230450    -0.306940    0.200210    0.101920    -0.007767    0.176400    -0.035731    0.008665    -0.002745    -0.007314    0.236237
0.141690    0.090594    -0.227210    -0.276230    0.208270    0.087961    0.045660    -0.100810    0.003234    0.030708    0.008063    -0.013958    0.195717
0.150420    0.064403    -0.283530    -0.242790    0.249580    0.090220    0.008722    -0.026191    -0.056313    0.033442    0.041307    0.002258    0.158444
0.161400    0.302530    -0.375000    -0.150930    0.281920    0.087051    0.010985    0.238130    -0.091474    0.091860    0.032337    -0.003168    0.451727
0.149280    0.164180    -0.294190    -0.215200    0.297260    0.093973    -0.012123    -0.138360    0.080808    -0.064267    0.015341    0.006921    0.306793
0.137700    0.400040    -0.344120    -0.190570    0.325670    0.093855    -0.011577    0.235860    -0.049928    0.024627    0.028414    -0.000118    0.343759
0.132540    0.219050    -0.197760    -0.266480    0.314950    0.105670    -0.005165    -0.180990    0.146360    -0.075905    -0.010722    0.011816    0.418419
0.158080    0.167640    -0.129340    -0.278670    0.329030    0.131080    0.025540    -0.051410    0.068417    -0.012198    0.014078    0.025412    0.190469
0.148770    0.267710    -0.153730    -0.267540    0.319570    0.134630    -0.009305    0.100070    -0.024390    0.011135    -0.009460    0.003550    0.154836
0.176050    0.044557    -0.073185    -0.286780    0.326210    0.137950    0.027281    -0.223150    0.080548    -0.019243    0.006644    0.003312    0.356460
0.111300    0.305150    -0.305900    -0.231040    0.280730    0.098487    -0.064748    0.260590    -0.232720    0.055736    -0.045484    -0.039458    0.680827
0.107190    0.030466    -0.223310    -0.268720    0.257390    0.095050    -0.004118    -0.274680    0.082596    -0.037680    -0.023342    -0.003437    0.417633
0.068583    0.254170    -0.317810    -0.259350    0.217550    0.100890    -0.038603    0.223710    -0.094506    0.009371    -0.039836    0.005845    0.404851
0.087422    0.008079    -0.203620    -0.287970    0.213940    0.114700    0.018839    -0.246090    0.114200    -0.028618    -0.003615    0.013807    0.419298
0.103930    0.262240    -0.221750    -0.290770    0.227450    0.144630    0.016505    0.254160    -0.018140    -0.002795    0.013516    0.029925    0.329151
0.121920    0.054777    -0.148860    -0.300110    0.233270    0.139150    0.017990    -0.207460    0.072895    -0.009346    0.005819    -0.005478    0.316355
0.145380    0.281610    -0.155690    -0.320350    0.259530    0.158550    0.023464    0.226840    -0.006829    -0.020240    0.026254    0.019401    0.314632
0.156860    0.201240    -0.108570    -0.328110    0.275070    0.148680    0.011476    -0.080376    0.047123    -0.007763    0.015549    -0.009866    0.167916
0.155890    0.214220    -0.138950    -0.333290    0.281770    0.143430    -0.000972    0.012981    -0.030384    -0.005178    0.006692    -0.005258    0.059279
0.136840    0.368110    -0.220310    -0.323000    0.274150    0.135400    -0.019042    0.153890    -0.081362    0.010290    -0.007617    -0.008027    0.276937
0.118740    0.128470    -0.203020    -0.333200    0.255120    0.123200    -0.018104    -0.239640    0.017289    -0.010194    -0.019030    -0.012198    0.311184
0.109650    0.346660    -0.271650    -0.297530    0.246490    0.124540    -0.009085    0.218190    -0.068628    0.035668    -0.008626    0.001337    0.335738
0.113910    0.075775    -0.174970    -0.302270    0.245550    0.110610    0.004261    -0.270880    0.096678    -0.004743    -0.000946    -0.013925    0.388938
0.116110    0.197470    -0.230710    -0.283330    0.241890    0.107860    0.002196    0.121690    -0.055742    0.018939    -0.003655    -0.002751    0.201757
0.131920    0.098035    -0.138540    -0.308250    0.267890    0.103260    0.015810    -0.099432    0.092171    -0.024923    0.025993    -0.004598    0.255865
0.130860    0.135080    -0.215410    -0.309140    0.260900    0.107430    -0.001057    0.037048    -0.076872    -0.000881    -0.006982    0.004169    0.125491
0.152830    0.205830    -0.183040    -0.284680    0.299800    0.111480    0.021969    0.070749    0.032378    0.024455    0.038893    0.004044    0.183916
0.141350    0.146420    -0.214540    -0.289850    0.272950    0.116560    -0.011488    -0.059409    -0.031508    -0.005164    -0.026846    0.005086    0.134766
0.147000    0.226180    -0.123980    -0.278540    0.284090    0.121820    0.005658    0.079755    0.090567    0.011309    0.011143    0.005263    0.200152
0.127460    0.047119    -0.064390    -0.313680    0.256470    0.116200    -0.019538    -0.179060    0.059587    -0.035140    -0.027624    -0.005629    0.317864
0.127810    0.223580    -0.047692    -0.323420    0.260490    0.113970    0.000342    0.176460    0.016698    -0.009741    0.004018    -0.002221    0.207463
0.126980    0.129980    -0.063877    -0.338340    0.259160    0.102620    -0.000828    -0.093598    -0.016185    -0.014920    -0.001329    -0.011350    0.134701
0.137350    0.192500    -0.044295    -0.360250    0.258840    0.111400    0.010371    0.062523    0.019581    -0.021909    -0.000319    0.008778    0.119533
0.162990    0.154430    -0.025308    -0.345350    0.272490    0.124630    0.025643    -0.038079    0.018988    0.014895    0.013656    0.013229    0.119157
0.165040    0.015546    -0.092815    -0.337020    0.272070    0.128400    0.002043    -0.138880    -0.067507    0.008333    -0.000426    0.003770    0.219367
0.199750    0.169850    -0.222470    -0.245090    0.295060    0.128930    0.034711    0.154310    -0.129650    0.091928    0.022991    0.000528    0.419418
0.188220    0.135680    -0.297090    -0.248890    0.312750    0.131120    -0.011529    -0.034176    -0.074621    -0.003796    0.017691    0.002196    0.140985
0.209060    0.216220    -0.223160    -0.203130    0.314090    0.130760    0.020840    0.080543    0.073931    0.045756    0.001340    -0.000369    0.216727
0.175200    0.079205    -0.228410    -0.316960    0.319130    0.100520    -0.033857    -0.137020    -0.005255    -0.113830    0.005043    -0.030239    0.306248
0.122070    -0.054458    -0.248530    -0.292120    0.279090    0.142630    -0.053127    -0.133660    -0.020116    0.024842    -0.040038    0.042110    0.300279
0.095668    -0.008329    -0.175070    0.333100    0.207860    0.193240    -0.026407    0.046129    0.073464    0.625220    -0.071232    0.050615    0.797924
0.068389    0.207570    0.017677    0.826330    0.222500    0.429910    -0.027279    0.215900    0.192740    0.493240    0.014637    0.236670    1.085659
0.129260    0.513270    0.432360    1.829300    0.170150    0.551220    0.060875    0.305700    0.414680    1.003000    -0.052347    0.121310    1.808057
0.147180    0.479050    0.485340    1.729200    0.297500    0.652590    0.017911    -0.034217    0.052979    -0.100140    0.127350    0.101380    0.392070
0.146280    0.366430    0.478410    1.677900    0.280280    0.605250    -0.000899    -0.112620    -0.006923    -0.051348    -0.017214    -0.047343    0.221557
0.125470    0.082599    0.317430    1.349700    0.326020    0.574180    -0.020807    -0.283830    -0.160990    -0.328160    0.045738    -0.031067    0.819059
0.094751    0.115940    0.234570    1.123100    0.310020    0.559740    -0.030718    0.033338    -0.082852    -0.226600    -0.016006    -0.014442    0.371230
0.103500    0.020820    0.263020    1.171000    0.303870    0.583590    0.008751    -0.095118    0.028447    0.047854    -0.006146    0.023852    0.200300
0.124600    0.127990    0.209500    1.006600    0.327880    0.572000    0.021093    0.107170    -0.053514    -0.164400    0.024009    -0.011589    0.356323
0.176980    0.002230    0.233880    0.953920    0.383020    0.559720    0.052379    -0.125760    0.024372    -0.052639    0.055139    -0.012285    0.307327
0.217150    0.111860    0.178980    0.901410    0.411120    0.509720    0.040179    0.109630    -0.054896    -0.052507    0.028099    -0.049997    0.318679
0.231600    0.227820    0.147630    0.762250    0.429910    0.441670    0.014445    0.115970    -0.031349    -0.139160    0.018791    -0.068050    0.358982
0.166070    0.233440    0.078216    0.723760    0.360890    0.368480    -0.065528    0.005613    -0.069415    -0.038491    -0.069015    -0.073195    0.298254
0.093106    0.345460    0.006761    0.511130    0.255940    0.307220    -0.072966    0.112020    -0.071455    -0.212630    -0.104950    -0.061258    0.587039
0.055732    0.268510    -0.018119    0.430790    0.231800    0.310670    -0.037374    -0.076951    -0.024881    -0.080343    -0.024142    0.003447    0.233391
0.068774    0.223270    -0.006894    0.299090    0.221240    0.320610    0.013042    -0.045239    0.011225    -0.131690    -0.010560    0.009948    0.202326
0.111550    0.307320    -0.006161    0.242840    0.299980    0.379490    0.042776    0.084050    0.000733    -0.056252    0.078743    0.058875    0.296743
0.116800    0.147900    0.041608    0.252780    0.308760    0.347230    0.005251    -0.159420    0.047769    0.009940    0.008776    -0.032258    0.256927
0.113460    0.259740    -0.002804    0.250320    0.313820    0.333860    -0.003339    0.111840    -0.044412    -0.002461    0.005063    -0.013375    0.177821
0.095445    0.223330    0.026345    0.215230    0.283380    0.270650    -0.018017    -0.036407    0.029148    -0.035088    -0.030440    -0.063206    0.195920
0.092119    0.168670    -0.000341    0.163960    0.261160    0.238870    -0.003326    -0.054660    -0.026686    -0.051270    -0.022216    -0.031776    0.176537
0.085367    0.331160    0.010138    0.085543    0.244230    0.234410    -0.006752    0.162490    0.010479    -0.078419    -0.016932    -0.004461    0.266819
0.075469    0.067709    0.028633    0.074893    0.226380    0.223360    -0.009898    -0.263450    0.018495    -0.010650    -0.017855    -0.011058    0.326358
0.076414    0.287440    -0.011173    0.086943    0.222200    0.221410    0.000945    0.219730    -0.039806    0.012050    -0.004172    -0.001942    0.276347
0.077974    0.085148    0.032045    0.083304    0.219060    0.221160    0.001560    -0.202290    0.043219    -0.003640    -0.003147    -0.000250    0.253204
0.096307    0.161250    0.014436    0.072338    0.228980    0.210750    0.018333    0.076102    -0.017609    -0.010966    0.009920    -0.010410    0.139355
