trans_x_mm    trans_y_mm    trans_z_mm    rot_x_degrees    rot_y_degrees    rot_z_degrees    trans_x_mm_dt    trans_y_mm_dt    trans_z_mm_dt    rot_x_degrees_dt    rot_y_degrees_dt    rot_z_degrees_dt    framewise_displacement
0.000163    -0.012105    0.002531    -0.002078    0.001531    0.000314    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-0.012184    -0.135100    -0.012594    0.025509    -0.001798    -0.004691    -0.012347    -0.123000    -0.015125    0.027587    -0.003330    -0.005006    0.181815
-0.024614    0.087046    -0.095182    0.098910    -0.023548    -0.005564    -0.012430    0.222150    -0.082588    0.073400    -0.021749    -0.000873    0.400960
0.004187    0.147280    -0.173200    0.089566    0.019016    0.024730    0.028801    0.060233    -0.078013    -0.009344    0.042563    0.030294    0.238788
0.008359    0.260550    -0.138490    0.042090    0.028957    0.055332    0.004172    0.113270    0.034705    -0.047476    0.009942    0.030602    0.228963
0.030560    0.186980    -0.110390    -0.073255    0.078238    0.106540    0.022201    -0.073569    0.028096    -0.115350    0.049280    0.051210    0.312222
0.029292    -0.221200    0.176740    -0.208450    0.088447    0.138790    -0.001267    -0.408180    0.287130    -0.135200    0.010210    0.032248    0.851610
0.036491    -0.141800    0.208340    -0.198500    0.078478    0.157010    0.007199    0.079405    0.031595    0.009958    -0.009970    0.018220    0.151482
0.038330    -0.254720    0.317000    -0.217880    0.074994    0.164070    0.001840    -0.112920    0.108660    -0.019383    -0.003484    0.007058    0.249533
0.045782    -0.199720    0.271060    -0.174130    0.067260    0.152360    0.007452    0.054996    -0.045934    0.043745    -0.007733    -0.011706    0.163539
0.039501    -0.023391    0.262850    -0.199890    0.060565    0.146580    -0.006281    0.176330    -0.008208    -0.025754    -0.006695    -0.005784    0.224186
0.022134    -0.226850    0.350960    -0.262850    0.029921    0.127320    -0.017367    -0.203460    0.088106    -0.062965    -0.030644    -0.019258    0.407428
-0.002811    -0.024903    0.393020    -0.326920    -0.025878    0.120610    -0.024945    0.201950    0.042063    -0.064069    -0.055799    -0.006708    0.379413
-0.019022    -0.072003    0.435700    -0.371370    -0.048608    0.106210    -0.016211    -0.047101    0.042677    -0.044452    -0.022729    -0.014404    0.177183
-0.024761    -0.135730    0.442430    -0.419890    -0.066921    0.085791    -0.005738    -0.063730    0.006732    -0.048518    -0.018314    -0.020417    0.152338
-0.002324    0.016742    0.336310    -0.363510    -0.013582    0.072694    0.022437    0.152480    -0.106120    0.056378    0.053339    -0.013097    0.388207
-0.002432    -0.114420    0.334600    -0.403410    -0.009109    0.050414    -0.000108    -0.131170    -0.001706    -0.039892    0.004474    -0.022279    0.191146
0.014803    -0.063082    0.305470    -0.384720    0.026673    0.055907    0.017234    0.051341    -0.029137    0.018685    0.035782    0.005493    0.150032
0.009272    -0.039803    0.318220    -0.436180    0.013525    0.060638    -0.005530    0.023280    0.012749    -0.051459    -0.013148    0.004731    0.102070
0.005441    -0.135760    0.398380    -0.505540    0.013189    0.057390    -0.003831    -0.095958    0.080163    -0.069357    -0.000337    -0.003248    0.243604
0.004253    -0.084873    0.283560    -0.453200    -0.013880    0.029653    -0.001188    0.050888    -0.114820    0.052336    -0.027068    -0.027738    0.260397
-0.002534    -0.016046    0.234870    -0.507520    -0.018333    0.003688    -0.006787    0.068826    -0.048687    -0.054321    -0.004453    -0.025965    0.198252
0.004919    -0.048458    0.115320    -0.404380    -0.015252    -0.024144    0.007452    -0.032412    -0.119550    0.103150    0.003081    -0.027832    0.276397
0.010173    0.018946    0.074367    -0.345190    -0.035590    -0.030636    0.005254    0.067404    -0.040956    0.059183    -0.020338    -0.006492    0.188678
0.024431    0.070393    0.136160    -0.233640    -0.022816    -0.005660    0.014258    0.051446    0.061790    0.111560    0.012773    0.024976    0.257787
0.026164    -0.061413    0.196950    -0.085674    -0.076828    0.000559    0.001733    -0.131810    0.060797    0.147960    -0.054012    0.006219    0.376015
0.030896    0.042920    0.241880    -0.080887    -0.048252    0.032535    0.004732    0.104330    0.044927    0.004787    0.028577    0.031975    0.211014
0.026178    -0.047282    0.284750    -0.016674    -0.041583    0.049921    -0.004718    -0.090203    0.042868    0.064213    0.006668    0.017387    0.214818
0.029884    -0.111130    0.329890    -0.008013    -0.028225    0.052464    0.003706    -0.063845    0.045136    0.008661    0.013358    0.002543    0.134128
0.028825    -0.005619    0.315610    0.059932    -0.039150    0.068415    -0.001059    0.105510    -0.014280    0.067945    -0.010925    0.015950    0.203597
0.015145    -0.154820    0.358900    0.026403    -0.071022    0.053651    -0.013680    -0.149200    0.043299    -0.033528    -0.031872    -0.014764    0.276128
-0.013325    -0.071365    0.278790    -0.127910    -0.100960    0.039499    -0.028470    0.083451    -0.080111    -0.154320    -0.029939    -0.014151    0.365174
-0.049608    -0.071391    0.248640    -0.248000    -0.098455    0.025392    -0.036283    -0.000026    -0.030149    -0.120090    0.002507    -0.014107    0.185754
-0.053483    -0.093039    0.257500    -0.384860    -0.106060    0.009280    -0.003876    -0.021647    0.008858    -0.136860    -0.007603    -0.016113    0.174513
-0.063251    0.053303    0.214570    -0.309040    -0.111330    -0.005611    -0.009768    0.146340    -0.042937    0.075812    -0.005275    -0.014891    0.282799
-0.040852    -0.046627    0.288760    -0.308260    -0.142640    -0.006502    0.022399    -0.099929    0.074198    0.000786    -0.031311    -0.000891    0.225300
-0.040632    -0.019447    0.261290    -0.259640    -0.141040    -0.013062    0.000220    0.027180    -0.027473    0.048617    0.001605    -0.006560    0.104420
-0.031839    -0.126440    0.269270    -0.251130    -0.147650    -0.003773    0.008793    -0.106990    0.007980    0.008508    -0.006608    0.009289    0.145067
-0.019562    -0.167960    0.220010    -0.215580    -0.100090    0.005114    0.012277    -0.041519    -0.049256    0.035552    0.047561    0.008887    0.183340
-0.025600    -0.023585    0.104250    -0.207990    -0.096667    -0.030056    -0.006038    0.144370    -0.115760    0.007592    0.003420    -0.035170    0.306475
-0.034887    -0.168090    0.236870    -0.291970    -0.146750    -0.003450    -0.009287    -0.144500    0.132610    -0.083985    -0.050084    0.026606    0.426622
-0.044271    -0.160200    0.261390    -0.388130    -0.157590    -0.024052    -0.009384    0.007890    0.024520    -0.096154    -0.010836    -0.020601    0.153148
-0.067520    -0.245730    0.558400    -0.583380    -0.241890    0.020216    -0.023249    -0.085537    0.297020    -0.195250    -0.084299    0.044267    0.688374
-0.074509    -0.117010    0.511080    -0.553060    -0.204890    0.013768    -0.006989    0.128730    -0.047324    0.030326    0.036995    -0.006448    0.247404
