trans_x_mm    trans_y_mm    trans_z_mm    rot_x_degrees    rot_y_degrees    rot_z_degrees    trans_x_mm_dt    trans_y_mm_dt    trans_z_mm_dt    rot_x_degrees_dt    rot_y_degrees_dt    rot_z_degrees_dt    framewise_displacement
-0.000496    0.006929    -0.004484    0.003335    -0.001049    -0.000677    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
0.000583    0.050752    -0.043358    -0.011659    -0.001950    -0.002768    0.001078    0.043823    -0.038874    -0.014995    -0.000901    -0.002092    0.099473
0.001120    0.041799    -0.051224    -0.003452    -0.006637    0.002846    0.000537    -0.008953    -0.007866    0.008207    -0.004686    0.005614    0.033507
-0.002509    0.042890    -0.062425    -0.040077    -0.003914    -0.002851    -0.003629    0.001091    -0.011201    -0.036625    0.002723    -0.005697    0.055230
-0.000836    0.139600    -0.070525    -0.027017    0.000289    -0.007669    0.001674    0.096706    -0.008100    0.013060    0.004202    -0.004818    0.125752
-0.000390    -0.040053    0.029122    -0.183330    0.023178    -0.017183    0.000446    -0.179650    0.099647    -0.156310    0.022890    -0.009515    0.444432
0.007623    0.129580    -0.035048    -0.094439    0.034795    -0.033150    0.008013    0.169630    -0.064170    0.088892    0.011617    -0.015967    0.343459
0.018377    0.070393    0.007899    -0.134540    0.049171    -0.028914    0.010754    -0.059184    0.042947    -0.040098    0.014375    0.004236    0.164125
0.020800    0.016563    -0.016623    -0.047886    0.051436    -0.026043    0.002423    -0.053829    -0.024522    0.086651    0.002265    0.002871    0.160877
0.033807    0.125580    -0.052158    -0.061742    0.044738    -0.026448    0.013006    0.109010    -0.035534    -0.013856    -0.006698    -0.000405    0.175849
0.023896    0.013144    -0.033868    -0.044276    0.042787    -0.028804    -0.009911    -0.112430    0.018290    0.017466    -0.001952    -0.002356    0.159638
0.027388    0.049320    -0.081030    -0.034947    0.026669    -0.042229    0.003492    0.036176    -0.047162    0.009329    -0.016118    -0.013426    0.120752
0.007350    0.114330    -0.101740    0.024637    0.017428    -0.048770    -0.020038    0.065006    -0.020713    0.059585    -0.009241    -0.006541    0.171527
0.012850    0.055089    -0.073713    0.004903    0.017048    -0.038762    0.005500    -0.059237    0.028030    -0.019734    -0.000380    0.010008    0.119054
0.008953    0.024641    -0.031443    -0.001319    0.021402    -0.038651    -0.003897    -0.030448    0.042270    -0.006223    0.004354    0.000111    0.085942
0.014638    0.108450    -0.030881    -0.016361    0.022992    -0.031113    0.005685    0.083814    0.000561    -0.015042    0.001590    0.007538    0.111148
0.007246    0.005406    0.038677    -0.039357    0.017896    -0.032977    -0.007392    -0.103050    0.069558    -0.022996    -0.005096    -0.001864    0.206135
0.000221    0.059629    -0.015147    -0.016417    -0.004999    -0.039638    -0.007026    0.054223    -0.053823    0.022939    -0.022895    -0.006660    0.160885
0.000095    0.151700    0.003060    -0.027797    -0.011998    -0.043611    -0.000125    0.092073    0.018206    -0.011379    -0.006999    -0.003973    0.129908
0.002532    -0.018831    0.021721    -0.043387    -0.014983    -0.048714    0.002436    -0.170530    0.018662    -0.015590    -0.002984    -0.005103    0.212292
0.004341    0.147780    -0.026620    -0.030898    -0.010284    -0.056109    0.001810    0.166610    -0.048341    0.012489    0.004699    -0.007395    0.238214
0.010117    0.058115    0.026913    -0.070602    0.006707    -0.045287    0.005776    -0.089668    0.053533    -0.039704    0.016991    0.010822    0.207894
0.019311    -0.041734    0.053024    -0.087910    0.018628    -0.033267    0.009194    -0.099849    0.026111    -0.017308    0.011920    0.012020    0.171150
0.036496    0.100090    0.052015    -0.069728    0.023340    -0.029267    0.017184    0.141820    -0.001009    0.018181    0.004712    0.004000    0.183487
0.014829    -0.030936    0.062561    -0.056338    0.004465    -0.049213    -0.021667    -0.131030    0.010546    0.013390    -0.018875    -0.019946    0.208802
-0.001293    0.143720    -0.086291    0.019360    -0.010997    -0.084117    -0.016122    0.174650    -0.148850    0.075699    -0.015462    -0.034904    0.449642
-0.047763    0.066359    -0.149340    0.038891    -0.049149    -0.117030    -0.046470    -0.077358    -0.063052    0.019531    -0.038152    -0.032911    0.265940
-0.046719    0.117370    -0.225290    0.003713    -0.038670    -0.110000    0.001045    0.051012    -0.075951    -0.035178    0.010479    0.007027    0.173983
-0.047982    -0.012022    -0.193490    -0.003003    -0.065869    -0.101340    -0.001263    -0.129390    0.031804    -0.006716    -0.027199    0.008659    0.199609
-0.039471    0.132430    -0.222830    -0.038931    -0.056984    -0.085927    0.008511    0.144450    -0.029340    -0.035928    0.008885    0.015415    0.234860
-0.045338    0.152290    -0.213620    -0.040918    -0.071424    -0.088885    -0.005867    0.019866    0.009215    -0.001987    -0.014440    -0.002959    0.051854
-0.044553    0.074300    -0.200260    -0.023014    -0.075595    -0.096712    0.000784    -0.077991    0.013353    0.017904    -0.004171    -0.007827    0.118229
-0.057595    0.278940    -0.212340    -0.026717    -0.072926    -0.096411    -0.013041    0.204640    -0.012074    -0.003704    0.002668    0.000302    0.235585
-0.039916    0.006386    -0.116710    -0.013372    -0.077368    -0.090931    0.017679    -0.272560    0.095631    0.013346    -0.004442    0.005480    0.406167
-0.050199    0.189880    -0.155830    -0.010453    -0.060788    -0.091813    -0.010283    0.183500    -0.039122    0.002918    0.016580    -0.000882    0.250682
-0.043067    0.145980    -0.121080    -0.039940    -0.066047    -0.087060    0.007133    -0.043899    0.034745    -0.029486    -0.005259    0.004753    0.120251
-0.042088    0.019095    -0.088726    -0.054686    -0.054669    -0.090771    0.000978    -0.126890    0.032357    -0.014746    0.011378    -0.003711    0.186254
-0.037025    0.153370    -0.092659    -0.068663    -0.056728    -0.084068    0.005064    0.134280    -0.003933    -0.013977    -0.002059    0.006703    0.163115
-0.026330    0.037164    -0.042428    -0.084838    -0.038842    -0.074332    0.010694    -0.116210    0.050230    -0.016174    0.017886    0.009737    0.215352
-0.021531    0.002903    -0.047588    -0.073040    -0.030613    -0.078774    0.004799    -0.034261    -0.005160    0.011798    0.008230    -0.004443    0.065574
-0.040894    0.199270    -0.145410    -0.060440    -0.044779    -0.098086    -0.019363    0.196370    -0.097827    0.012600    -0.014166    -0.019312    0.353763
-0.040066    0.023589    -0.094424    -0.070228    -0.052310    -0.104900    0.000828    -0.175680    0.050990    -0.009788    -0.007532    -0.006817    0.248555
-0.052162    0.156960    -0.180630    -0.043122    -0.071880    -0.112670    -0.012095    0.133370    -0.086208    0.027106    -0.019570    -0.007764    0.279186
-0.034769    0.150330    -0.107090    -0.073334    -0.059474    -0.089693    0.017393    -0.006621    0.073544    -0.030212    0.012406    0.022974    0.154805
-0.025009    0.000363    -0.106650    -0.053995    -0.055492    -0.082076    0.009760    -0.149970    0.000442    0.019338    0.003981    0.007617    0.187166
-0.016838    0.205950    -0.144160    -0.040276    -0.055617    -0.081142    0.008171    0.205590    -0.037518    0.013719    -0.000125    0.000935    0.264165
-0.005857    0.041662    -0.086258    -0.071570    -0.037014    -0.061939    0.010981    -0.164290    0.057906    -0.031294    0.018603    0.019202    0.293472
0.007961    0.094879    -0.058485    -0.077063    -0.004883    -0.033964    0.013818    0.053217    0.027773    -0.005494    0.032131    0.027975    0.152054
