sub,run,misses
sub-104,run-1,0
sub-104,run-2,0
sub-105,run-1,0
sub-105,run-2,0
sub-106,run-1,0
sub-106,run-2,1
sub-107,run-1,1
sub-107,run-2,0
sub-108,run-1,0
sub-108,run-2,0
sub-109,run-1,6
sub-109,run-2,19
sub-110,run-1,0
sub-110,run-2,0
sub-111,run-1,40
sub-111,run-2,8
sub-112,run-1,0
sub-112,run-2,1
sub-113,run-1,0
sub-113,run-2,0
sub-115,run-1,1
sub-115,run-2,0
sub-116,run-1,2
sub-116,run-2,0
sub-117,run-1,0
sub-117,run-2,0
sub-118,run-1,19
sub-118,run-2,24
sub-120,run-1,10
sub-120,run-2,0
sub-121,run-1,0
sub-121,run-2,0
sub-122,run-1,3
sub-122,run-2,2
sub-124,run-1,0
sub-124,run-2,2
sub-125,run-1,2
sub-125,run-2,2
sub-126,run-1,0
sub-126,run-2,1
sub-127,run-1,2
sub-127,run-2,0
sub-128,run-1,0
sub-128,run-2,2
sub-129,run-1,27
sub-129,run-2,5
sub-130,run-1,3
sub-130,run-2,0
sub-131,run-1,16
sub-131,run-2,9
sub-132,run-1,0
sub-132,run-2,1
sub-133,run-1,3
sub-133,run-2,6
sub-134,run-1,7
sub-134,run-2,7
sub-135,run-1,19
sub-135,run-2,39
sub-136,run-1,1
sub-136,run-2,0
sub-137,run-1,0
sub-137,run-2,1
sub-138,run-1,58
sub-138,run-2,66
sub-140,run-1,4
sub-140,run-2,3
sub-141,run-1,3
sub-141,run-2,3
sub-142,run-1,7
sub-142,run-2,3
sub-144,run-1,2
sub-144,run-2,0
sub-145,run-1,14
sub-145,run-2,0
sub-147,run-1,6
sub-147,run-2,1
sub-149,run-1,27
sub-149,run-2,9
sub-150,run-1,2
sub-150,run-2,0
sub-151,run-1,0
sub-151,run-2,0
sub-152,run-1,19
sub-152,run-2,6
sub-153,run-1,0
sub-153,run-2,0
sub-154,run-1,0
sub-154,run-2,0
sub-155,run-1,1
sub-155,run-2,1
sub-156,run-1,1
sub-156,run-2,0
sub-157,run-1,0
sub-157,run-2,1
sub-158,run-1,2
sub-158,run-2,0
sub-159,run-1,0
sub-159,run-2,0
