onset	duration	trial_type	response_time	trust_value	choice
0.030263	2.000587	choice_friend	2.000587	2	high
6.063480	1.000000	outcome_friend_defect	2.000587	2	high
12.089000	2.000300	choice_computer	2.000300	1	high
18.155000	1.000000	outcome_computer_recip	2.000300	1	high
22.188800	2.007800	choice_stranger	2.007800	1	low
30.244800	1.000000	outcome_stranger_recip	2.007800	1	low
32.267500	2.002800	choice_friend	2.002800	0	low
46.342900	2.004400	choice_computer	2.004400	2	high
52.410500	1.000000	outcome_computer_recip	2.004400	2	high
56.437800	2.016500	choice_computer	2.016500	1	high
62.517000	1.000000	outcome_computer_defect	2.016500	1	high
64.543700	2.016500	choice_computer	2.016500	2	low
74.596200	1.000000	outcome_computer_defect	2.016500	2	low
78.618200	2.001700	choice_stranger	2.001700	4	high
84.681600	1.000000	outcome_stranger_recip	2.001700	4	high
88.692200	2.001600	choice_stranger	2.001600	4	high
100.737000	1.000000	outcome_stranger_defect	2.001600	4	high
102.762000	2.008000	choice_stranger	2.008000	0	low
112.874000	2.004000	choice_computer	2.004000	2	high
120.922000	1.000000	outcome_computer_recip	2.004000	2	high
122.948000	2.004000	choice_stranger	2.004000	1	high
132.998000	1.000000	outcome_stranger_defect	2.004000	1	high
137.033000	2.012000	choice_computer	2.012000	4	high
143.109000	1.000000	outcome_computer_recip	2.012000	4	high
147.136000	2.016000	choice_computer	2.016000	2	high
153.209000	1.000000	outcome_computer_defect	2.016000	2	high
155.245000	2.013000	choice_friend	2.013000	2	low
167.307000	1.000000	outcome_friend_recip	2.013000	2	low
169.324000	3.000000	missed_trial	3.000000	n/a	n/a
179.379000	2.013000	choice_computer	2.013000	4	high
185.460000	1.000000	outcome_computer_defect	2.013000	4	high
187.470000	2.011000	choice_computer	2.011000	4	high
195.509000	1.000000	outcome_computer_defect	2.011000	4	high
199.531000	2.008000	choice_computer	2.008000	1	low
205.613000	1.000000	outcome_computer_recip	2.008000	1	low
207.636000	2.009000	choice_computer	2.009000	4	high
213.693000	1.000000	outcome_computer_recip	2.009000	4	high
215.706000	2.011000	choice_friend	2.011000	0	low
223.803000	2.003000	choice_stranger	2.003000	2	high
229.867000	1.000000	outcome_stranger_recip	2.003000	2	high
231.883000	2.013000	choice_computer	2.013000	2	high
239.942000	1.000000	outcome_computer_defect	2.013000	2	high
245.971000	2.001000	choice_stranger	2.001000	1	high
254.017000	1.000000	outcome_stranger_recip	2.001000	1	high
260.049000	2.017000	choice_stranger	2.017000	2	high
266.121000	1.000000	outcome_stranger_defect	2.017000	2	high
268.162000	2.009000	choice_friend	2.009000	2	low
276.214000	1.000000	outcome_friend_defect	2.009000	2	low
284.231000	2.002000	choice_friend	2.002000	1	low
294.277000	1.000000	outcome_friend_recip	2.002000	1	low
296.290000	2.001000	choice_friend	2.001000	2	high
306.337000	1.000000	outcome_friend_defect	2.001000	2	high
308.373000	2.010000	choice_stranger	2.010000	2	low
314.432000	1.000000	outcome_stranger_defect	2.010000	2	low
318.440000	2.001000	choice_stranger	2.001000	4	high
326.487000	1.000000	outcome_stranger_recip	2.001000	4	high
328.522000	2.009000	choice_friend	2.009000	0	low
340.596000	2.010000	choice_friend	2.010000	0	low
356.690000	2.011000	choice_stranger	2.011000	4	high
364.753000	1.000000	outcome_stranger_defect	2.011000	4	high
370.776000	2.002000	choice_friend	2.002000	0	low
378.865000	2.002000	choice_stranger	2.002000	0	low
390.949000	2.010000	choice_friend	2.010000	1	low
399.003000	1.000000	outcome_friend_defect	2.010000	1	low
