Sub	task	run	dvars_nstd	tsnr	fd_mean	gsr_y	aqi	Isoutlier_run
sub-104	ultimatum	01	23.137156491111114	70.49005889892578	0.09522539936481214	0.04309196397662163	0.0074209517085427135	False
sub-104	ultimatum	02	22.328653504292927	62.07368850708008	0.12249019232533037	0.0444515235722065	0.009742650150753769	False
sub-105	ultimatum	01	25.225126515829146	79.79112243652344	0.08789231946341752	0.02510119415819645	0.0076397407	False
sub-105	ultimatum	02	24.969855192777782	90.69239807128906	0.0939582169518512	0.02535710483789444	0.005330864321608041	False
sub-106	ultimatum	01	20.583651838223343	74.62921142578125	0.1964211994071108	0.01985669694840908	0.006759121313131313	False
sub-106	ultimatum	02	22.23750012834171	79.8360595703125	0.2442344921735757	0.020600762218236923	0.00541383795	False
sub-107	ultimatum	01	23.555472946868687	65.59439849853516	0.09644595658521653	0.03324834257364273	0.007329881909547738	False
sub-107	ultimatum	02	22.885572326377538	71.1109619140625	0.10238667937548705	0.03297146037220955	0.005793401319796954	False
sub-108	ultimatum	01	16.60356944258883	64.78645324707031	0.12304483597258095	0.04236963018774986	0.011036731060606061	False
sub-108	ultimatum	02	18.619347746446703	67.90602111816406	0.15497272698095121	0.04216821491718292	0.009352149595959595	False
sub-109	ultimatum	01	27.44621484959597	72.22907257080078	0.19307795054665447	0.0376540906727314	0.008951112311557789	False
sub-109	ultimatum	02	27.936792220251245	71.59490966796875	0.23728619630545245	0.038050249218940735	0.0083037938	False
sub-110	ultimatum	01	22.08287924949493	74.42870330810547	0.09000766675890885	0.05854237824678421	0.006074633015075377	False
sub-110	ultimatum	02	20.493296068838372	75.24811553955078	0.08170734025472054	0.05930895730853081	0.005980583718592964	False
sub-111	ultimatum	01	29.624968808232307	54.45424270629883	0.28839800463250465	0.04351857304573059	0.009129418442211054	False
sub-111	ultimatum	02	27.822198078282828	47.593997955322266	0.27792792946740436	0.043865837156772614	0.013688204221105529	False
sub-112	ultimatum	01	19.568057893636364	70.22494506835938	0.12156185013646612	0.030209243297576904	0.009901571407035176	False
sub-112	ultimatum	02	20.320060739848483	82.4609146118164	0.14199760388851637	0.0305226631462574	0.0058552283919597985	False
