Blockn,Partner,Trialn,Feedback,ITI,ITIonset_raw,decision_raw,outcome_offset_raw,outcome_onset_raw,outcome_val_raw,resp_onset_raw,resp_raw,trialDuration_raw,order
1,3,1,2,8,0.05405783653259277,8.062894821166992,11.095561981201172,10.079315185546875,5.0,10.078828811645508,1.0,3.0326671600341797,0.0
1,3,2,3,1,11.09903335571289,12.112381935119629,15.146803855895996,14.129005432128906,3.0,14.128632545471191,1.0,3.034421920776367,1.0
1,3,3,3,1,15.149904251098633,16.161808013916016,19.179061889648438,18.163402557373047,2.0,18.163055419921875,1.0,3.0172529220581055,2.0
1,3,4,3,1,19.181726455688477,20.19781494140625,23.22984504699707,22.21283531188965,4.0,22.21249771118164,1.0,3.0320308208465576,3.0
1,3,5,3,1,23.232633590698242,24.246501922607422,27.264118194580078,26.247804641723633,8.0,26.247329711914062,2.0,3.0176169872283936,4.0
1,3,6,3,1,27.267297744750977,28.280853271484375,31.31454849243164,30.297977447509766,4.0,30.297534942626953,1.0,3.0336949825286865,5.0
1,3,7,3,1,31.317638397216797,32.33111572265625,35.36434555053711,34.348506927490234,,34.348060607910156,0.0,3.0332279205322266,6.0
1,3,8,1,1,35.36716842651367,36.38151168823242,39.416873931884766,38.39847183227539,9.0,38.398014068603516,1.0,3.0353620052337646,7.0
2,2,9,1,10,39.421051025390625,49.43379211425781,52.453277587890625,51.43547439575195,3.0,51.43483352661133,2.0,3.019482135772705,8.0
2,2,10,3,1,52.45876693725586,53.466617584228516,56.48395919799805,55.467933654785156,8.0,55.46747970581055,2.0,3.0173420906066895,9.0
2,2,11,2,1,56.486846923828125,57.4996223449707,60.51921081542969,59.500247955322266,5.0,59.49981689453125,2.0,3.0195858478546143,10.0
2,2,12,1,1,60.521968841552734,61.534034729003906,64.55188751220703,63.53520202636719,7.0,63.53477096557617,1.0,3.017854928970337,11.0
2,2,13,1,1,64.55470275878906,65.5685806274414,68.58499908447266,67.56942749023438,1.0,67.56896209716797,2.0,3.01642107963562,12.0
2,2,14,1,1,68.58865356445312,69.60203552246094,72.62155151367188,71.60395050048828,7.0,71.60333251953125,1.0,3.0195140838623047,13.0
2,2,15,1,1,72.62445831298828,73.6358413696289,76.65335845947266,75.63702392578125,7.0,75.63639831542969,1.0,3.01751708984375,14.0
2,2,16,1,1,76.65607452392578,77.66999053955078,80.68670654296875,79.67064666748047,3.0,79.67019653320312,2.0,3.0167229175567627,15.0
3,1,17,3,8,80.69087982177734,88.70369720458984,91.72124481201172,90.704345703125,7.0,90.70391845703125,2.0,3.017547130584717,16.0
3,1,18,3,1,91.7267074584961,92.73772430419922,95.75589752197266,94.74044036865234,,94.74000549316406,0.0,3.0181710720062256,17.0
3,1,19,3,1,95.75939178466797,96.77190399169922,99.80583190917969,98.79058074951172,8.0,98.79019927978516,2.0,3.0339319705963135,18.0
3,1,20,3,1,99.80970764160156,100.82276153564453,103.83899688720703,102.82376098632812,8.0,102.82330322265625,2.0,3.016239881515503,19.0
3,1,21,1,1,103.84223937988281,104.85740661621094,107.89116668701172,106.87326049804688,2.0,106.8728256225586,2.0,3.0337579250335693,20.0
3,1,22,3,1,107.89435577392578,108.90653228759766,111.92506408691406,110.90756225585938,8.0,110.9071273803711,2.0,3.01853084564209,21.0
3,1,23,3,1,111.92829132080078,112.94025421142578,115.959228515625,114.94111633300781,3.0,114.94065856933594,1.0,3.018972158432007,22.0
3,1,24,1,1,115.96238708496094,116.97420501708984,119.99141693115234,118.97489929199219,6.0,118.97444152832031,1.0,3.0172109603881836,23.0
4,3,25,3,10,119.99493408203125,130.00936889648438,133.04408264160156,132.0267333984375,9.0,132.02635192871094,2.0,3.0347158908843994,24.0
4,3,26,3,1,133.04959106445312,134.06033325195312,137.09353637695312,136.07765197753906,1.0,136.07730102539062,1.0,3.033217191696167,25.0
4,3,27,2,1,137.09657287597656,138.10997009277344,141.12789916992188,140.11122131347656,5.0,140.11077880859375,1.0,3.01792311668396,26.0
4,3,28,3,1,141.13063049316406,142.1450958251953,145.17654418945312,144.16168212890625,8.0,144.16127014160156,2.0,3.0314440727233887,27.0
4,3,29,2,1,145.17930603027344,146.19430541992188,149.21231079101562,148.19622802734375,5.0,148.19581604003906,2.0,3.0180110931396484,28.0
4,3,30,3,1,149.21533203125,150.228515625,153.24525451660156,152.22958374023438,2.0,152.22914123535156,1.0,3.0167388916015625,29.0
4,3,31,3,1,153.2479248046875,154.26243591308594,157.27992248535156,156.26425170898438,4.0,156.26380920410156,1.0,3.017493963241577,30.0
4,3,32,3,1,157.28268432617188,158.2955322265625,161.31382751464844,160.2965545654297,9.0,160.29611206054688,2.0,3.018296003341675,31.0
5,1,33,3,10,161.31748962402344,171.33184814453125,174.34901428222656,173.3336944580078,2.0,173.33323669433594,1.0,3.017159938812256,32.0
5,1,34,3,1,174.3525390625,175.36447143554688,178.382080078125,177.36599731445312,8.0,177.36553955078125,2.0,3.0176150798797607,33.0
5,1,35,2,1,178.38548278808594,179.39926147460938,182.41539001464844,181.40049743652344,5.0,181.40003967285156,1.0,3.016126871109009,34.0
5,1,36,3,1,182.41864013671875,183.4314727783203,186.4498748779297,185.43350219726562,9.0,185.43304443359375,2.0,3.018409013748169,35.0
5,1,37,3,1,186.4530792236328,187.46627807617188,190.48292541503906,189.46742248535156,3.0,189.46697998046875,1.0,3.0166420936584473,36.0
5,1,38,1,1,190.48609924316406,191.50018310546875,194.51895141601562,193.500732421875,2.0,193.50030517578125,2.0,3.018765926361084,37.0
5,1,39,3,1,194.52212524414062,195.53431701660156,198.55242919921875,197.53497314453125,,197.5345458984375,0.0,3.018118143081665,38.0
