subnum,avg_compFair,avg_compUnfair,avg_OutGrpFair,avg_OutGrpUnfair,avg_InGrpFair,avg_InGrpUnfair,avg_compFairlogRT,avg_compUnfairlogRT,avg_OutGrpFairlogRT,avg_OutGrpUnfairlogRT,avg_InGrpFairlogRT,avg_InGrpUnfairlogRT,avg_compFair_RT,avg_compUnfair_RT,avg_outgroupFair_RT,avg_outgroupUnfair_RT,avg_ingroupFair_RT,avg_ingroupUnfair_RT,misses
103,0.375000,0.125000,0.500000,0.062500,0.562500,0.125000,0.349203,0.305560,0.314340,0.353468,0.321840,0.324953,1.422959,1.363956,1.379399,1.436064,1.385531,1.393991,0.000000
104,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.360611,0.322861,0.387406,0.315825,0.353612,0.294667,1.447528,1.384139,1.518823,1.390220,1.432160,1.345442,0.000000
105,0.875000,0.392857,0.843750,0.500000,1.000000,0.562500,0.455837,0.503648,0.475573,0.459779,0.460512,0.586779,1.582302,1.696034,1.618092,1.596532,1.596008,1.844478,0.000000
106,0.750000,0.093750,0.750000,0.125000,0.687500,0.156250,0.312776,0.255644,0.298500,0.245121,0.217553,0.282020,1.378494,1.320285,1.372506,1.295535,1.262846,1.347679,0.000000
107,0.531250,0.281250,0.781250,0.433036,0.775000,0.187500,0.424349,0.432779,0.428551,0.323671,0.453720,0.365517,1.591566,1.600663,1.588946,1.421470,1.605589,1.481412,0.000000
108,0.843750,0.250000,0.875000,0.468750,0.875000,0.250000,0.149401,0.231358,0.223723,0.093134,0.190364,0.025439,1.193950,1.300396,1.277823,1.108284,1.226804,1.025774,0.000000
109,1.000000,0.900000,1.000000,0.736264,0.937500,0.880952,0.517062,0.572227,0.628238,0.531868,0.527111,0.535041,1.739008,1.840017,1.930568,1.757914,1.764192,1.784931,0.000000
110,0.937500,0.437500,0.875000,0.312500,0.875000,0.468750,0.028397,0.026204,0.025413,0.029055,0.027076,0.032405,1.028868,1.026563,1.025768,1.029819,1.027478,1.033312,0.000000
111,0.875000,0.437500,0.875000,0.281250,0.933333,0.625000,0.157226,0.122328,0.249341,0.092943,0.128934,0.154459,1.234632,1.142208,1.361573,1.106640,1.173463,1.205050,0.000000
112,0.937500,0.843750,0.937500,0.562500,0.875000,0.750000,0.414595,0.446934,0.434833,0.410639,0.413832,0.491318,1.526086,1.582991,1.561292,1.518669,1.521985,1.656484,0.000000
113,0.781250,0.125000,0.843750,0.187500,0.875000,0.218750,0.431605,0.446405,0.416129,0.440603,0.473717,0.427905,1.550775,1.576725,1.525105,1.570570,1.628556,1.545291,0.000000
