Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,0,2,1,4.500000e+00,2
2,2,8,2,1,2.500000e+00,2
3,2,8,1,1,5.000000e-01,8
4,0,2,2,0,5.000000e-01,2
5,4,0,1,1,4.500000e+00,4
6,0,4,2,0,5.000000e-01,4
7,0,8,1,1,5.000000e-01,2
8,0,4,3,0,4.500000e+00,2
9,8,2,1,0,2.500000e+00,6
10,2,4,1,1,5.000000e-01,6
11,8,4,2,1,5.000000e-01,10
12,8,2,3,1,2.500000e+00,2
13,2,0,1,1,2.500000e+00,2
14,2,0,3,1,5.000000e-01,2
15,2,0,1,0,5.000000e-01,2
16,0,4,3,1,2.500000e+00,2
17,4,2,3,1,2.500000e+00,2
18,4,8,3,0,6.500000e+00,2
19,8,0,2,1,5.000000e-01,2
20,8,2,3,0,2.500000e+00,4
21,2,4,1,0,5.000000e-01,6
22,4,8,1,0,5.000000e-01,4
23,4,2,2,0,5.000000e-01,4
24,0,8,3,1,6.500000e+00,2
25,4,8,3,1,4.500000e+00,6
26,4,8,2,0,4.500000e+00,4
27,4,2,2,1,2.500000e+00,4
28,0,2,3,0,5.000000e-01,2
29,2,8,2,0,2.500000e+00,4
30,8,0,2,0,5.000000e-01,2
31,4,2,3,0,5.000000e-01,4
32,4,8,1,1,2.500000e+00,4
33,0,8,1,0,5.000000e-01,2
34,4,0,1,0,5.000000e-01,8
35,0,4,2,1,5.000000e-01,2
36,0,8,3,0,4.500000e+00,6
