Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,8,3,0,2.500000e+00,2
2,4,8,3,1,2.500000e+00,4
3,4,0,2,0,5.000000e-01,8
4,4,2,1,1,5.000000e-01,2
5,4,0,1,0,4.500000e+00,2
6,0,2,3,0,4.500000e+00,2
7,4,2,1,0,5.000000e-01,10
8,4,8,1,1,5.000000e-01,4
9,8,0,1,0,2.500000e+00,8
10,8,4,3,0,5.000000e-01,2
11,4,0,3,1,2.500000e+00,2
12,4,2,2,0,2.500000e+00,4
13,0,2,2,1,2.500000e+00,2
14,0,4,2,1,5.000000e-01,4
15,4,2,2,1,5.000000e-01,4
16,0,2,1,1,5.000000e-01,2
17,4,8,2,0,2.500000e+00,2
18,0,8,3,1,2.500000e+00,4
19,2,0,3,1,5.000000e-01,6
20,2,8,3,1,4.500000e+00,2
21,2,0,1,0,5.000000e-01,2
22,4,0,1,1,5.000000e-01,2
23,4,2,3,0,2.500000e+00,6
24,2,4,3,1,6.500000e+00,2
25,8,2,1,0,5.000000e-01,2
26,4,0,3,0,2.500000e+00,4
27,2,0,2,0,5.000000e-01,6
28,8,0,2,0,4.500000e+00,4
29,8,2,2,0,5.000000e-01,2
30,8,4,2,1,6.500000e+00,6
31,2,8,2,1,4.500000e+00,2
32,8,0,3,0,5.000000e-01,6
33,0,8,1,1,5.000000e-01,2
34,8,4,1,0,5.000000e-01,4
35,0,8,2,1,5.000000e-01,4
36,8,2,1,1,4.500000e+00,2
