Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,8,0,1,0,5.000000e-01,2
2,2,4,3,1,2.500000e+00,2
3,4,2,3,0,5.000000e-01,4
4,0,4,1,1,5.000000e-01,6
5,4,8,1,1,5.000000e-01,2
6,0,2,3,0,4.500000e+00,2
7,4,0,2,0,4.500000e+00,2
8,4,8,2,0,6.500000e+00,4
9,0,2,2,1,5.000000e-01,2
10,2,4,2,1,5.000000e-01,4
11,8,2,1,0,2.500000e+00,2
12,0,8,2,1,5.000000e-01,4
13,8,0,3,1,5.000000e-01,8
14,2,8,2,1,5.000000e-01,2
15,4,8,3,0,2.500000e+00,2
16,4,8,3,1,2.500000e+00,4
17,8,4,2,1,4.500000e+00,6
18,2,4,1,1,5.000000e-01,2
19,8,2,1,1,4.500000e+00,2
20,4,0,3,0,2.500000e+00,2
21,2,4,1,0,2.500000e+00,4
22,8,0,3,0,2.500000e+00,6
23,2,8,3,1,2.500000e+00,2
24,0,8,2,0,5.000000e-01,2
25,2,0,1,0,4.500000e+00,4
26,2,0,1,1,4.500000e+00,4
27,2,0,2,0,5.000000e-01,2
28,2,8,3,0,5.000000e-01,2
29,4,8,1,0,2.500000e+00,4
30,4,0,1,0,5.000000e-01,6
31,4,0,3,1,5.000000e-01,4
32,2,8,2,0,6.500000e+00,2
33,0,4,2,1,5.000000e-01,6
34,2,4,2,0,2.500000e+00,10
35,2,0,3,1,5.000000e-01,8
36,8,0,1,1,5.000000e-01,2
