Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,8,2,2,1,5.000000e-01,2
2,2,4,2,0,5.000000e-01,2
3,4,2,1,0,5.000000e-01,2
4,2,4,3,0,5.000000e-01,4
5,0,8,3,1,5.000000e-01,8
6,4,8,3,0,6.500000e+00,6
7,0,4,1,1,5.000000e-01,4
8,0,8,1,1,4.500000e+00,2
9,0,8,2,0,5.000000e-01,2
10,0,2,3,0,5.000000e-01,4
11,4,0,3,0,2.500000e+00,4
12,4,8,2,0,4.500000e+00,2
13,8,4,1,1,5.000000e-01,2
14,2,0,1,0,4.500000e+00,2
15,8,2,2,0,5.000000e-01,4
16,4,0,2,0,2.500000e+00,2
17,0,2,3,1,5.000000e-01,2
18,4,0,2,1,2.500000e+00,2
19,8,0,2,1,4.500000e+00,2
20,0,8,3,0,2.500000e+00,4
21,2,4,2,1,2.500000e+00,4
22,8,4,3,1,4.500000e+00,2
23,8,0,1,0,5.000000e-01,6
24,4,0,1,0,2.500000e+00,8
25,8,4,2,1,5.000000e-01,6
26,8,2,1,0,6.500000e+00,4
27,4,2,3,1,5.000000e-01,4
28,8,2,3,1,5.000000e-01,6
29,2,0,1,1,2.500000e+00,2
30,8,2,1,1,2.500000e+00,2
31,4,2,1,1,2.500000e+00,4
32,8,2,3,0,5.000000e-01,6
33,0,2,2,1,2.500000e+00,2
34,0,2,2,0,5.000000e-01,10
35,4,0,3,1,4.500000e+00,2
36,8,4,1,0,5.000000e-01,2
