Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,4,1,0,5.000000e-01,2
2,2,8,1,1,5.000000e-01,2
3,4,8,1,1,5.000000e-01,8
4,0,4,2,0,5.000000e-01,6
5,8,4,2,0,2.500000e+00,2
6,8,0,1,1,2.500000e+00,4
7,2,8,2,1,2.500000e+00,8
8,8,4,2,1,5.000000e-01,4
9,8,0,3,0,4.500000e+00,2
10,2,8,3,0,5.000000e-01,6
11,2,4,1,0,5.000000e-01,4
12,4,0,3,0,4.500000e+00,2
13,0,2,2,1,5.000000e-01,2
14,2,4,2,1,4.500000e+00,2
15,0,2,1,1,5.000000e-01,2
16,8,0,3,1,2.500000e+00,4
17,0,8,1,0,5.000000e-01,4
18,2,8,1,0,5.000000e-01,2
19,0,4,2,1,5.000000e-01,6
20,4,8,3,1,6.500000e+00,2
21,4,8,1,0,2.500000e+00,6
22,2,0,2,0,4.500000e+00,4
23,4,2,2,0,2.500000e+00,4
24,0,8,2,0,2.500000e+00,2
25,2,0,3,1,4.500000e+00,4
26,2,8,2,0,5.000000e-01,2
27,8,2,3,1,5.000000e-01,2
28,0,4,3,1,2.500000e+00,10
29,8,4,3,0,6.500000e+00,2
30,4,2,3,0,2.500000e+00,4
31,2,0,1,0,2.500000e+00,2
32,2,0,3,0,5.000000e-01,2
33,0,4,1,1,5.000000e-01,2
34,4,2,1,1,5.000000e-01,4
35,8,0,2,1,4.500000e+00,2
36,4,2,3,1,5.000000e-01,6
