subnum,avg_comp,avg_stranger,avg_friend,avg_comp_RT,avg_stranger_RT,avg_friend_RT,misses
103,2.800000,3.336364,5.400000,0.551425,0.654288,0.478617,0.200000
104,5.442424,5.666667,5.666667,0.435676,0.375544,0.393650,0.200000
105,3.600000,3.600000,4.933333,0.735658,0.724762,0.664728,0.600000
106,3.222222,2.803030,3.126263,0.576878,0.523529,0.511114,0.666667
107,3.200000,4.266667,4.933333,0.584693,0.603674,0.558923,0.000000
108,4.500000,5.151515,5.666667,0.475437,0.425015,0.392933,0.200000
109,4.878788,4.886364,5.666667,0.763819,0.683422,0.729221,1.000000
110,4.166667,4.666667,4.333333,0.394137,0.408254,0.347595,0.000000
111,4.853333,4.799394,5.300000,0.624853,0.635277,0.626542,4.800000
112,4.533333,4.900000,4.809091,0.496959,0.510129,0.502907,0.200000
113,2.433333,5.457576,4.833333,0.546970,0.554075,0.511777,0.200000
114,3.142424,3.266667,3.200000,0.366627,0.411394,0.407240,0.200000
115,2.402020,2.106667,1.935152,0.701354,0.677721,0.610015,2.400000
116,2.933333,4.100000,4.600000,0.434233,0.449935,0.410171,0.000000
117,2.960606,2.733333,3.566667,0.428895,0.391171,0.385423,0.200000
118,3.325253,3.139394,3.112121,0.466417,0.435809,0.476017,2.000000
120,2.866667,3.033333,3.136364,0.321272,0.331104,0.368104,0.200000
121,3.633333,4.030303,5.033333,0.486098,0.482790,0.436126,0.200000
204,1.872727,2.966667,4.327273,0.477770,0.488245,0.469410,1.000000
205,3.272727,3.687879,4.721212,0.569175,0.559739,0.454423,1.400000
206,4.733333,3.300000,3.400000,0.357982,0.403312,0.331422,0.000000
207,2.473485,2.050000,2.857323,0.573110,0.532739,0.664581,2.250000
208,4.627273,5.300000,5.666667,0.480956,0.403356,0.356920,0.200000
209,3.933333,3.700000,4.333333,0.560440,0.526910,0.466960,0.000000
210,3.848485,3.208333,5.625000,0.634095,0.625521,0.538330,0.250000
211,4.984848,4.762500,5.416667,0.710765,0.739855,0.748796,11.250000
212,5.666667,5.666667,5.666667,0.369894,0.399252,0.374530,0.000000
213,3.666667,3.479798,4.500000,0.565682,0.608625,0.566749,0.666667
215,2.333333,2.358333,2.712121,0.435954,0.428991,0.507740,0.750000
216,1.958333,2.125000,2.500000,0.547509,0.505056,0.455159,0.000000
217,1.799242,3.814394,3.375000,0.440948,0.558335,0.504615,0.500000
218,4.729293,4.906061,4.681818,0.707735,0.692470,0.695316,1.400000
220,2.557576,4.315152,4.645455,0.531414,0.543378,0.502141,1.400000
221,4.359848,5.208333,5.250000,0.348045,0.307889,0.294037,0.250000
