subnum,ageGrp,avg_compFair,avg_compUnfair,avg_OutGrpFair,avg_OutGrpUnfair,avg_InGrpFair,avg_InGrpUnfair,avg_compFairlogRT,avg_compUnfairlogRT,avg_OutGrpFairlogRT,avg_OutGrpUnfairlogRT,avg_InGrpFairlogRT,avg_InGrpUnfairlogRT,avg_compFair_RT,avg_compUnfair_RT,avg_outgroupFair_RT,avg_outgroupUnfair_RT,avg_ingroupFair_RT,avg_ingroupUnfair_RT,misses
103,0,0.375,0.125,0.5,0.0625,0.5625,0.125,0.349203,0.30556,0.31434,0.353468,0.32184,0.324953,1.422959,1.363956,1.379399,1.436064,1.385531,1.393991,0
104,0,1,1,1,1,1,1,0.360611,0.322861,0.387406,0.315825,0.353612,0.294667,1.447528,1.384139,1.518823,1.39022,1.43216,1.345442,0
105,0,0.875,0.392857,0.84375,0.5,1,0.5625,0.455837,0.503648,0.475573,0.459779,0.460512,0.586779,1.582302,1.696034,1.618092,1.596532,1.596008,1.844478,0
106,0,0.75,0.09375,0.75,0.125,0.6875,0.15625,0.312776,0.255644,0.2985,0.245121,0.217553,0.28202,1.378494,1.320285,1.372506,1.295535,1.262846,1.347679,0
107,0,0.53125,0.28125,0.78125,0.433036,0.775,0.1875,0.424349,0.432779,0.428551,0.323671,0.45372,0.365517,1.591566,1.600663,1.588946,1.42147,1.605589,1.481412,0
108,0,0.84375,0.25,0.875,0.46875,0.875,0.25,0.149401,0.231358,0.223723,0.093134,0.190364,0.025439,1.19395,1.300396,1.277823,1.108284,1.226804,1.025774,0
109,0,1,0.9,1,0.736264,0.9375,0.880952,0.517062,0.572227,0.628238,0.531868,0.527111,0.535041,1.739008,1.840017,1.930568,1.757914,1.764192,1.784931,0
110,0,0.9375,0.4375,0.875,0.3125,0.875,0.46875,0.028397,0.026204,0.025413,0.029055,0.027076,0.032405,1.028868,1.026563,1.025768,1.029819,1.027478,1.033312,0
111,1,0.875,0.4375,0.875,0.28125,0.933333,0.625,0.157226,0.122328,0.249341,0.092943,0.128934,0.154459,1.234632,1.142208,1.361573,1.10664,1.173463,1.20505,0
112,0,0.9375,0.84375,0.9375,0.5625,0.875,0.75,0.414595,0.446934,0.434833,0.410639,0.413832,0.491318,1.526086,1.582991,1.561292,1.518669,1.521985,1.656484,0
113,0,0.78125,0.125,0.84375,0.1875,0.875,0.21875,0.431605,0.446405,0.416129,0.440603,0.473717,0.427905,1.550775,1.576725,1.525105,1.57057,1.628556,1.545291,0
114,0,0.8125,0.125,0.8125,0.21875,0.59375,0.09375,0.352747,0.223948,0.353813,0.232054,0.280549,0.216816,1.447037,1.263704,1.444126,1.268845,1.338759,1.253162,0
115,0,0.619048,0.53125,0.5,0.583333,0.53125,0.75,0.574221,0.408011,0.442875,0.480856,0.448826,0.420734,1.817324,1.518384,1.571297,1.639629,1.575864,1.531802,0
116,0,0.75,0.125,0.78125,0.125,0.75,0.1625,0.362846,0.309409,0.290364,0.313687,0.296955,0.311335,1.450091,1.364855,1.337948,1.370147,1.346628,1.378095,0
117,0,0.9375,0.75,0.875,0.8125,0.96875,0.8125,0.318266,0.374119,0.341858,0.315824,0.304178,0.377609,1.378456,1.468499,1.415153,1.373029,1.365378,1.469282,0
118,0,0.8125,0.625,0.875,0.65625,0.78125,0.65625,0.513969,0.321068,0.3403,0.222313,0.186512,0.321505,1.746704,1.396374,1.416547,1.27154,1.221578,1.384581,0
120,0,0.75,0.25,0.75,0.1875,0.84375,0.15625,0.086381,0.143936,0.112572,0.100825,0.15545,0.110332,1.094492,1.170542,1.130654,1.117045,1.185108,1.124926,0
121,0,0.875,0.34375,0.875,0.53125,0.90625,0.4375,0.330043,0.267746,0.291168,0.35809,0.24866,0.329782,1.436711,1.331134,1.342347,1.445151,1.287368,1.401734,0
122,0,0.9375,0.90625,0.96875,0.875,0.9375,0.794643,0.476357,0.521383,0.49225,0.478217,0.478179,0.489621,1.618353,1.697213,1.645317,1.62089,1.618182,1.668664,0
124,0,1,0.808333,1,0.84375,1,0.875,0.355033,0.335813,0.390897,0.372523,0.31645,0.384434,1.438988,1.431461,1.493808,1.46949,1.39753,1.508352,0
125,0,0.875,0.25,0.8125,0.258333,0.723214,0.3125,0.492453,0.545039,0.558466,0.549301,0.493955,0.51317,1.644632,1.73842,1.764608,1.750851,1.6589,1.68991,0
126,0,1,1,1,1,1,1,0.320784,0.37096,0.177711,0.313978,0.317229,0.415264,1.392263,1.472288,1.220734,1.383224,1.378719,1.547826,0
127,1,0.59375,0.129167,0.53125,0.03125,0.6875,0.125,0.270528,0.302473,0.365785,0.402189,0.427688,0.33991,1.33502,1.391426,1.445383,1.497837,1.563908,1.411174,0
128,1,0.125,0,0.21875,0,0.09375,0.03125,0.073889,0.11776,0.203706,0.058487,0.028112,0.059717,1.090228,1.174892,1.285264,1.066256,1.028598,1.066783,0
129,1,0.870833,0.25,0.875,0.28125,0.875,0.28125,0.134865,0.069653,0.034463,0.049211,0.098988,0.117479,1.171448,1.075808,1.035652,1.053818,1.117019,1.135477,0
130,1,0.928571,1,1,1,1,1,0.528739,0.494772,0.508305,0.46303,0.461029,0.477675,1.718946,1.65189,1.674324,1.602416,1.605134,1.628098,0
131,1,1,0.875,1,0.8,0.714286,0.625,0.426723,0.427458,0.352626,0.361737,0.501491,0.369902,1.561282,1.592887,1.488748,1.514548,1.736545,1.488152,0
