SubjectID,Comp_Unfair-Fair,OutGrp_Unfair-Fair,InGrp_Unfair-Fair
104,0,0,0
105,0.482143,0.34375,0.4375
106,0.65625,0.625,0.53125
107,0.25,0.348214,0.5875
108,0.59375,0.40625,0.625
109,0.1,0.263736,0.056548
110,0.5,0.5625,0.40625
111,0.4375,0.59375,0.308333
112,0.09375,0.375,0.125
113,0.65625,0.65625,0.65625
115,0.087798,-0.083333,-0.21875
116,0.625,0.65625,0.5875
117,0.1875,0.0625,0.15625
118,0.1875,0.21875,0.125
120,0.5,0.5625,0.6875
121,0.53125,0.34375,0.46875
122,0.03125,0.09375,0.142857
124,0.191667,0.15625,0.125
125,0.625,0.554167,0.410714
126,0,0,0
